ensembl_gene_id	probe_id	hgnc_symbol	entrezgene_id	biotype
ENSG00000000003	209109_s_at	TSPAN6	7105	protein_coding
ENSG00000000003	209108_at	TSPAN6	7105	protein_coding
ENSG00000000005	220065_at	TNMD	64102	protein_coding
ENSG00000000419	202673_at	DPM1	8813	protein_coding
ENSG00000000457	41329_at	SCYL3	57147	protein_coding
ENSG00000000457	205607_s_at	SCYL3	57147	protein_coding
ENSG00000000457	231111_at	SCYL3	57147	protein_coding
ENSG00000000460	220840_s_at	C1orf112	55732	protein_coding
ENSG00000000938	208438_s_at	FGR	2268	protein_coding
ENSG00000000971	213800_at	CFH	3075	protein_coding
ENSG00000001036	223120_at	FUCA2	2519	protein_coding
ENSG00000001084	1555330_at	GCLC	2729	protein_coding
ENSG00000001084	202923_s_at	GCLC	2729	protein_coding
ENSG00000001084	202922_at	GCLC	2729	protein_coding
ENSG00000001167	215720_s_at	NFYA	4800	protein_coding
ENSG00000001167	204109_s_at	NFYA	4800	protein_coding
ENSG00000001167	204107_at	NFYA	4800	protein_coding
ENSG00000001167	204108_at	NFYA	4800	protein_coding
ENSG00000001460	233693_at	STPG1	90529	protein_coding
ENSG00000001460	227694_at	STPG1	90529	protein_coding
ENSG00000001461	210267_at	NIPAL3	57185	protein_coding
ENSG00000001461	214579_at	NIPAL3	57185	protein_coding
ENSG00000001461	225875_s_at	NIPAL3	57185	protein_coding
ENSG00000001461	225876_at	NIPAL3	57185	protein_coding
ENSG00000001497	235541_at	LAS1L	81887	protein_coding
ENSG00000001497	208117_s_at	LAS1L	81887	protein_coding
ENSG00000001561	204160_s_at	ENPP4	22875	protein_coding
ENSG00000001561	204161_s_at	ENPP4	22875	protein_coding
ENSG00000001617	206832_s_at	SEMA3F	6405	protein_coding
ENSG00000001617	209730_at	SEMA3F	6405	protein_coding
ENSG00000001617	35666_at	SEMA3F	6405	protein_coding
ENSG00000001626	234702_x_at	CFTR	1080	protein_coding
ENSG00000001626	215702_s_at	CFTR	1080	protein_coding
ENSG00000001626	215703_at	CFTR	1080	protein_coding
ENSG00000001626	205043_at	CFTR	1080	protein_coding
ENSG00000001629	224687_at	ANKIB1	54467	protein_coding
ENSG00000001629	224682_at	ANKIB1	54467	protein_coding
ENSG00000001631	34031_i_at	KRIT1	889	protein_coding
ENSG00000001631	204738_s_at	KRIT1	889	protein_coding
ENSG00000001631	229785_at	KRIT1	889	protein_coding
ENSG00000002016	236880_at	RAD52	5893	protein_coding
ENSG00000002016	211904_x_at	RAD52	5893	protein_coding
ENSG00000002016	210630_s_at	RAD52	5893	protein_coding
ENSG00000002016	205647_at	RAD52	5893	protein_coding
ENSG00000002079	1564072_at	MYH16	NA	transcribed_unitary_pseudogene
ENSG00000002330	1861_at	BAD	572	protein_coding
ENSG00000002330	209364_at	BAD	572	protein_coding
ENSG00000002549	217933_s_at	LAP3	51056	protein_coding
ENSG00000002587	205465_x_at	HS3ST1	9957	protein_coding
ENSG00000002587	205466_s_at	HS3ST1	9957	protein_coding
ENSG00000002726	203559_s_at	AOC1	26	protein_coding
ENSG00000002745	221113_s_at	WNT16	51384	protein_coding
ENSG00000002745	224022_x_at	WNT16	51384	protein_coding
ENSG00000002746	215584_at	HECW1	23072	protein_coding
ENSG00000002746	210331_at	HECW1	23072	protein_coding
ENSG00000002746	243163_at	HECW1	23072	protein_coding
ENSG00000002834	200618_at	LASP1	3927	protein_coding
ENSG00000002919	220140_s_at	SNX11	29916	protein_coding
ENSG00000002919	53912_at	SNX11	29916	protein_coding
ENSG00000002933	218345_at	TMEM176A	55365	protein_coding
ENSG00000003056	200900_s_at	M6PR	4074	protein_coding
ENSG00000003096	227875_at	KLHL13	90293	protein_coding
ENSG00000003137	234721_s_at	CYP26B1	56603	protein_coding
ENSG00000003137	219825_at	CYP26B1	56603	protein_coding
ENSG00000003147	230639_at	ICA1	3382	protein_coding
ENSG00000003147	211740_at	ICA1	3382	protein_coding
ENSG00000003147	210547_x_at	ICA1	3382	protein_coding
ENSG00000003147	207949_s_at	ICA1	3382	protein_coding
ENSG00000003147	204002_s_at	ICA1	3382	protein_coding
ENSG00000003249	222234_s_at	DBNDD1	79007	protein_coding
ENSG00000003393	232184_at	ALS2	57679	protein_coding
ENSG00000003393	1555284_at	ALS2	57679	protein_coding
ENSG00000003393	226291_at	ALS2	57679	protein_coding
ENSG00000003400	210708_x_at	CASP10	843	protein_coding
ENSG00000003400	211888_x_at	CASP10	843	protein_coding
ENSG00000003400	205467_at	CASP10	843	protein_coding
ENSG00000003400	210955_at	CASP10	843	protein_coding
ENSG00000003402	237367_x_at	CFLAR	8837	protein_coding
ENSG00000003402	210563_x_at	CFLAR	8837	protein_coding
ENSG00000003402	209939_x_at	CFLAR	8837	protein_coding
ENSG00000003402	210564_x_at	CFLAR	8837	protein_coding
ENSG00000003402	214618_at	CFLAR	8837	protein_coding
ENSG00000003402	211862_x_at	CFLAR	8837	protein_coding
ENSG00000003402	208485_x_at	CFLAR	8837	protein_coding
ENSG00000003402	211317_s_at	CFLAR	8837	protein_coding
ENSG00000003402	211316_x_at	CFLAR	8837	protein_coding
ENSG00000003402	214486_x_at	CFLAR	8837	protein_coding
ENSG00000003402	209508_x_at	CFLAR	8837	protein_coding
ENSG00000003402	224261_at	CFLAR	8837	protein_coding
ENSG00000003402	235427_at	CFLAR	8837	protein_coding
ENSG00000003436	214378_at	TFPI	7035	protein_coding
ENSG00000003436	210664_s_at	TFPI	7035	protein_coding
ENSG00000003436	210665_at	TFPI	7035	protein_coding
ENSG00000003436	209676_at	TFPI	7035	protein_coding
ENSG00000003436	213258_at	TFPI	7035	protein_coding
ENSG00000003509	223560_s_at	NDUFAF7	55471	protein_coding
ENSG00000003509	220943_s_at	NDUFAF7	55471	protein_coding
ENSG00000003509	230379_x_at	NDUFAF7	55471	protein_coding
ENSG00000003756	209936_at	RBM5	10181	protein_coding
ENSG00000003756	230742_at	RBM5	10181	protein_coding
ENSG00000003756	201394_s_at	RBM5	10181	protein_coding
ENSG00000003756	201395_at	RBM5	10181	protein_coding
ENSG00000003987	215793_at	MTMR7	9108	protein_coding
ENSG00000003987	243804_at	MTMR7	9108	protein_coding
ENSG00000003989	207626_s_at	SLC7A2	6542	protein_coding
ENSG00000003989	225516_at	SLC7A2	6542	protein_coding
ENSG00000004059	201526_at	ARF5	381	protein_coding
ENSG00000004139	213259_s_at	SARM1	23098	protein_coding
ENSG00000004139	213257_at	SARM1	23098	protein_coding
ENSG00000004139	234060_at	SARM1	23098	protein_coding
ENSG00000004142	222425_s_at	POLDIP2	26073	protein_coding
ENSG00000004142	217806_s_at	POLDIP2	26073	protein_coding
ENSG00000004399	212235_at	PLXND1	23129	protein_coding
ENSG00000004399	38671_at	PLXND1	23129	protein_coding
ENSG00000004455	208967_s_at	AK2	204	protein_coding
ENSG00000004455	212175_s_at	AK2	204	protein_coding
ENSG00000004455	205996_s_at	AK2	204	protein_coding
ENSG00000004455	212174_at	AK2	204	protein_coding
ENSG00000004455	212173_at	AK2	204	protein_coding
ENSG00000004468	205692_s_at	CD38	952	protein_coding
ENSG00000004478	200894_s_at	FKBP4	2288	protein_coding
ENSG00000004478	200895_s_at	FKBP4	2288	protein_coding
ENSG00000004478	1560305_x_at	FKBP4	2288	protein_coding
ENSG00000004478	1560303_at	FKBP4	2288	protein_coding
ENSG00000004487	212348_s_at	KDM1A	23028	protein_coding
ENSG00000004534	201967_at	RBM6	10180	protein_coding
ENSG00000004660	1552768_at	CAMKK1	84254	protein_coding
ENSG00000004660	223460_at	CAMKK1	84254	protein_coding
ENSG00000004700	210568_s_at	RECQL	5965	protein_coding
ENSG00000004700	205091_x_at	RECQL	5965	protein_coding
ENSG00000004700	212917_x_at	RECQL	5965	protein_coding
ENSG00000004700	212918_at	RECQL	5965	protein_coding
ENSG00000004766	1554216_at	VPS50	55610	protein_coding
ENSG00000004766	1554217_a_at	VPS50	55610	protein_coding
ENSG00000004766	207045_at	VPS50	55610	protein_coding
ENSG00000004766	226031_at	VPS50	55610	protein_coding
ENSG00000004776	214767_s_at	HSPB6	126393	protein_coding
ENSG00000004776	226304_at	HSPB6	126393	protein_coding
ENSG00000004777	233885_at	ARHGAP33	115703	protein_coding
ENSG00000004777	215256_x_at	ARHGAP33	115703	protein_coding
ENSG00000004777	213827_at	ARHGAP33	115703	protein_coding
ENSG00000004779	202077_at	NDUFAB1	4706	protein_coding
ENSG00000004799	205960_at	PDK4	5166	protein_coding
ENSG00000004799	1562321_at	PDK4	5166	protein_coding
ENSG00000004799	225207_at	PDK4	5166	protein_coding
ENSG00000004809	232233_at	SLC22A16	85413	protein_coding
ENSG00000004809	232232_s_at	SLC22A16	85413	protein_coding
ENSG00000004838	216663_s_at	ZMYND10	51364	protein_coding
ENSG00000004838	205714_s_at	ZMYND10	51364	protein_coding
ENSG00000004846	1569072_s_at	ABCB5	340273	protein_coding
ENSG00000004846	243167_at	ABCB5	340273	protein_coding
ENSG00000004846	240717_at	ABCB5	340273	protein_coding
ENSG00000004846	1555371_at	ABCB5	340273	protein_coding
ENSG00000004848	238878_at	ARX	170302	protein_coding
ENSG00000004864	229061_s_at	SLC25A13	10165	protein_coding
ENSG00000004864	203775_at	SLC25A13	10165	protein_coding
ENSG00000004866	207524_at	ST7	7982	protein_coding
ENSG00000004866	207871_s_at	ST7	7982	protein_coding
ENSG00000004897	217878_s_at	CDC27	996	protein_coding
ENSG00000004897	217881_s_at	CDC27	996	protein_coding
ENSG00000004897	217879_at	CDC27	996	protein_coding
ENSG00000004897	217880_at	CDC27	996	protein_coding
ENSG00000004939	1552713_a_at	SLC4A1	6521	protein_coding
ENSG00000004939	205592_at	SLC4A1	6521	protein_coding
ENSG00000004948	207887_s_at	CALCR	799	protein_coding
ENSG00000004948	207886_s_at	CALCR	799	protein_coding
ENSG00000004961	203746_s_at	HCCS	3052	protein_coding
ENSG00000004961	203745_at	HCCS	3052	protein_coding
ENSG00000004975	218759_at	DVL2	1856	protein_coding
ENSG00000004975	57532_at	DVL2	1856	protein_coding
ENSG00000005001	205847_at	PRSS22	64063	protein_coding
ENSG00000005007	208947_s_at	UPF1	5976	protein_coding
ENSG00000005007	211168_s_at	UPF1	5976	protein_coding
ENSG00000005020	216899_s_at	SKAP2	8935	protein_coding
ENSG00000005020	204361_s_at	SKAP2	8935	protein_coding
ENSG00000005020	204362_at	SKAP2	8935	protein_coding
ENSG00000005020	225639_at	SKAP2	8935	protein_coding
ENSG00000005022	200657_at	SLC25A5	292	protein_coding
ENSG00000005059	218802_at	MCUB	55013	protein_coding
ENSG00000005073	208493_at	HOXA11	3207	protein_coding
ENSG00000005073	213823_at	HOXA11	3207	protein_coding
ENSG00000005075	212782_x_at	POLR2J	5439	protein_coding
ENSG00000005100	222875_at	DHX33	56919	protein_coding
ENSG00000005100	226262_at	DHX33	56919	protein_coding
ENSG00000005102	205619_s_at	MEOX1	4222	protein_coding
ENSG00000005108	213894_at	THSD7A	221981	protein_coding
ENSG00000005108	214920_at	THSD7A	221981	protein_coding
ENSG00000005108	230008_at	THSD7A	221981	protein_coding
ENSG00000005108	229159_at	THSD7A	221981	protein_coding
ENSG00000005156	1555169_at	LIG3	3980	protein_coding
ENSG00000005156	207348_s_at	LIG3	3980	protein_coding
ENSG00000005156	204123_at	LIG3	3980	protein_coding
ENSG00000005156	1554597_at	LIG3	3980	protein_coding
ENSG00000005156	229861_at	LIG3	3980	protein_coding
ENSG00000005175	1557984_s_at	RPAP3	79657	protein_coding
ENSG00000005175	218842_at	RPAP3	79657	protein_coding
ENSG00000005187	205942_s_at	ACSM3	6296	protein_coding
ENSG00000005187	210377_at	ACSM3	6296	protein_coding
ENSG00000005189	215215_s_at	REXO5	81691	protein_coding
ENSG00000005189	208107_s_at	REXO5	81691	protein_coding
ENSG00000005194	230838_s_at	CIAPIN1	57019	protein_coding
ENSG00000005194	208968_s_at	CIAPIN1	57019	protein_coding
ENSG00000005194	208424_s_at	CIAPIN1	57019	protein_coding
ENSG00000005206	210693_at	SPPL2B	56928	protein_coding
ENSG00000005206	215833_s_at	SPPL2B	56928	protein_coding
ENSG00000005206	225248_at	SPPL2B	56928	protein_coding
ENSG00000005206	225249_at	SPPL2B	56928	protein_coding
ENSG00000005238	207765_s_at	FAM214B	80256	protein_coding
ENSG00000005238	211433_x_at	FAM214B	80256	protein_coding
ENSG00000005243	219561_at	COPZ2	51226	protein_coding
ENSG00000005243	235897_at	COPZ2	51226	protein_coding
ENSG00000005249	203680_at	PRKAR2B	5577	protein_coding
ENSG00000005302	214009_at	MSL3	10943	protein_coding
ENSG00000005302	236165_at	MSL3	10943	protein_coding
ENSG00000005302	207551_s_at	MSL3	10943	protein_coding
ENSG00000005339	211808_s_at	CREBBP	1387	protein_coding
