probe_id	entrezgene_id
229819_at	1
206797_at	10
216705_s_at	100
204639_at	100
203441_s_at	1000
203440_at	1000
242879_x_at	10000
224229_s_at	10000
219393_s_at	10000
222880_at	10000
212607_at	10000
212609_s_at	10000
232259_s_at	100009676
232260_at	100009676
207079_s_at	10001
210104_at	10001
208385_at	10002
208388_at	10002
1554506_x_at	10003
1554507_at	10003
222161_at	10003
1560883_s_at	100038246
207895_at	10004
228424_at	10004
211364_at	100048912
1559884_at	100048912
228647_at	100049716
236886_at	100049716
204212_at	10005
209027_s_at	10006
209028_s_at	10006
202382_s_at	10007
222923_s_at	10008
222922_at	10008
227647_at	10008
214631_at	10009
226255_at	10009
225220_at	100093630
216543_at	100093698
203256_at	1001
210458_s_at	10010
207616_s_at	10010
209451_at	10010
228130_at	100101467
228125_at	100101467
1569996_at	100101938
224130_s_at	10011
224864_at	10011
235798_at	100113407
239153_at	100124700
239720_at	100125288
239141_at	100126784
240407_at	100126784
222314_x_at	100126791
240475_at	100126791
244695_at	100126793
239617_at	100126793
1554332_a_at	100127888
1560950_at	100127950
1563709_at	100127955
228107_at	100127983
234767_at	100128011
1562765_at	100128025
1556560_a_at	100128071
228451_at	100128071
1569620_s_at	100128079
242350_s_at	100128098
211111_at	100128124
1561391_at	100128126
236768_at	100128139
237635_at	100128164
1557741_at	100128176
1557742_a_at	100128176
227578_at	100128191
238872_at	100128239
244741_s_at	100128252
244740_at	100128252
1561249_a_at	100128285
1559045_at	100128288
239565_at	100128292
1562598_at	100128292
243171_at	100128325
232368_at	100128327
234955_at	100128334
237793_at	100128496
239894_at	100128511
228528_at	100128537
1561294_a_at	100128554
244620_at	100128590
1558920_at	100128590
1564691_at	100128594
215590_x_at	100128640
236053_at	100128653
224637_at	100128731
240929_at	100128750
227893_at	100128782
1557788_a_at	100128782
239799_at	100128782
1562930_at	100128788
235174_s_at	100128822
1558728_at	100128881
236118_at	100128893
229691_at	100128927
1557588_at	100128946
238807_at	100128961
1563367_at	100128977
237331_s_at	100128977
232849_at	100128988
1560595_at	100128993
1567036_at	100128998
216814_at	100129013
244823_at	100129034
225214_at	100129034
1569361_a_at	100129098
220513_at	100129128
1559870_at	100129129
1559871_s_at	100129129
1557879_at	100129175
244730_x_at	100129195
1557062_at	100129195
1557557_at	100129196
1557558_s_at	100129196
221979_at	100129250
78383_at	100129250
217087_at	100129271
221847_at	100129361
238915_at	100129361
237386_at	100129361
226900_at	100129387
227406_at	100129387
1564459_at	100129427
1560475_at	100129455
215102_at	100129460
1556555_at	100129461
1563662_at	100129461
215358_x_at	100129482
242208_at	100129482
216107_at	100129503
239643_at	100129516
217295_at	100129528
229699_at	100129550
241118_at	100129597
238086_at	100129617
1563904_at	100129620
242522_at	100129654
1560537_at	100129662
239395_at	100129716
1566906_at	100129722
238093_at	100129722
1555124_at	100129726
237475_x_at	100129792
242519_at	100129792
230307_at	100129794
231595_at	100129827
1560939_at	100129845
1556736_at	100129858
1559528_at	100129917
216815_at	100129930
232616_at	100129935
236387_at	100129961
237827_at	100129969
215229_at	100129973
211722_s_at	10013
216224_s_at	10013
206846_s_at	10013
1557405_at	100130111
1557406_s_at	100130111
236693_at	100130155
238661_at	100130155
242193_at	100130155
241169_at	100130172
1555322_at	100130249
1564444_at	100130264
1558336_at	100130268
1560503_a_at	100130275
1557070_at	100130275
215970_at	100130331
1559507_at	100130357
1555979_at	100130417
1555980_a_at	100130417
243048_at	100130418
214858_at	100130449
244518_at	100130452
237915_at	100130460
243871_at	100130476
1559687_at	100130519
239128_at	100130519
1557590_at	100130522
1557734_s_at	100130548
1558782_a_at	100130557
1559144_x_at	100130581
1570049_at	100130581
240043_at	100130613
217266_at	100130624
217233_at	100130683
231540_at	100130691
237730_at	100130700
236875_at	100130705
1559920_a_at	100130717
238488_at	100130733
1555907_at	100130776
1562738_a_at	100130855
1569496_s_at	100130872
238997_at	100130889
238069_at	100130890
1564158_a_at	100130894
217363_x_at	100130922
236098_at	100130933
1554666_at	100130950
1559960_x_at	100130958
238237_at	100130964
230487_at	100130967
235990_at	100130987
1558977_at	100130992
227170_at	100131017
242585_at	100131067
235443_at	100131067
231497_at	100131117
230195_at	100131138
226482_s_at	100131187
238014_at	100131211
228048_at	100131213
237044_s_at	100131213
236593_at	100131303
1564050_at	100131347
