"Geneid","hgnc_symbol","entrezgene_id"
"ENSG00000074800","ENO1",2023
"ENSG00000097021","ACOT7",11332
"ENSG00000100526","CDKN3",1033
"ENSG00000104419","NDRG1",10397
"ENSG00000111669","TPI1",7167
"ENSG00000112715","VEGFA",7422
"ENSG00000117394","SLC2A1",6513
"ENSG00000122884","P4HA1",5033
"ENSG00000134333","LDHA",3939
"ENSG00000148926","ADM",133
"ENSG00000149925","ALDOA",226
"ENSG00000171314","PGAM1",5223
"ENSG00000176014","TUBB6",84617
"ENSG00000239789","MRPS17",51373
"ENSG00000240972","MIF",4282
