Cell.type,hgnc_symbol,entrezgene_id,ensembl_gene_id,name
Activated CD8 T cell,PIK3IP1,113791,ENSG00000100100,CD8T_pmid28052254
Activated CD8 T cell,GPT2,84706,ENSG00000166123,CD8T_pmid28052254
Activated CD8 T cell,GEMIN6,79833,ENSG00000152147,CD8T_pmid28052254
Activated CD8 T cell,PTRH2,51651,ENSG00000141378,CD8T_pmid28052254
Activated CD8 T cell,C1GALT1C1,29071,ENSG00000171155,CD8T_pmid28052254
Activated CD8 T cell,TIMM13,26517,ENSG00000099800,CD8T_pmid28052254
Activated CD8 T cell,ADRM1,11047,ENSG00000130706,CD8T_pmid28052254
Activated CD8 T cell,CCT6B,10693,ENSG00000132141,CD8T_pmid28052254
Activated CD8 T cell,AHSA1,10598,ENSG00000100591,CD8T_pmid28052254
Activated CD8 T cell,GNLY,10578,ENSG00000115523,CD8T_pmid28052254
Activated CD8 T cell,MPZL1,9019,ENSG00000197965,CD8T_pmid28052254
Activated CD8 T cell,ZAP70,7535,ENSG00000115085,CD8T_pmid28052254
Activated CD8 T cell,NKG7,4818,ENSG00000105374,CD8T_pmid28052254
Activated CD8 T cell,LCK,3932,ENSG00000182866,CD8T_pmid28052254
Activated CD8 T cell,IL2RB,3560,ENSG00000100385,CD8T_pmid28052254
Activated CD8 T cell,GZMK,3003,ENSG00000113088,CD8T_pmid28052254
Activated CD8 T cell,GZMA,3001,ENSG00000145649,CD8T_pmid28052254
Activated CD8 T cell,GZMH,2999,ENSG00000100450,CD8T_pmid28052254
Activated CD8 T cell,CSE1L,1434,ENSG00000124207,CD8T_pmid28052254
Activated CD8 T cell,CETN3,1070,ENSG00000153140,CD8T_pmid28052254
Activated CD8 T cell,CD69,969,ENSG00000110848,CD8T_pmid28052254
Activated CD8 T cell,CD37,951,ENSG00000104894,CD8T_pmid28052254
Activated CD8 T cell,CD8A,925,ENSG00000153563,CD8T_pmid28052254
Activated CD8 T cell,CD3G,917,ENSG00000160654,CD8T_pmid28052254
Activated CD8 T cell,CD3E,916,ENSG00000198851,CD8T_pmid28052254
Activated CD8 T cell,CD3D,915,ENSG00000167286,CD8T_pmid28052254
Natural killer cell,FAM27A,100133121,ENSG00000278763,NK_pmid28052254
Natural killer cell,GAGE2,729447,ENSG00000189064,NK_pmid28052254
Natural killer cell,DGKH,160851,ENSG00000102780,NK_pmid28052254
Natural killer cell,FAM49A,81553,ENSG00000197872,NK_pmid28052254
