Cell.type,Immunity,Name_in_19cell,hgnc_symbol,entrezgene_id,ensembl_gene_id
Activated B cell,Adaptive,B cell activated,IGHM,3507,ENSG00000211899
Activated B cell,Adaptive,B cell activated,IGKC,3514,ENSG00000211592
Activated B cell,Adaptive,B cell activated,CLEC17A,388512,ENSG00000187912
Activated B cell,Adaptive,B cell activated,CLEC9A,283420,ENSG00000197992
Activated B cell,Adaptive,B cell activated,CLECL1,160365,ENSG00000184293
Activated B cell,Adaptive,B cell activated,AKNA,80709,ENSG00000106948
Activated B cell,Adaptive,B cell activated,FCRL2,79368,ENSG00000132704
Activated B cell,Adaptive,B cell activated,BACH2,60468,ENSG00000112182
Activated B cell,Adaptive,B cell activated,MICAL3,57553,ENSG00000243156
Activated B cell,Adaptive,B cell activated,ADAM28,10863,ENSG00000042980
Activated B cell,Adaptive,B cell activated,ARHGAP25,9938,ENSG00000163219
Activated B cell,Adaptive,B cell activated,TCL1A,8115,ENSG00000100721
Activated B cell,Adaptive,B cell activated,SPIB,6689,ENSG00000269404
Activated B cell,Adaptive,B cell activated,CCL21,6366,ENSG00000137077
Activated B cell,Adaptive,B cell activated,PNOC,5368,ENSG00000168081
Activated B cell,Adaptive,B cell activated,CD180,4064,ENSG00000134061
Activated B cell,Adaptive,B cell activated,HLA-DOB,3112,ENSG00000241106
Activated B cell,Adaptive,B cell activated,GNG7,2788,ENSG00000176533
Activated B cell,Adaptive,B cell activated,CR2,1380,ENSG00000117322
Activated B cell,Adaptive,B cell activated,CD79B,974,ENSG00000007312
Activated B cell,Adaptive,B cell activated,CD38,952,ENSG00000004468
Activated B cell,Adaptive,B cell activated,CD27,939,ENSG00000139193
Activated B cell,Adaptive,B cell activated,MS4A1,931,ENSG00000156738
Activated B cell,Adaptive,B cell activated,CD19,930,ENSG00000177455
Activated B cell,Adaptive,B cell activated,BLK,640,ENSG00000136573
Activated B cell,Adaptive,B cell activated,TNFRSF17,608,ENSG00000048462
Activated CD4 T cell,Adaptive,CD4 T cell activated,RTKN2,219790,ENSG00000182010
Activated CD4 T cell,Adaptive,CD4 T cell activated,ESCO2,157570,ENSG00000171320
Activated CD4 T cell,Adaptive,CD4 T cell activated,BRIP1,83990,ENSG00000136492
Activated CD4 T cell,Adaptive,CD4 T cell activated,NUF2,83540,ENSG00000143228
Activated CD4 T cell,Adaptive,CD4 T cell activated,SAMSN1,64092,ENSG00000155307
Activated CD4 T cell,Adaptive,CD4 T cell activated,EXOC6,54536,ENSG00000138190
Activated CD4 T cell,Adaptive,CD4 T cell activated,TRAT1,50852,ENSG00000163519
