hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
A1BG	1	ENSG00000121410-bioMart	20	10	A549|A375|BICR6|HT29|YAPC|U251MG|AGS|PC3|ES2|MCF7	NA	NA	NA	NA	NA	NA
A1BG-AS1	503538	ENSG00000268895-bioMart	NA	NA	NA	NA	NA	NA	8	7	A549|A375|YAPC|IPC298|AGS|U251MG|ES2
A1CF	29974	ENSG00000148584	20	10	ES2|AGS|YAPC|BICR6|MCF7|HT29|A549|PC3|A375|U251MG	NA	NA	NA	NA	NA	NA
A2M	2	ENSG00000175899	18	9	AGS|YAPC|U251MG|HT29|ES2|A375|A549|PC3|BICR6	30	12	AGS|PC3|MCF7|A549|ES2|A375|BICR6|YAPC|U251MG|HCC1806|HT29|NA	9	6	A549|HT29|A375|ES2|U251MG|KELLY
A4GALT	53947	ENSG00000128274	NA	NA	NA	NA	NA	NA	3	3	U251MG|AGS|SNU761
AADAT	51166	ENSG00000109576-bioMart	18	9	BICR6|A375|YAPC|U251MG|PC3|A549|AGS|HT29|ES2	NA	NA	NA	NA	NA	NA
AAK1	22848	ENSG00000115977	20	10	YAPC|BICR6|A375|ES2|AGS|A549|U251MG|PC3|HT29|MCF7	20	1	NA	NA	NA	NA
AAMP	14	ENSG00000127837	20	10	AGS|HT29|BICR6|MCF7|YAPC|A549|PC3|A375|U251MG|ES2	NA	NA	NA	NA	NA	NA
AARS	16	ENSG00000090861	NA	NA	NA	77	15	ES2|HT29|PC3|BICR6|A549|MCF7|A375|U251MG|IPC298|LCLC103H|SNU761|AGS|KELLY|YAPC|SNGM	NA	NA	NA
AASS	10157	ENSG00000008311	18	9	BICR6|PC3|A549|ES2|U251MG|HT29|AGS|A375|YAPC	NA	NA	NA	NA	NA	NA
AATF	26574	ENSG00000275700	NA	NA	NA	36	13	BICR6|HT29|U251MG|YAPC|IPC298|A549|MCF7|PC3|A375|ES2|SNU761|HCC1806|AGS	NA	NA	NA
AATK	9625	ENSG00000181409	20	10	ES2|HT29|MCF7|U251MG|PC3|BICR6|AGS|A549|YAPC|A375	5	1	NA	NA	NA	NA
ABAT	18	ENSG00000183044	20	10	U251MG|AGS|A549|BICR6|MCF7|PC3|YAPC|ES2|A375|HT29	78	14	PC3|YAPC|A549|A375|ES2|HT29|MCF7|SNU761|AGS|U251MG|HCC1806|BICR6|IPC298|KYSE30	9	6	AGS|YAPC|A549|MCF7|U251MG|ES2
ABCA1	19	ENSG00000165029	20	10	AGS|MCF7|PC3|YAPC|A375|BICR6|HT29|ES2|A549|U251MG	29	8	A375|PC3|BICR6|AGS|ES2|IPC298|YAPC|NA	NA	NA	NA
ABCA3	21	ENSG00000167972	NA	NA	NA	36	13	U251MG|A375|KYSE30|ES2|PC3|BICR6|HT29|A549|IPC298|YAPC|SNU761|SNGM|MCF7	NA	NA	NA
ABCA5	23461	ENSG00000154265	NA	NA	NA	36	15	U251MG|DANG|BICR6|HT29|SNU761|YAPC|AGS|MCF7|PC3|ES2|HCC1806|A549|IPC298|A375|KELLY	NA	NA	NA
ABCA6	23460	ENSG00000154262	20	10	ES2|U251MG|AGS|BICR6|PC3|YAPC|A549|MCF7|HT29|A375	NA	NA	NA	NA	NA	NA
ABCA7	10347	ENSG00000064687	20	10	U251MG|HT29|AGS|MCF7|ES2|A549|YAPC|PC3|BICR6|A375	NA	NA	NA	NA	NA	NA
ABCA8	10351	ENSG00000141338	20	10	PC3|U251MG|HT29|BICR6|A549|ES2|MCF7|AGS|YAPC|A375	NA	NA	NA	NA	NA	NA
ABCA9	10350	ENSG00000154258-bioMart	20	10	ES2|YAPC|BICR6|U251MG|PC3|A549|A375|HT29|MCF7|AGS	NA	NA	NA	NA	NA	NA
ABCB1	5243	ENSG00000085563	20	10	HT29|BICR6|A375|YAPC|A549|U251MG|MCF7|ES2|AGS|PC3	27	1	NA	NA	NA	NA
ABCB11	8647	ENSG00000073734	20	10	ES2|U251MG|PC3|AGS|YAPC|A549|HT29|A375|MCF7|BICR6	NA	NA	NA	NA	NA	NA
ABCB4	5244	ENSG00000005471	NA	NA	NA	24	1	NA	NA	NA	NA
ABCB5	340273	ENSG00000004846-bioMart	NA	NA	NA	24	1	NA	9	6	AGS|HT29|ES2|PC3|A549|BICR6
ABCB6	10058	ENSG00000115657	NA	NA	NA	81	14	BICR6|A375|A549|HT29|PC3|IPC298|U251MG|AGS|MCF7|ES2|SNU761|YAPC|KELLY|HCC1806	NA	NA	NA
ABCB7	22	ENSG00000131269	NA	NA	NA	30	14	MCF7|PC3|ES2|U251MG|HCC1806|YAPC|KYSE30|AGS|SNGM|A549|A375|BICR6|DANG|HT29	NA	NA	NA
ABCB9	23457	ENSG00000150967	20	10	A375|MCF7|A549|HT29|YAPC|ES2|AGS|BICR6|U251MG|PC3	7	6	BICR6|ES2|U251MG|PC3|A375|SNU761	25	10	A549|HT29|A375|BICR6|YAPC|AGS|U251MG|LCLC103H|ES2|HS944T
ABCC1	4363	ENSG00000103222	44	19	A549|SNU761|ES2|DANG|MCF7|U251MG|PC3|BICR6|YAPC|AGS|SNGM|KELLY|HS944T|HT29|IPC298|HCC1806|KYSE30|A375|LCLC103H	30	12	U251MG|BICR6|A549|YAPC|SNU761|MCF7|PC3|HS944T|A375|AGS|ES2|LCLC103H	NA	NA	NA
ABCC10	89845	ENSG00000124574	NA	NA	NA	30	14	DANG|HT29|AGS|ES2|MCF7|KYSE30|YAPC|IPC298|A549|U251MG|BICR6|PC3|A375|SNU761	NA	NA	NA
ABCC2	1244	ENSG00000023839	20	10	U251MG|MCF7|HT29|PC3|ES2|A549|YAPC|BICR6|AGS|A375	30	9	HT29|BICR6|U251MG|ES2|AGS|LCLC103H|PC3|A549|NA	NA	NA	NA
ABCC3	8714	ENSG00000108846	20	10	BICR6|MCF7|A549|HT29|PC3|A375|ES2|U251MG|AGS|YAPC	30	13	U251MG|AGS|A375|A549|YAPC|ES2|IPC298|PC3|HS944T|BICR6|HT29|MCF7|KYSE30	9	6	PC3|HT29|DANG|A549|BICR6|A375
ABCC4	10257	ENSG00000125257	NA	NA	NA	30	10	AGS|U251MG|A375|SNGM|BICR6|MCF7|YAPC|A549|PC3|ES2	NA	NA	NA
ABCC5	10057	ENSG00000114770	NA	NA	NA	75	17	HT29|BICR6|KYSE30|HS944T|U251MG|PC3|MCF7|YAPC|A549|SNGM|AGS|ES2|SNU761|IPC298|A375|LCLC103H|DANG	NA	NA	NA
ABCC8	6833	ENSG00000006071	20	10	ES2|A549|U251MG|PC3|BICR6|AGS|MCF7|HT29|YAPC|A375	NA	NA	NA	NA	NA	NA
ABCC9	10060	ENSG00000069431	20	10	A375|AGS|YAPC|ES2|PC3|A549|HT29|BICR6|U251MG|MCF7	NA	NA	NA	NA	NA	NA
ABCD1	215	ENSG00000101986	NA	NA	NA	10	8	A549|ES2|YAPC|A375|U251MG|HCC1806|HT29|KYSE30	NA	NA	NA
ABCD2	225	ENSG00000173208	20	10	A549|U251MG|BICR6|AGS|A375|PC3|ES2|HT29|MCF7|YAPC	NA	NA	NA	NA	NA	NA
ABCD3	5825	ENSG00000117528	20	10	AGS|A375|YAPC|A549|U251MG|PC3|HT29|ES2|MCF7|BICR6	36	13	A549|KELLY|U251MG|AGS|PC3|YAPC|MCF7|ES2|A375|HT29|SNGM|DANG|BICR6	NA	NA	NA
ABCF1	23	ENSG00000204574	NA	NA	NA	48	12	PC3|AGS|BICR6|ES2|YAPC|U251MG|A375|HT29|MCF7|A549|IPC298|SNGM	NA	NA	NA
ABCF2	10061	ENSG00000033050	NA	NA	NA	36	12	ES2|AGS|BICR6|A549|HT29|A375|LCLC103H|YAPC|U251MG|MCF7|PC3|SNGM	8	6	AGS|HT29|A549|HCC1806|A375|U251MG
ABCF3	55324	ENSG00000161204	NA	NA	NA	50	12	BICR6|HCC1806|AGS|U251MG|SNGM|YAPC|A549|ES2|MCF7|HT29|A375|PC3	8	6	HT29|A549|YAPC|BICR6|MCF7|ES2
ABCG2	9429	ENSG00000118777	20	10	PC3|YAPC|A549|AGS|U251MG|HT29|BICR6|A375|MCF7|ES2	33	11	ES2|AGS|U251MG|PC3|A549|BICR6|HT29|MCF7|HS944T|KYSE30|A375	NA	NA	NA
ABCG5	64240	ENSG00000138075	NA	NA	NA	27	11	A375|A549|ES2|YAPC|HT29|BICR6|U251MG|SNGM|AGS|PC3|NA	NA	NA	NA
ABCG8	64241	ENSG00000143921-bioMart	NA	NA	NA	35	10	LCLC103H|MCF7|SNGM|YAPC|A549|PC3|U251MG|A375|BICR6|NA	9	8	HCC1806|U251MG|MCF7|PC3|A549|IPC298|A375|AGS
ABHD2	11057	ENSG00000140526	20	10	A375|HT29|A549|AGS|BICR6|U251MG|ES2|PC3|MCF7|YAPC	30	10	A549|MCF7|BICR6|ES2|HT29|AGS|PC3|A375|U251MG|NA	9	7	ES2|A549|YAPC|A375|AGS|HCC1806|PC3
ABHD4	63874	ENSG00000100439	NA	NA	NA	39	13	YAPC|PC3|BICR6|AGS|HT29|HCC1806|A549|KELLY|HS944T|U251MG|SNGM|ES2|A375	9	6	ES2|BICR6|PC3|YAPC|A549|AGS
ABHD6	57406	ENSG00000163686	44	19	HT29|MCF7|BICR6|YAPC|KELLY|KYSE30|HS944T|ES2|HCC1806|LCLC103H|SNU761|AGS|SNGM|DANG|A549|U251MG|IPC298|PC3|A375	50	14	BICR6|A375|HT29|PC3|YAPC|LCLC103H|ES2|MCF7|AGS|A549|KELLY|KYSE30|HCC1806|HS944T	NA	NA	NA
ABI3	51225	ENSG00000108798-bioMart	20	10	AGS|MCF7|U251MG|HT29|A549|BICR6|YAPC|PC3|A375|ES2	NA	NA	NA	NA	NA	NA
ABI3BP	25890	ENSG00000154175	20	10	A549|AGS|ES2|U251MG|PC3|A375|MCF7|YAPC|BICR6|HT29	NA	NA	NA	NA	NA	NA
ABL1	25	ENSG00000097007	83	19	A375|MCF7|BICR6|HCC1806|A549|SNU761|SNGM|AGS|IPC298|KYSE30|PC3|ES2|LCLC103H|HT29|KELLY|YAPC|U251MG|HS944T|DANG	249	18	SNGM|ES2|BICR6|HT29|A549|PC3|YAPC|A375|U251MG|AGS|MCF7|HCC1806|KYSE30|IPC298|HS944T|KELLY|SNU761|NA	2	2	A549|U251MG
ABL2	27	ENSG00000143322	20	10	PC3|ES2|A375|BICR6|YAPC|U251MG|A549|MCF7|AGS|HT29	56	14	A549|U251MG|AGS|ES2|DANG|A375|MCF7|PC3|YAPC|KELLY|KYSE30|SNU761|BICR6|NA	NA	NA	NA
ABTB1	80325	ENSG00000114626-bioMart	NA	NA	NA	NA	NA	NA	1	1	A375
ABTB2	25841	ENSG00000166016	20	10	BICR6|A375|AGS|MCF7|HT29|YAPC|A549|ES2|U251MG|PC3	NA	NA	NA	NA	NA	NA
ACAA1	30	ENSG00000060971	NA	NA	NA	86	16	MCF7|YAPC|HT29|AGS|ES2|A375|PC3|HCC1806|A549|SNGM|BICR6|U251MG|KELLY|SNU761|IPC298|DANG	18	12	HCC44|AGS|A375|HS944T|U251MG|BICR6|MCF7|ES2|PC3|HT29|SNGM|YAPC
ACAA2	10449	ENSG00000167315	18	9	ES2|PC3|A549|A375|BICR6|HT29|U251MG|AGS|YAPC	NA	NA	NA	NA	NA	NA
ACACA	31	ENSG00000278540	20	10	MCF7|YAPC|BICR6|A549|AGS|U251MG|HT29|A375|PC3|ES2	98	16	MCF7|PC3|A549|ES2|SNGM|U251MG|KYSE30|A375|BICR6|HCC1806|AGS|YAPC|DANG|HT29|IPC298|NA	NA	NA	NA
ACACB	32	ENSG00000076555	20	10	A375|YAPC|AGS|ES2|A549|MCF7|U251MG|HT29|PC3|BICR6	72	1	NA	NA	NA	NA
ACAD8	27034	ENSG00000151498	18	9	PC3|BICR6|HT29|A375|ES2|U251MG|A549|YAPC|AGS	24	1	NA	NA	NA	NA
ACADM	34	ENSG00000117054	18	9	YAPC|A549|PC3|A375|BICR6|AGS|U251MG|ES2|HT29	30	12	HS944T|PC3|ES2|YAPC|BICR6|A375|HT29|U251MG|A549|MCF7|LCLC103H|AGS	9	7	BICR6|A375|A549|YAPC|U251MG|AGS|PC3
ACADS	35	ENSG00000122971	NA	NA	NA	33	9	A375|YAPC|HT29|ES2|BICR6|MCF7|A549|PC3|NA	9	7	MCF7|U251MG|HT29|YAPC|AGS|ES2|A549
ACADSB	36	ENSG00000196177	18	9	AGS|A549|ES2|U251MG|HT29|BICR6|A375|PC3|YAPC	32	10	HT29|SNGM|PC3|U251MG|AGS|A549|A375|BICR6|YAPC|NA	9	4	U251MG|SNU761|ES2|YAPC
ACAN	176	ENSG00000157766	18	9	PC3|U251MG|BICR6|A375|AGS|ES2|A549|HT29|YAPC	NA	NA	NA	NA	NA	NA
ACAP1	9744	ENSG00000072818	20	10	MCF7|ES2|A549|PC3|U251MG|HT29|AGS|A375|BICR6|YAPC	NA	NA	NA	NA	NA	NA
ACAT1	38	ENSG00000075239	20	10	AGS|U251MG|PC3|A375|HT29|YAPC|MCF7|A549|BICR6|ES2	36	13	ES2|HCC1806|YAPC|DANG|AGS|A375|PC3|BICR6|LCLC103H|U251MG|A549|HT29|MCF7	NA	NA	NA
ACAT2	39	ENSG00000120437	63	19	DANG|U251MG|KELLY|BICR6|YAPC|HT29|SNGM|A375|KYSE30|PC3|A549|AGS|MCF7|ES2|SNU761|IPC298|HS944T|HCC1806|LCLC103H	69	13	MCF7|A375|A549|ES2|HT29|PC3|BICR6|YAPC|U251MG|AGS|HCC1806|LCLC103H|IPC298	19	12	A375|KYSE30|HCC1806|A549|U251MG|PC3|HT29|DANG|YAPC|ES2|LCLC103H|BICR6
ACBD3	64746	ENSG00000182827	NA	NA	NA	42	13	A549|BICR6|IPC298|MCF7|PC3|KYSE30|U251MG|DANG|A375|YAPC|AGS|HT29|ES2	NA	NA	NA
ACD	65057	ENSG00000102977	NA	NA	NA	48	12	A375|MCF7|ES2|YAPC|AGS|BICR6|PC3|U251MG|HT29|HS944T|A549|HCC1806	26	12	ES2|A375|HT29|IPC298|PC3|MCF7|LCLC103H|U251MG|YAPC|BICR6|SNGM|A549
ACE	1636	ENSG00000159640	20	10	HT29|AGS|ES2|YAPC|PC3|A549|BICR6|A375|MCF7|U251MG	NA	NA	NA	NA	NA	NA
ACE2	59272	ENSG00000130234	20	10	BICR6|A549|MCF7|YAPC|PC3|U251MG|AGS|HT29|ES2|A375	NA	NA	NA	NA	NA	NA
ACHE	43	ENSG00000087085	20	10	A375|MCF7|YAPC|PC3|U251MG|HT29|ES2|AGS|BICR6|A549	NA	NA	NA	NA	NA	NA
ACKR1	2532	ENSG00000213088	20	10	AGS|A549|ES2|YAPC|U251MG|PC3|HT29|MCF7|BICR6|A375	NA	NA	NA	NA	NA	NA
ACKR3	57007	ENSG00000144476	20	10	U251MG|PC3|A375|YAPC|ES2|A549|MCF7|HT29|BICR6|AGS	NA	NA	NA	NA	NA	NA
ACLY	47	ENSG00000131473	34	19	A375|AGS|U251MG|HS944T|YAPC|KYSE30|MCF7|A549|ES2|BICR6|IPC298|PC3|DANG|SNU761|LCLC103H|KELLY|HCC1806|HT29|SNGM	83	18	A549|U251MG|PC3|KYSE30|SNU761|ES2|AGS|MCF7|LCLC103H|BICR6|A375|HT29|DANG|IPC298|YAPC|HCC1806|HS944T|SNGM	9	7	SNGM|HT29|YAPC|PC3|A549|ES2|AGS
ACMSD	130013	ENSG00000153086-bioMart	20	10	A375|MCF7|YAPC|AGS|PC3|HT29|U251MG|A549|ES2|BICR6	NA	NA	NA	NA	NA	NA
ACO1	48	ENSG00000122729	20	10	U251MG|MCF7|PC3|A549|A375|BICR6|HT29|YAPC|AGS|ES2	NA	NA	NA	NA	NA	NA
ACO2	50	ENSG00000100412	42	18	BICR6|A549|U251MG|A375|HCC1806|SNU761|ES2|IPC298|HT29|KYSE30|KELLY|HS944T|YAPC|DANG|AGS|SNGM|LCLC103H|PC3	44	16	HCC44|HT29|BICR6|A375|A549|ES2|AGS|YAPC|HS944T|U251MG|HCC1806|DANG|KELLY|MCF7|IPC298|PC3	NA	NA	NA
ACOD1	730249	ENSG00000102794-bioMart	20	10	MCF7|ES2|A375|BICR6|A549|AGS|PC3|HT29|U251MG|YAPC	NA	NA	NA	NA	NA	NA
ACOT9	23597	ENSG00000123130	NA	NA	NA	24	13	U251MG|BICR6|KELLY|HT29|IPC298|SNU761|A549|A375|AGS|PC3|YAPC|ES2|LCLC103H	NA	NA	NA
ACOX1	51	ENSG00000161533	18	9	A375|BICR6|HT29|YAPC|ES2|A549|U251MG|PC3|AGS	NA	NA	NA	NA	NA	NA
ACP1	52	ENSG00000143727	22	19	KYSE30|SNGM|KELLY|BICR6|U251MG|YAPC|MCF7|ES2|A549|IPC298|PC3|HT29|A375|AGS|HS944T|HCC1806|LCLC103H|SNU761|DANG	NA	NA	NA	NA	NA	NA
ACP5	54	ENSG00000102575	20	10	ES2|AGS|BICR6|U251MG|PC3|A375|YAPC|A549|HT29|MCF7	NA	NA	NA	NA	NA	NA
