cmap_name	entrezgene_id	ensembl_gene_id
A1BG	1	ENSG00000121410
A1BG-AS1	503538	ENSG00000268895
A1CF	29974	ENSG00000148584
A2M	2	ENSG00000175899
A4GALT	53947	ENSG00000128274
AADAT	51166	ENSG00000109576
AAK1	22848	ENSG00000115977
AAMP	14	ENSG00000127837
AARS	16	ENSG00000090861
AASS	10157	ENSG00000008311
AATF	26574	ENSG00000275700
AATK	9625	ENSG00000181409
ABAT	18	ENSG00000183044
ABCA1	19	ENSG00000165029
ABCA3	21	ENSG00000167972
ABCA5	23461	ENSG00000154265
ABCA6	23460	ENSG00000154262
ABCA7	10347	ENSG00000064687
ABCA8	10351	ENSG00000141338
ABCA9	10350	ENSG00000154258
ABCB1	5243	ENSG00000085563
ABCB11	8647	ENSG00000073734
ABCB4	5244	ENSG00000005471
ABCB5	340273	ENSG00000004846
ABCB6	10058	ENSG00000115657
ABCB7	22	ENSG00000131269
ABCB9	23457	ENSG00000150967
ABCC1	4363	ENSG00000103222
ABCC10	89845	ENSG00000124574
ABCC2	1244	ENSG00000023839
ABCC3	8714	ENSG00000108846
ABCC4	10257	ENSG00000125257
ABCC5	10057	ENSG00000114770
ABCC8	6833	ENSG00000006071
ABCC9	10060	ENSG00000069431
ABCD1	215	ENSG00000101986
ABCD2	225	ENSG00000173208
ABCD3	5825	ENSG00000117528
ABCF1	23	ENSG00000204574
ABCF2	10061	ENSG00000033050
ABCF3	55324	ENSG00000161204
ABCG2	9429	ENSG00000118777
ABCG5	64240	ENSG00000138075
ABCG8	64241	ENSG00000143921
ABHD2	11057	ENSG00000140526
ABHD4	63874	ENSG00000100439
ABHD6	57406	ENSG00000163686
ABI3	51225	ENSG00000108798
ABI3BP	25890	ENSG00000154175
ABL1	25	ENSG00000097007
ABL2	27	ENSG00000143322
ABTB1	80325	ENSG00000114626
ABTB2	25841	ENSG00000166016
ACAA1	30	ENSG00000060971
ACAA2	10449	ENSG00000167315
ACACA	31	ENSG00000278540
ACACB	32	ENSG00000076555
ACAD8	27034	ENSG00000151498
ACADM	34	ENSG00000117054
ACADS	35	ENSG00000122971
ACADSB	36	ENSG00000196177
ACAN	176	ENSG00000157766
ACAP1	9744	ENSG00000072818
ACAT1	38	ENSG00000075239
ACAT2	39	ENSG00000120437
ACBD3	64746	ENSG00000182827
ACD	65057	ENSG00000102977
ACE	1636	ENSG00000159640
ACE2	59272	ENSG00000130234
ACHE	43	ENSG00000087085
ACKR1	2532	ENSG00000213088
ACKR3	57007	ENSG00000144476
ACLY	47	ENSG00000131473
ACMSD	130013	ENSG00000153086
ACO1	48	ENSG00000122729
ACO2	50	ENSG00000100412
ACOD1	730249	ENSG00000102794
ACOT9	23597	ENSG00000123130
ACOX1	51	ENSG00000161533
ACP1	52	ENSG00000143727
ACP5	54	ENSG00000102575
ACSL1	2180	ENSG00000151726
ACSL3	2181	ENSG00000123983
ACSL4	2182	ENSG00000068366
ACSL6	23305	ENSG00000164398
ACSM2A	123876	ENSG00000183747
ACSM2B	348158	ENSG00000066813
ACSM5	54988	ENSG00000183549
ACSS1	84532	ENSG00000154930
ACSS2	55902	ENSG00000131069
ACTA1	58	ENSG00000143632
ACTA2	59	ENSG00000107796
ACTB	60	ENSG00000075624
ACTG1	71	ENSG00000184009
ACTL6A	86	ENSG00000136518
ACTN1	87	ENSG00000072110
ACTN2	88	ENSG00000077522
ACTN4	81	ENSG00000130402
ACTR1A	10121	ENSG00000138107
ACTR2	10097	ENSG00000138071
ACTR3	10096	ENSG00000115091
ACVR1	90	ENSG00000115170
ACVR1B	91	ENSG00000135503
ACVR1C	130399	ENSG00000123612
ACVR2A	92	ENSG00000121989
ACVR2B	93	ENSG00000114739
ACVR2B-AS1	100128640	ENSG00000229589
ACVRL1	94	ENSG00000139567
ACY1	95	ENSG00000243989
ACY3	91703	ENSG00000132744
ADA	100	ENSG00000196839
ADA2	51816	ENSG00000093072
ADAD1	132612	ENSG00000164113
