probe_id	ensembl_gene_id	hgnc_symbol	entrezgene_id	biotype
209109_s_at	ENSG00000000003	TSPAN6	7105	protein_coding
209108_at	ENSG00000000003	TSPAN6	7105	protein_coding
220065_at	ENSG00000000005	TNMD	64102	protein_coding
202673_at	ENSG00000000419	DPM1	8813	protein_coding
41329_at	ENSG00000000457	SCYL3	57147	protein_coding
205607_s_at	ENSG00000000457	SCYL3	57147	protein_coding
231111_at	ENSG00000000457	SCYL3	57147	protein_coding
220840_s_at	ENSG00000000460	C1orf112	55732	protein_coding
208438_s_at	ENSG00000000938	FGR	2268	protein_coding
213800_at	ENSG00000000971	CFH	3075	protein_coding
223120_at	ENSG00000001036	FUCA2	2519	protein_coding
1555330_at	ENSG00000001084	GCLC	2729	protein_coding
202923_s_at	ENSG00000001084	GCLC	2729	protein_coding
202922_at	ENSG00000001084	GCLC	2729	protein_coding
215720_s_at	ENSG00000001167	NFYA	4800	protein_coding
204109_s_at	ENSG00000001167	NFYA	4800	protein_coding
204107_at	ENSG00000001167	NFYA	4800	protein_coding
204108_at	ENSG00000001167	NFYA	4800	protein_coding
233693_at	ENSG00000001460	STPG1	90529	protein_coding
227694_at	ENSG00000001460	STPG1	90529	protein_coding
210267_at	ENSG00000001461	NIPAL3	57185	protein_coding
214579_at	ENSG00000001461	NIPAL3	57185	protein_coding
225875_s_at	ENSG00000001461	NIPAL3	57185	protein_coding
225876_at	ENSG00000001461	NIPAL3	57185	protein_coding
235541_at	ENSG00000001497	LAS1L	81887	protein_coding
208117_s_at	ENSG00000001497	LAS1L	81887	protein_coding
204160_s_at	ENSG00000001561	ENPP4	22875	protein_coding
204161_s_at	ENSG00000001561	ENPP4	22875	protein_coding
206832_s_at	ENSG00000001617	SEMA3F	6405	protein_coding
209730_at	ENSG00000001617	SEMA3F	6405	protein_coding
35666_at	ENSG00000001617	SEMA3F	6405	protein_coding
234702_x_at	ENSG00000001626	CFTR	1080	protein_coding
215702_s_at	ENSG00000001626	CFTR	1080	protein_coding
215703_at	ENSG00000001626	CFTR	1080	protein_coding
205043_at	ENSG00000001626	CFTR	1080	protein_coding
224687_at	ENSG00000001629	ANKIB1	54467	protein_coding
224682_at	ENSG00000001629	ANKIB1	54467	protein_coding
34031_i_at	ENSG00000001631	KRIT1	889	protein_coding
204738_s_at	ENSG00000001631	KRIT1	889	protein_coding
229785_at	ENSG00000001631	KRIT1	889	protein_coding
236880_at	ENSG00000002016	RAD52	5893	protein_coding
211904_x_at	ENSG00000002016	RAD52	5893	protein_coding
210630_s_at	ENSG00000002016	RAD52	5893	protein_coding
205647_at	ENSG00000002016	RAD52	5893	protein_coding
1564072_at	ENSG00000002079	MYH16	NA	transcribed_unitary_pseudogene
1861_at	ENSG00000002330	BAD	572	protein_coding
209364_at	ENSG00000002330	BAD	572	protein_coding
217933_s_at	ENSG00000002549	LAP3	51056	protein_coding
205465_x_at	ENSG00000002587	HS3ST1	9957	protein_coding
205466_s_at	ENSG00000002587	HS3ST1	9957	protein_coding
203559_s_at	ENSG00000002726	AOC1	26	protein_coding
221113_s_at	ENSG00000002745	WNT16	51384	protein_coding
224022_x_at	ENSG00000002745	WNT16	51384	protein_coding
215584_at	ENSG00000002746	HECW1	23072	protein_coding
210331_at	ENSG00000002746	HECW1	23072	protein_coding
243163_at	ENSG00000002746	HECW1	23072	protein_coding
200618_at	ENSG00000002834	LASP1	3927	protein_coding
220140_s_at	ENSG00000002919	SNX11	29916	protein_coding
53912_at	ENSG00000002919	SNX11	29916	protein_coding
218345_at	ENSG00000002933	TMEM176A	55365	protein_coding
200900_s_at	ENSG00000003056	M6PR	4074	protein_coding
227875_at	ENSG00000003096	KLHL13	90293	protein_coding
234721_s_at	ENSG00000003137	CYP26B1	56603	protein_coding
219825_at	ENSG00000003137	CYP26B1	56603	protein_coding
230639_at	ENSG00000003147	ICA1	3382	protein_coding
211740_at	ENSG00000003147	ICA1	3382	protein_coding
210547_x_at	ENSG00000003147	ICA1	3382	protein_coding
207949_s_at	ENSG00000003147	ICA1	3382	protein_coding
204002_s_at	ENSG00000003147	ICA1	3382	protein_coding
222234_s_at	ENSG00000003249	DBNDD1	79007	protein_coding
232184_at	ENSG00000003393	ALS2	57679	protein_coding
1555284_at	ENSG00000003393	ALS2	57679	protein_coding
226291_at	ENSG00000003393	ALS2	57679	protein_coding
210708_x_at	ENSG00000003400	CASP10	843	protein_coding
211888_x_at	ENSG00000003400	CASP10	843	protein_coding
205467_at	ENSG00000003400	CASP10	843	protein_coding
210955_at	ENSG00000003400	CASP10	843	protein_coding
237367_x_at	ENSG00000003402	CFLAR	8837	protein_coding
210563_x_at	ENSG00000003402	CFLAR	8837	protein_coding
209939_x_at	ENSG00000003402	CFLAR	8837	protein_coding
210564_x_at	ENSG00000003402	CFLAR	8837	protein_coding
214618_at	ENSG00000003402	CFLAR	8837	protein_coding
211862_x_at	ENSG00000003402	CFLAR	8837	protein_coding
208485_x_at	ENSG00000003402	CFLAR	8837	protein_coding
