ID	Symbol	Entrez_Gene_ID	Geneid	hgnc_symbol	entrezgene_id	biotype
ILMN_2055271	A1BG	1	ENSG00000121410	A1BG	1	protein_coding
ILMN_1745607	A2M	2	ENSG00000175899	A2M	2	protein_coding
ILMN_1688071	NAT1	9	ENSG00000171428	NAT1	9	protein_coding
ILMN_1743055	NAT1	9	ENSG00000171428	NAT1	9	protein_coding
ILMN_1670903	NAT2	10	ENSG00000156006	NAT2	10	protein_coding
ILMN_1788874	SERPINA3	12	ENSG00000196136	SERPINA3	12	protein_coding
ILMN_1760414	AADAC	13	ENSG00000114771	AADAC	13	protein_coding
ILMN_1653165	AAMP	14	ENSG00000127837	AAMP	14	protein_coding
ILMN_1729835	AANAT	15	ENSG00000129673	AANAT	15	protein_coding
ILMN_1662364	AARS	16	ENSG00000090861	AARS1	16	protein_coding
ILMN_2404407	ABAT	18	ENSG00000183044	ABAT	18	protein_coding
ILMN_1805104	ABAT	18	ENSG00000183044	ABAT	18	protein_coding
ILMN_1670117	ABAT	18	ENSG00000183044	ABAT	18	protein_coding
ILMN_1766054	ABCA1	19	ENSG00000165029	ABCA1	19	protein_coding
ILMN_1687636	ABCA2	20	ENSG00000107331	ABCA2	20	protein_coding
ILMN_1747627	ABCA2	20	ENSG00000107331	ABCA2	20	protein_coding
ILMN_1758523	ABCA3	21	ENSG00000167972	ABCA3	21	protein_coding
ILMN_1687840	ABCB7	22	ENSG00000131269	ABCB7	22	protein_coding
ILMN_2392635	ABCF1	23	ENSG00000204574	ABCF1	23	protein_coding
ILMN_1763875	ABCF1	23	ENSG00000204574	ABCF1	23	protein_coding
ILMN_1794965	ABCA4	24	ENSG00000198691	ABCA4	24	protein_coding
ILMN_1708922	ABL1	25	ENSG00000097007	ABL1	25	protein_coding
ILMN_1713732	ABL1	25	ENSG00000097007	ABL1	25	protein_coding
ILMN_2268241	ABL1	25	ENSG00000097007	ABL1	25	protein_coding
ILMN_1731433	ABP1	26	ENSG00000002726	AOC1	26	protein_coding
ILMN_2240003	ABL2	27	ENSG00000143322	ABL2	27	protein_coding
ILMN_1741628	ABL2	27	ENSG00000143322	ABL2	27	protein_coding
ILMN_1657870	ABL2	27	ENSG00000143322	ABL2	27	protein_coding
ILMN_1656979	ABO	28	ENSG00000175164	ABO	28	protein_coding
ILMN_1672878	ABR	29	ENSG00000159842	ABR	29	protein_coding
ILMN_1655114	ABR	29	ENSG00000159842	ABR	29	protein_coding
ILMN_1657045	ABR	29	ENSG00000159842	ABR	29	protein_coding
ILMN_1738921	ACAA1	30	ENSG00000060971	ACAA1	30	protein_coding
ILMN_1772123	ACACA	31	ENSG00000278540	ACACA	31	protein_coding
ILMN_1667641	ACACA	31	ENSG00000278540	ACACA	31	protein_coding
ILMN_2331636	ACACA	31	ENSG00000278540	ACACA	31	protein_coding
ILMN_1763852	ACACB	32	ENSG00000076555	ACACB	32	protein_coding
ILMN_1660890	ACADL	33	ENSG00000115361	ACADL	33	protein_coding
ILMN_2053679	ACADM	34	ENSG00000117054	ACADM	34	protein_coding
ILMN_1778104	ACADM	34	ENSG00000117054	ACADM	34	protein_coding
ILMN_1795104	ACADS	35	ENSG00000122971	ACADS	35	protein_coding
ILMN_1740920	ACADSB	36	ENSG00000196177	ACADSB	36	protein_coding
ILMN_2352009	ACADVL	37	ENSG00000072778	ACADVL	37	protein_coding
ILMN_2263466	ACADVL	37	ENSG00000072778	ACADVL	37	protein_coding
ILMN_1806408	ACADVL	37	ENSG00000072778	ACADVL	37	protein_coding
ILMN_1800008	ACAT1	38	ENSG00000075239	ACAT1	38	protein_coding
ILMN_1708672	ACAT2	39	ENSG00000120437	ACAT2	39	protein_coding
ILMN_2133799	ACAT2	39	ENSG00000120437	ACAT2	39	protein_coding
ILMN_1779685	ACCN1	40	ENSG00000108684	ASIC2	40	protein_coding
ILMN_1769694	ACCN2	41	ENSG00000110881	ASIC1	41	protein_coding
ILMN_1727251	ACCN2	41	ENSG00000110881	ASIC1	41	protein_coding
ILMN_2333219	ACHE	43	ENSG00000087085	ACHE	43	protein_coding
ILMN_1780485	ACHE	43	ENSG00000087085	ACHE	43	protein_coding
