probe_id	Geneid	hgnc_symbol	entrezgene_id	biotype
8173941	ENSG00000000003	TSPAN6	7105	protein_coding
8168737	ENSG00000000005	TNMD	64102	protein_coding
8067017	ENSG00000000419	DPM1	8813	protein_coding
7922250	ENSG00000000457	SCYL3	57147	protein_coding
7907183	ENSG00000000460	C1orf112	55732	protein_coding
7914112	ENSG00000000938	FGR	2268	protein_coding
7908459	ENSG00000000971	CFH	3075	protein_coding
8180195	ENSG00000000971	CFH	3075	protein_coding
8129974	ENSG00000001036	FUCA2	2519	protein_coding
8127158	ENSG00000001084	GCLC	2729	protein_coding
8119408	ENSG00000001167	NFYA	4800	protein_coding
7913787	ENSG00000001460	STPG1	90529	protein_coding
7898939	ENSG00000001461	NIPAL3	57185	protein_coding
8173269	ENSG00000001497	LAS1L	81887	protein_coding
8120061	ENSG00000001561	ENPP4	22875	protein_coding
8079896	ENSG00000001617	SEMA3F	6405	protein_coding
8135661	ENSG00000001626	CFTR	1080	protein_coding
8134180	ENSG00000001629	ANKIB1	54467	protein_coding
8140864	ENSG00000001630	CYP51A1	1595	protein_coding
8180268	ENSG00000001630	CYP51A1	1595	protein_coding
8140878	ENSG00000001631	KRIT1	889	protein_coding
7960261	ENSG00000002016	RAD52	5893	protein_coding
8134564	ENSG00000002079	MYH16	NA	transcribed_unitary_pseudogene
7949067	ENSG00000002330	BAD	572	protein_coding
8094259	ENSG00000002549	LAP3	51056	protein_coding
8099388	ENSG00000002587	HS3ST1	9957	protein_coding
8137271	ENSG00000002726	AOC1	26	protein_coding
8135763	ENSG00000002745	WNT16	51384	protein_coding
8132465	ENSG00000002746	HECW1	23072	protein_coding
8006820	ENSG00000002834	LASP1	3927	protein_coding
8006834	ENSG00000002834	LASP1	3927	protein_coding
8008096	ENSG00000002919	SNX11	29916	protein_coding
8137264	ENSG00000002933	TMEM176A	55365	protein_coding
7960933	ENSG00000003056	M6PR	4074	protein_coding
8174654	ENSG00000003096	KLHL13	90293	protein_coding
8052947	ENSG00000003137	CYP26B1	56603	protein_coding
8138202	ENSG00000003147	ICA1	3382	protein_coding
8003560	ENSG00000003249	DBNDD1	79007	protein_coding
8058295	ENSG00000003393	ALS2	57679	protein_coding
8047403	ENSG00000003400	CASP10	843	protein_coding
8047381	ENSG00000003402	CFLAR	8837	protein_coding
8047401	ENSG00000003402	CFLAR	8837	protein_coding
8057599	ENSG00000003436	TFPI	7035	protein_coding
8041495	ENSG00000003509	NDUFAF7	55471	protein_coding
8079869	ENSG00000003756	RBM5	10181	protein_coding
8149485	ENSG00000003987	MTMR7	9108	protein_coding
8144786	ENSG00000003989	SLC7A2	6542	protein_coding
8135856	ENSG00000004059	ARF5	381	protein_coding
8005865	ENSG00000004139	SARM1	23098	protein_coding
8013588	ENSG00000004142	POLDIP2	26073	protein_coding
8090591	ENSG00000004399	PLXND1	23129	protein_coding
7914617	ENSG00000004455	AK2	204	protein_coding
8094240	ENSG00000004468	CD38	952	protein_coding
7953100	ENSG00000004478	FKBP4	2288	protein_coding
7898833	ENSG00000004487	KDM1A	23028	protein_coding
8079842	ENSG00000004534	RBM6	10180	protein_coding
8011480	ENSG00000004660	CAMKK1	84254	protein_coding
7961654	ENSG00000004700	RECQL	5965	protein_coding
8134219	ENSG00000004766	VPS50	55610	protein_coding
8036151	ENSG00000004776	HSPB6	126393	protein_coding
8028030	ENSG00000004777	ARHGAP33	115703	protein_coding
8000323	ENSG00000004779	NDUFAB1	4706	protein_coding
8141094	ENSG00000004799	PDK4	5166	protein_coding
8128850	ENSG00000004809	SLC22A16	85413	protein_coding
8087653	ENSG00000004838	ZMYND10	51364	protein_coding
8131682	ENSG00000004846	ABCB5	340273	protein_coding
8171867	ENSG00000004848	ARX	170302	protein_coding
8141107	ENSG00000004864	SLC25A13	10165	protein_coding
8135638	ENSG00000004866	ST7	7982	protein_coding
8016324	ENSG00000004897	CDC27	996	protein_coding
8015991	ENSG00000004939	SLC4A1	6521	protein_coding
8140995	ENSG00000004948	CALCR	799	protein_coding
8165995	ENSG00000004961	HCCS	3052	protein_coding
8012079	ENSG00000004975	DVL2	1856	protein_coding
7998878	ENSG00000005001	PRSS22	64063	protein_coding
8027074	ENSG00000005007	UPF1	5976	protein_coding
8138689	ENSG00000005020	SKAP2	8935	protein_coding
8169640	ENSG00000005022	SLC25A5	292	protein_coding
8096808	ENSG00000005059	MCUB	55013	protein_coding
8138765	ENSG00000005073	HOXA11	3207	protein_coding
8141762	ENSG00000005075	POLR2J	5439	protein_coding
8011861	ENSG00000005100	DHX33	56919	protein_coding
8015821	ENSG00000005102	MEOX1	4222	protein_coding
8138231	ENSG00000005108	THSD7A	221981	protein_coding
8006479	ENSG00000005156	LIG3	3980	protein_coding
7962590	ENSG00000005175	RPAP3	79657	protein_coding
7993756	ENSG00000005187	ACSM3	6296	protein_coding
7993776	ENSG00000005189	REXO5	81691	protein_coding
8001552	ENSG00000005194	CIAPIN1	57019	protein_coding
8024446	ENSG00000005206	SPPL2B	56928	protein_coding
8160981	ENSG00000005238	FAM214B	80256	protein_coding
8016390	ENSG00000005243	COPZ2	51226	protein_coding
8135378	ENSG00000005249	PRKAR2B	5577	protein_coding
8166015	ENSG00000005302	MSL3	10943	protein_coding
7999044	ENSG00000005339	CREBBP	1387	protein_coding
8016947	ENSG00000005379	TSPOAP1	9256	protein_coding
8016932	ENSG00000005381	MPO	4353	protein_coding
8141052	ENSG00000005421	PON1	5444	protein_coding
8053288	ENSG00000005436	GCFC2	6936	protein_coding
8042843	ENSG00000005448	WDR54	84058	protein_coding
8133938	ENSG00000005469	CROT	54677	protein_coding
8140752	ENSG00000005471	ABCB4	5244	protein_coding
8135277	ENSG00000005483	KMT2E	55904	protein_coding
8133662	ENSG00000005486	RHBDD2	57414	protein_coding
7992125	ENSG00000005513	SOX8	30812	protein_coding
8127787	ENSG00000005700	IBTK	25998	protein_coding
7945864	ENSG00000005801	ZNF195	7748	protein_coding
7972069	ENSG00000005810	MYCBP2	23077	protein_coding
7972062	ENSG00000005812	FBXL3	26224	protein_coding
7994826	ENSG00000005844	ITGAL	3683	protein_coding
8008263	ENSG00000005882	PDK2	5164	protein_coding
8008237	ENSG00000005884	ITGA3	3675	protein_coding
8166500	ENSG00000005889	ZFX	7543	protein_coding
8174779	ENSG00000005893	LAMP2	3920	protein_coding
8016044	ENSG00000005961	ITGA2B	3674	protein_coding
8134376	ENSG00000005981	ASB4	51666	protein_coding
7999889	ENSG00000006007	GDE1	51573	protein_coding
8027032	ENSG00000006015	REX1BD	55049	protein_coding
8035506	ENSG00000006016	CRLF1	9244	protein_coding
8016336	ENSG00000006025	OSBPL7	114881	protein_coding
8006415	ENSG00000006042	TMEM98	26022	protein_coding
8012140	ENSG00000006047	YBX2	51087	protein_coding
8015257	ENSG00000006059	KRT33A	3883	protein_coding
8016194	ENSG00000006062	MAP3K14	9020	protein_coding
7946860	ENSG00000006071	ABCC8	6833	protein_coding
7994152	ENSG00000006116	CACNG3	10368	protein_coding
7940377	ENSG00000006118	TMEM132A	54972	protein_coding
8006542	ENSG00000006125	AP2B1	163	protein_coding
8134420	ENSG00000006128	TAC1	6863	protein_coding
7992870	ENSG00000006194	ZNF263	10127	protein_coding
7996027	ENSG00000006210	CX3CL1	6376	protein_coding
8008388	ENSG00000006282	SPATA20	64847	protein_coding
