hgnc_symbol,entrez_id
ARID3A,1820
ATF1,466
ATF2,1386
ATF3,467
BACH1,571
BATF,10538
BCL11A,53335
BCL3,602
BCLAF1,9774
BDP1,55814
BHLHE40,8553
BRCA1,672
BRF1,2972
BRF2,55290
CBX2,84733
CBX3,11335
CBX8,57332
CCNT2,905
CEBPB,1051
CEBPD,1052
CEBPZ,10153
CHD1,1105
CHD2,1106
CHD4,1108
CHD7,55636
CREB1,1385
CREBBP,1387
CTBP2,1488
CTCF,10664
CTCFL,140690
CUX1,1523
E2F1,1869
E2F4,1874
E2F6,1876
EBF1,1879
EGR1,1958
ELF1,1997
ELK1,2002
ELK4,2005
EP300,2033
ESR1,2099
ESRRA,2101
ETS1,2113
EZH2,2146
FOS,2353
FOSL1,8061
FOSL2,2355
FOXA1,3169
FOXA2,3170
FOXM1,2305
FOXP2,93986
GABPA,2551
GATA1,2623
GATA2,2624
GATA3,2625
GTF2B,2959
GTF2F1,2962
GTF3C2,2976
HCFC1,3054
HDAC1,3065
HDAC2,3066
HDAC6,10013
HDAC8,55869
HEY1,23462
HMGN3,9324
HNF4A,3172
HNF4G,3174
HSF1,3297
IKZF1,10320
IRF1,3659
IRF3,3661
IRF4,3662
JUN,3725
JUNB,3726
JUND,3727
KAT2A,2648
KAT2B,8850
KDM1A,23028
KDM4A,9682
KDM5A,5927
KDM5B,10765
MAFF,23764
MAFK,7975
MAX,4149
MAZ,4150
MBD4,8930
MEF2A,4205
MEF2C,4208
MTA3,57504
MXI1,4601
MYBL2,4605
MYC,4609
NANOG,79923
NCOR1,9611
NELFE,7936
NFATC1,4772
NFE2,4778
NFIC,4782
NFYA,4800
NFYB,4801
NR2C2,7182
NR2F2,7026
NR3C1,2908
NR4A1,3164
NRF1,4899
PAX5,5079
PBX3,5090
PHF8,23133
PML,5371
POLR2A,5430
POLR3A,11128
POLR3G,10622
POU2F2,5452
POU5F1,5460
PPARGC1A,10891
PRDM1,639
RAD21,5885
RBBP5,5929
RCOR1,23186
RELA,5970
REST,5978
RFX5,5993
RNF2,6045
RUNX3,864
RXRA,6256
SAP30,8819
SETDB1,9869
SIN3A,25942
SIRT6,51548
SIX5,147912
SMARCA4,6597
SMARCB1,6598
SMARCC1,6599
SMARCC2,6601
SMC3,9126
SP1,6667
SP2,6668
SP4,6671
SPI1,6688
SREBF1,6720
SREBF2,6721
SRF,6722
STAT1,6772
STAT2,6773
STAT3,6774
STAT5A,6776
SUPT20H,55578
SUZ12,23512
TAF1,6872
TAF7,6879
TAL1,6886
TBL1XR1,79718
TBP,6908
TCF12,6938
TCF3,6929
TCF7L2,6934
TEAD4,7004
TFAP2A,7020
TFAP2C,7022
THAP1,55145
TRIM28,10155
UBTF,7343
USF1,7391
USF2,7392
WRNIP1,56897
XRCC4,7518
YY1,7528
ZBTB33,10009
ZBTB7A,51341
ZC3H11A,9877
ZEB1,6935
ZKSCAN1,7586
ZMIZ1,57178
ZNF143,7702
ZNF217,7764
ZNF263,10127
ZNF274,10782
ZNF384,171017
ZZZ3,26009
WHSC1,7468
