Gene.Symbol,ENTREZ_GENE_ID
A2M,2
NAT1,9
NAT2,10
SERPINA3,12
AADAC,13
AAMP,14
AANAT,15
AARS,16
ABAT,18
ABCA1,19
ABCA2,20
ABCA3,21
ABCB7,22
ABCF1,23
ABCA4,24
ABL1,25
AOC1,26
ABL2,27
ABO,28
ABR,29
ACAA1,30
ACACA,31
ACACB,32
ACADL,33
ACADM,34
ACADS,35
ACADSB,36
ACADVL,37
ACAT1,38
ACAT2,39
ASIC2,40
ASIC1,41
ACHE,43
ACLY,47
ACO1,48
ACR,49
ACO2,50
ACOX1,51
ACP1,52
ACP2,53
ACP5,54
ACPP,55
ACRV1,56
ACTA1,58
ACTA2,59
ACTB,60
ACTC1,70
ACTG2,72
ACTN4,81
ACTL6A,86
ACTN1,87
ACTN2,88
ACTN3,89
ACVR1,90
ACVR1B,91
ACVR2A,92
ACVR2B,93
ACVRL1,94
ACYP1,97
ADA,100
ADAM8,101
ADAM10,102
ADAR,103
ADARB1,104
ADARB2,105
ADCY1,107
ADCY2,108
ADCY3,109
ADCY6,112
ADCY7,113
ADCY8,114
ADCY9,115
ADCYAP1,116
ADCYAP1R1,117
ADD1,118
ADD2,119
ADD3,120
PLIN2,123
ADH1A,124
ADH1B,125
ADH1C,126
ADH5,128
ADH6,130
ADH7,131
ADK,132
ADM,133
ADORA1,134
ADORA2B,136
ADORA3,140
ADPRH,141
PARP1,142
PARP4,143
ADRA1D,146
ADRA1B,147
ADRA1A,148
ADRA2A,150
ADRA2B,151
ADRA2C,152
ADRB1,153
ADRB2,154
ADRB3,155
ADRBK1,156
ADRBK2,157
ADSL,158
ADSS,159
AP2A2,161
AP1B1,162
AP2B1,163
AP1G1,164
AEBP1,165
AES,166
CRISP1,167
AFM,173
AFP,174
AGA,175
ACAN,176
AGER,177
AGL,178
AGRP,181
JAG1,182
AGT,183
AGTR1,185
AGTR2,186
APLNR,187
AGXT,189
NR0B1,190
AHCY,191
AHR,196
AHSG,197
AIF1,199
AIM1,202
AK1,203
AK2,204
AKT1,207
AKT2,208
ALAD,210
ALAS1,211
ALAS2,212
ALB,213
ALCAM,214
ABCD1,215
ALDH1A1,216
ALDH2,217
ALDH3A1,218
ALDH1B1,219
ALDH1A3,220
ALDH3B1,221
ALDH3B2,222
ALDH9A1,223
ALDH3A2,224
ABCD2,225
ALDOA,226
ALDOAP2,228
ALDOB,229
ALDOC,230
AKR1B1,231
ALK,238
ALOX12,239
ALOX5,240
ALOX5AP,241
ALOX12B,242
ALOX12P2,245
ALOX15,246
ALOX15B,247
ALPI,248
ALPL,249
ALPP,250
ALPPL2,251
ALX3,257
AMBN,258
AMBP,259
AMD1,262
AMELX,265
AMELY,266
AMFR,267
AMHR2,269
AMPD1,270
AMPD2,271
AMPD3,272
AMPH,273
BIN1,274
AMT,275
ANG,283
ANGPT1,284
ANGPT2,285
ANK1,286
ANK2,287
ANK3,288
ANPEP,290
SLC25A4,291
SLC25A5,292
SLC25A6,293
ANXA1,301
ANXA2,302
ANXA2P1,303
ANXA2P2,304
ANXA2P3,305
ANXA3,306
ANXA4,307
ANXA5,308
ANXA6,309
ANXA7,310
ANXA11,311
ANXA13,312
AOAH,313
AOC2,314
AOX1,316
APAF1,317
NUDT2,318
APOF,319
APBA1,320
APBA2,321
APBB1,322
APBB2,323
APC,324
APCS,325
AIRE,326
APEH,327
APEX1,328
BIRC2,329
BIRC3,330
XIAP,331
BIRC5,332
APLP1,333
APLP2,334
APOA1,335
APOA2,336
APOA4,337
APOB,338
APOBEC1,339
APOC1,341
AQP8,343
APOC3,345
APOD,347
APOE,348
APOH,350
APP,351
APRT,353
KLK3,354
FAS,355
FASLG,356
SHROOM2,357
AQP1,358
AQP2,359
AQP3,360
AQP4,361
AQP5,362
AQP6,363
AQP9,366
AR,367
ARAF,369
ARCN1,372
TRIM23,373
AREG,374
ARF3,377
ARF4,378
ARL4D,379
ARF5,381
ARF6,382
ARG1,383
ARG2,384
RHOA,387
RHOB,388
RHOC,389
RND3,390
