ensembl_gene_id,gene_biotype,,,,,,,,,,
ENSG00000274925,lincRNA,,,,,,,,,,
ENSG00000267391,lincRNA,,,,,,,,,,
ENSG00000233236,lincRNA,,,,,,,,,,
ENSG00000203362,antisense,,,,,,,,,,
ENSG00000233975,lincRNA,,,,,,,,,,
ENSG00000232661,antisense,,,,,,,,,,
ENSG00000268307,lincRNA,,,,,,,,,,
ENSG00000267761,lincRNA,,,,,,,,,,
ENSG00000267395,antisense,,,,,,,,,,
ENSG00000259291,antisense,,,,,,,,,,
ENSG00000255443,antisense,,,,,,,,,,
ENSG00000232198,processed_pseudogene,,,,,,,,,,
ENSG00000203288,antisense,,,,,,,,,,
ENSG00000233070,antisense,,,,,,,,,,
ENSG00000253959,lincRNA,,,,,,,,,,
ENSG00000251283,lincRNA,,,,,,,,,,
ENSG00000249618,lincRNA,,,,,,,,,,
ENSG00000250986,lincRNA,,,,,,,,,,
ENSG00000273356,lincRNA,,,,,,,,,,
ENSG00000243321,lincRNA,,,,,,,,,,
ENSG00000259439,lincRNA,,,,,,,,,,
ENSG00000261316,lincRNA,,,,,,,,,,
ENSG00000261453,lincRNA,,,,,,,,,,
ENSG00000236914,lincRNA,,,,,,,,,,
ENSG00000257718,antisense,,,,,,,,,,
ENSG00000278961,protein_coding,,,,,,,,,,
ENSG00000223198,snRNA,,,,,,,,,,
ENSG00000228526,lincRNA,,,,,,,,,,
ENSG00000199313,snRNA,,,,,,,,,,
ENSG00000252498,snRNA,,,,,,,,,,
ENSG00000276014,misc_RNA,,,,,,,,,,
ENSG00000235313,sense_intronic,,,,,,,,,,
ENSG00000202089,snRNA,,,,,,,,,,
ENSG00000252755,snRNA,,,,,,,,,,
ENSG00000223284,snRNA,,,,,,,,,,
ENSG00000222872,snRNA,,,,,,,,,,
ENSG00000244692,misc_RNA,,,,,,,,,,
ENSG00000240233,misc_RNA,,,,,,,,,,
ENSG00000207330,snRNA,,,,,,,,,,
ENSG00000218896,processed_pseudogene,,,,,,,,,,
ENSG00000230184,sense_intronic,,,,,,,,,,
ENSG00000237080,antisense,,,,,,,,,,
ENSG00000199562,snRNA,,,,,,,,,,
ENSG00000247993,lincRNA,,,,,,,,,,
ENSG00000244558,antisense,,,,,,,,,,
ENSG00000233047,lincRNA,,,,,,,,,,
ENSG00000239440,lincRNA,,,,,,,,,,
ENSG00000226374,lincRNA,,,,,,,,,,
ENSG00000241544,lincRNA,,,,,,,,,,
ENSG00000233521,lincRNA,,,,,,,,,,
ENSG00000233922,lincRNA,,,,,,,,,,
ENSG00000263609,lincRNA,,,,,,,,,,
ENSG00000261319,lincRNA,,,,,,,,,,
ENSG00000261423,lincRNA,,,,,,,,,,
ENSG00000227911,lincRNA,,,,,,,,,,
ENSG00000224078,processed_transcript,,,,,,,,,,
ENSG00000226200,antisense,,,,,,,,,,
ENSG00000233080,transcribed_processed_pseudogene,,,,,,,,,,
ENSG00000267057,lincRNA,,,,,,,,,,
ENSG00000261183,antisense,,,,,,,,,,
ENSG00000269834,processed_transcript,,,,,,,,,,
ENSG00000232593,protein_coding,,,,,,,,,,
ENSG00000260469,lincRNA,,,,,,,,,,
ENSG00000231789,antisense,,,,,,,,,,
ENSG00000219665,processed_transcript,,,,,,,,,,
ENSG00000224081,transcribed_processed_pseudogene,,,,,,,,,,
ENSG00000235601,lincRNA,,,,,,,,,,
ENSG00000224318,processed_transcript,,,,,,,,,,
ENSG00000126005,protein_coding,,,,,,,,,,
ENSG00000233570,lincRNA,,,,,,,,,,
ENSG00000225442,antisense,,,,,,,,,,
ENSG00000223513,processed_pseudogene,,,,,,,,,,
ENSG00000224822,sense_intronic,,,,,,,,,,
ENSG00000226491,processed_pseudogene,,,,,,,,,,
ENSG00000236262,antisense,,,,,,,,,,
ENSG00000229307,lincRNA,,,,,,,,,,
ENSG00000236088,processed_transcript,,,,,,,,,,
ENSG00000229348,3prime_overlapping_ncRNA,,,,,,,,,,
ENSG00000200840,snRNA,,,,,,,,,,
ENSG00000252928,snRNA,,,,,,,,,,
ENSG00000235539,processed_pseudogene,,,,,,,,,,
ENSG00000253438,antisense,,,,,,,,,,
ENSG00000233117,lincRNA,,,,,,,,,,
ENSG00000234765,processed_pseudogene,,,,,,,,,,
ENSG00000205056,lincRNA,,,,,,,,,,
ENSG00000234684,antisense,,,,,,,,,,
ENSG00000272888,processed_transcript,,,,,,,,,,
ENSG00000241684,antisense,,,,,,,,,,
ENSG00000236463,lincRNA,,,,,,,,,,
ENSG00000227862,processed_pseudogene,,,,,,,,,,
ENSG00000236709,sense_intronic,,,,,,,,,,
ENSG00000233559,lincRNA,,,,,,,,,,
ENSG00000253320,antisense,,,,,,,,,,
ENSG00000240476,lincRNA,,,,,,,,,,
ENSG00000250474,processed_pseudogene,,,,,,,,,,
ENSG00000251381,lincRNA,,,,,,,,,,
ENSG00000250968,lincRNA,,,,,,,,,,
ENSG00000224616,lincRNA,,,,,,,,,,
ENSG00000229692,sense_intronic,,,,,,,,,,
ENSG00000249307,antisense,,,,,,,,,,
ENSG00000267014,lincRNA,,,,,,,,,,
ENSG00000251396,lincRNA,,,,,,,,,,
ENSG00000265828,miRNA,,,,,,,,,,
ENSG00000283534,miRNA,,,,,,,,,,
ENSG00000265917,miRNA,,,,,,,,,,
ENSG00000266712,miRNA,,,,,,,,,,
ENSG00000224080,processed_pseudogene,,,,,,,,,,
ENSG00000218574,processed_pseudogene,,,,,,,,,,
ENSG00000238199,processed_pseudogene,,,,,,,,,,
ENSG00000217482,processed_pseudogene,,,,,,,,,,
ENSG00000230042,processed_pseudogene,,,,,,,,,,
ENSG00000177736,processed_pseudogene,,,,,,,,,,
ENSG00000278768,processed_transcript,,,,,,,,,,
ENSG00000241346,processed_pseudogene,,,,,,,,,,
ENSG00000230590,lincRNA,,,,,,,,,,
ENSG00000105694,processed_pseudogene,,,,,,,,,,
ENSG00000235703,antisense,,,,,,,,,,
ENSG00000232069,processed_pseudogene,,,,,,,,,,
ENSG00000234566,processed_pseudogene,,,,,,,,,,
