entrezgene,SIRT6
8813,1
57147,1
4800,1
81887,1
54467,1
889,1
5893,1
51056,1
4074,1
79007,1
57679,1
55471,1
381,1
23028,1
10180,1
5965,1
126393,1
4706,1
10165,1
7982,1
93655,1
996,1
1856,1
5976,1
292,1
55013,1
3980,1
81691,1
1387,1
9256,1
55904,1
26224,1
55049,1
9020,1
10368,1
163,1
10127,1
6376,1
5898,1
80853,1
57157,1
9855,1
79017,1
10926,1
56891,1
1352,1
9569,1
8228,1
51265,1
57787,1
115098,1
9058,1
79090,1
54879,1
8938,1
55735,1
728642,1
53616,1
6856,1
1534,1
9043,1
1951,1
84954,1
1407,1
8993,1
54497,1
6224,1
7812,1
5980,1
29954,1
51534,1
10048,1
83932,1
51603,1
8798,1
7756,1
9918,1
51533,1
56920,1
7752,1
695,1
22955,1
2534,1
3097,1
11313,1
1185,1
100379251,1
654364,1
10867,1
55727,1
54903,1
51099,1
26993,1
54799,1
51096,1
54902,1
5725,1
9066,1
5286,1
2844,1
23637,1
54814,1
5536,1
23177,1
8491,1
672,1
2067,1
51360,1
4007,1
55148,1
5704,1
1195,1
55703,1
1774,1
1663,1
10460,1
23376,1
23649,1
4190,1
10463,1
10903,1
1355,1
10771,1
7454,1
23386,1
55830,1
92745,1
10928,1
22902,1
8540,1
55622,1
147948,1
23187,1
4361,1
1992,1
6683,1
9369,1
9716,1
55778,1
64429,1
57476,1
100128242,1
6050,1
4719,1
23071,1
51022,1
11171,1
50619,1
23304,1
30846,1
55635,1
25901,1
10062,1
10953,1
11231,1
23633,1
7431,1
55591,1
5452,1
6642,1
9519,1
56938,1
9774,1
55334,1
51106,1
23279,1
578,1
55166,1
8498,1
5926,1
7260,1
10908,1
56052,1
55596,1
55236,1
535,1
8554,1
9497,1
9168,1
28990,1
26751,1
84908,1
55789,1
23604,1
8439,1
5981,1
55773,1
26009,1
51121,1
54455,1
4238,1
84245,1
4234,1
175,1
55300,1
259282,1
27430,1
23274,1
999,1
23517,1
54831,1
54896,1
5685,1
55341,1
10039,1
3371,1
90326,1
9440,1
54884,1
822,1
1175,1
23338,1
54802,1
9820,1
54875,1
2042,1
3309,1
1829,1
8481,1
22884,1
64848,1
51606,1
5431,1
7175,1
23247,1
57101,1
57102,1
55841,1
57646,1
51491,1
50484,1
92017,1
2978,1
51773,1
55187,1
23518,1
5954,1
5982,1
79810,1
51528,1
63933,1
51474,1
25875,1
5888,1
5291,1
1535,1
80143,1
6307,1
55761,1
8574,1
51154,1
55850,1
55745,1
27095,1
9967,1
29085,1
4065,1
51742,1
10806,1
23095,1
23201,1
84957,1
51602,1
26099,1
3757,1
10827,1
116254,1
57602,1
114800,1
54969,1
51663,1
55609,1
54542,1
4438,1
9474,1
57095,1
57504,1
8975,1
23200,1
29927,1
4659,1
55718,1
493,1
9877,1
54432,1
55706,1
6916,1
5188,1
5128,1
5662,1
65125,1
55749,1
11054,1
55650,1
10076,1
9410,1
