entrezgene,STAT3
8813,1
57147,1
3075,1
2519,1
2729,1
4800,1
90529,1
57185,1
81887,1
54467,1
889,1
5893,1
572,1
51056,1
4267,1
9957,1
8379,1
3927,1
4074,1
3382,1
57679,1
843,1
8837,1
55471,1
10181,1
6542,1
26073,1
204,1
952,1
23028,1
10180,1
84254,1
5965,1
55610,1
126393,1
115703,1
4706,1
5166,1
51364,1
10165,1
7982,1
93655,1
996,1
3052,1
1856,1
64063,1
292,1
55013,1
56919,1
4222,1
3980,1
79657,1
81691,1
57019,1
56928,1
80256,1
5577,1
6936,1
54677,1
55904,1
57414,1
25998,1
7748,1
23077,1
26224,1
3683,1
5164,1
3675,1
7543,1
3920,1
55049,1
9020,1
54972,1
163,1
10127,1
64847,1
4293,1
5898,1
55971,1
2115,1
55001,1
57157,1
9855,1
79017,1
10926,1
3475,1
56891,1
1352,1
54623,1
27072,1
60528,1
85477,1
414,1
8228,1
51265,1
57787,1
115098,1
90273,1
5048,1
1770,1
9703,1
79090,1
64285,1
55692,1
57585,1
7005,1
6401,1
55735,1
29116,1
5689,1
6853,1
3720,1
6792,1
728642,1
65220,1
9940,1
6856,1
1534,1
9043,1
1951,1
10157,1
51188,1
84954,1
4257,1
1407,1
6482,1
9235,1
23221,1
54497,1
6224,1
7812,1
9690,1
5980,1
199870,1
51534,1
9031,1
51513,1
83932,1
51603,1
7756,1
83930,1
928,1
9918,1
2696,1
51533,1
11188,1
23166,1
80199,1
10233,1
695,1
3077,1
3097,1
6924,1
11313,1
1185,1
100379251,1
654364,1
6534,1
10867,1
55727,1
9546,1
54903,1
51099,1
26993,1
54799,1
51096,1
54476,1
54902,1
5725,1
9066,1
23395,1
5286,1
5329,1
54443,1
2844,1
23637,1
54814,1
5536,1
8491,1
672,1
2067,1
933,1
51360,1
2137,1
60481,1
57658,1
55148,1
5704,1
51629,1
9961,1
5238,1
112611,1
1195,1
55703,1
9604,1
1774,1
1663,1
9052,1
10046,1
10460,1
23376,1
23649,1
23144,1
823,1
55,1
4190,1
10463,1
10903,1
1355,1
440193,1
10138,1
10771,1
7454,1
9782,1
64132,1
23386,1
55349,1
22802,1
55830,1
27032,1
10928,1
22902,1
63932,1
477,1
55622,1
8685,1
6591,1
972,1
54764,1
4331,1
23034,1
4361,1
1992,1
64816,1
6683,1
9716,1
1373,1
51507,1
55655,1
57210,1
9921,1
55778,1
64429,1
57476,1
100128242,1
6050,1
4719,1
9821,1
23071,1
211,1
330,1
11215,1
51022,1
6617,1
51071,1
11171,1
1244,1
50619,1
51177,1
2730,1
23304,1
30846,1
55635,1
25901,1
3298,1
51230,1
8630,1
10062,1
1890,1
29781,1
10953,1
11231,1
23633,1
7431,1
100533107,1
355,1
8635,1
960,1
56895,1
57823,1
11119,1
4285,1
5583,1
3459,1
11285,1
9047,1
55591,1
5452,1
65980,1
6642,1
9519,1
56938,1
9774,1
55334,1
51106,1
23279,1
578,1
4593,1
