Array_Data_File	CELL_NAME
5500994173212120213068_A01.cel	UACC-812
5500994158987071513209_A01.cel	201T
5500994172383112813929_A01.cel	EVSA-T
5500994158987071513202_A01.cel	KYSE-520
5500994158987071513207_A01.cel	MS751
5500994172383112813928_A01.cel	MEL-JUSO
5500994172383112813930_A01.cel	NCI-H1869
5500994172948120113978_A01.cel	CMK
5500994173212120213068_A02.cel	SNU-61
5500994157493061613625_A02.cel	DMS-114
5500994158987071513209_A02.cel	A204
5500994172383112813929_A02.cel	EBC-1
5500994158987071513202_A02.cel	KURAMOCHI
5500994158987071513207_A02.cel	MZ7-mel
5500994172383112813928_A02.cel	SF539
5500994158987071513201_A02.cel	REH
5500994172383112813930_A02.cel	NCI-H2347
5500994172948120113978_A02.cel	NB-TU-1-10
5500994173212120213068_A03.cel	SIG-M5
5500994157493061613625_A03.cel	CAL-51
5500994172383112813929_A03.cel	ASH-3
5500994158987071513207_A03.cel	MDST8
5500994172383112813928_A03.cel	SUP-T1
5500994158987071513201_A03.cel	RH-41
5500994172383112813930_A03.cel	NCI-H2170
5500994172948120113978_A03.cel	NCI-H2141
5500994173212120213068_A04.cel	ALL-SIL
5500994157493061613625_A04.cel	H2869
5500994158987071513209_A04.cel	BCPAP
5500994172383112813929_A04.cel	CaR-1
5500994158987071513202_A04.cel	KINGS-1
5500994158987071513207_A04.cel	U-118-MG
5500994172383112813928_A04.cel	KP-4
5500994158987071513201_A04.cel	RPMI-8866
5500994172383112813930_A04.cel	NCI-H510A
5500994172948120113978_A04.cel	NCI-H250
5500994173212120213068_A05.cel	KMS-12-BM
5500994157493061613625_A05.cel	H290
5500994158987071513209_A05.cel	BT-20
5500994172383112813929_A05.cel	CP66-MEL
5500994158987071513202_A05.cel	LCLC-97TM1
5500994158987071513207_A05.cel	WM1552C
5500994172383112813928_A05.cel	KM-H2
5500994158987071513201_A05.cel	PANC-08-13
5500994172383112813930_A05.cel	NCI-H810
5500994172948120113978_A05.cel	CCF-STTG1
5500994173212120213068_A06.cel	FTC-133
5500994157493061613625_A06.cel	A2058
5500994158987071513209_A06.cel	Ca9-22
5500994172383112813929_A06.cel	D-392MG
5500994158987071513202_A06.cel	LU-99A
5500994158987071513207_A06.cel	YH-13
5500994172383112813928_A06.cel	SK-LMS-1
5500994158987071513201_A06.cel	PCI-6A
5500994172383112813930_A06.cel	NCI-SNU-1
5500994172948120113978_A06.cel	COR-L321
5500994173212120213068_A07.cel	RCC10RGB
5500994157493061613625_A07.cel	CESS
5500994158987071513209_A07.cel	CHP-212
5500994172383112813929_A07.cel	EW-16
5500994158987071513202_A07.cel	LU-134-A
5500994158987071513207_A07.cel	TE-1
5500994172383112813928_A07.cel	H-EMC-SS
5500994158987071513201_A07.cel	NCI-H1792
5500994172383112813930_A07.cel	NUGC-3
5500994172948120113978_A07.cel	SK-MEL-2
5500994173212120213068_A08.cel	OACp4C
5500994157493061613625_A08.cel	H2803
5500994158987071513209_A08.cel	CAL-85-1
5500994172383112813929_A08.cel	HL-60
5500994158987071513202_A08.cel	LOU-NH91
5500994158987071513207_A08.cel	TE-8
5500994172383112813928_A08.cel	HD-MY-Z
5500994158987071513201_A08.cel	NCI-H1355
5500994172383112813930_A08.cel	NB7
5500994172948120113978_A08.cel	IOSE-75-16SV40
5500994173212120213068_A09.cel	MKN45
5500994157493061613625_A09.cel	H2722
5500994158987071513209_A09.cel	CPC-N
5500994172383112813929_A09.cel	HCC1937
5500994158987071513202_A09.cel	GAMG
5500994158987071513207_A09.cel	SiHa
5500994172383112813928_A09.cel	SW684
5500994158987071513201_A09.cel	NCI-H1048
5500994172383112813930_A09.cel	NMC-G1
5500994172948120113978_A09.cel	Hs-578-T
5500994157493061613625_A10.cel	HCC1419
5500994158987071513209_A10.cel	CRO-AP2
5500994172383112813929_A10.cel	HEL
5500994158987071513202_A10.cel	GMS-10
5500994158987071513207_A10.cel	SCC-9
5500994172383112813928_A10.cel	HOP-92
5500994158987071513201_A10.cel	OAW-42
5500994172383112813930_A10.cel	OCI-M1
5500994172948120113978_A10.cel	VMRC-LCD
5500994157493061613625_A11.cel	ETK-1
5500994158987071513209_A11.cel	DK-MG
5500994172383112813929_A11.cel	HCC202
5500994158987071513207_A11.cel	SNU-182
5500994158987071513201_A11.cel	OE33
5500994172383112813930_A11.cel	NCI-H1666
5500994172948120113978_A11.cel	OVCA420
5500994157493061613625_A12.cel	C32
5500994158987071513209_A12.cel	EGI-1
5500994172383112813929_A12.cel	HCC1500
5500994158987071513202_A12.cel	MONO-MAC-1
5500994158987071513207_A12.cel	SK-N-SH
5500994172383112813928_A12.cel	JHH-2
5500994158987071513201_A12.cel	OVCAR-8
5500994172383112813930_A12.cel	SW1710
5500994172948120113978_A12.cel	BL-41
5500994173212120213068_B01.cel	TE-441-T
5500994157493061613625_B01.cel	SW1783
5500994158987071513209_B01.cel	23132-87
5500994172383112813929_B01.cel	ES7
5500994158987071513207_B01.cel	MS-1
5500994172383112813928_B01.cel	MDA-MB-231
5500994158987071513201_B01.cel	Ramos-2G6-4C10
5500994172383112813930_B01.cel	NCI-H1650
5500994172948120113978_B01.cel	UWB1.289
5500994173212120213068_B02.cel	SNU-175
5500994157493061613625_B02.cel	H2810
5500994172383112813929_B02.cel	AMO-1
5500994158987071513202_B02.cel	KY821
5500994158987071513207_B02.cel	MZ2-MEL
5500994172383112813928_B02.cel	SHP-77
5500994158987071513201_B02.cel	RCC-JW
5500994172383112813930_B02.cel	NCI-H2405
5500994172948120113978_B02.cel	COR-L32
5500994173212120213068_B03.cel	SF295
5500994157493061613625_B03.cel	DSH1
5500994158987071513209_B03.cel	ACHN
5500994172383112813929_B03.cel	A2780
5500994158987071513202_B03.cel	KATOIII
5500994158987071513207_B03.cel	MOLM-13
5500994172383112813928_B03.cel	SK-ES-1
5500994158987071513201_B03.cel	RH-18
5500994172383112813930_B03.cel	NCI-H2029
5500994172948120113978_B03.cel	NCI-H1341
5500994173212120213068_B04.cel	AsPC-1
5500994157493061613625_B04.cel	HT-1197
5500994158987071513209_B04.cel	BE-13
5500994158987071513202_B04.cel	KE-37
5500994158987071513207_B04.cel	U-698-M
5500994172383112813928_B04.cel	KYM-1
5500994158987071513201_B04.cel	RT4
5500994172383112813930_B04.cel	NCI-H322M
5500994172948120113978_B04.cel	Farage
5500994173212120213068_B05.cel	KYSE-180
5500994157493061613625_B05.cel	MDA-MB-157
5500994158987071513209_B05.cel	BHT-101
5500994172383112813929_B05.cel	DEL
5500994158987071513202_B05.cel	LCLC-103H
5500994158987071513207_B05.cel	WM793B
5500994172383112813928_B05.cel	KON
5500994158987071513201_B05.cel	PANC-10-05
5500994172383112813930_B05.cel	NCI-H740
5500994172948120113978_B05.cel	NCI-H660
5500994173212120213068_B06.cel	CS1
5500994157493061613625_B06.cel	H2373
5500994158987071513209_B06.cel	CAKI-1
5500994172383112813929_B06.cel	ECC10
5500994158987071513202_B06.cel	L-1236
5500994158987071513207_B06.cel	YAPC
5500994172383112813928_B06.cel	Hs-766T
5500994158987071513201_B06.cel	PE-CA-PJ15
5500994172383112813930_B06.cel	NCI-SNU-16
5500994172948120113978_B06.cel	KARPAS-299
5500994173212120213068_B07.cel	Raji
5500994157493061613625_B07.cel	ES1
5500994158987071513209_B07.cel	COLO-679
5500994172383112813929_B07.cel	EW-13
5500994158987071513202_B07.cel	LN-405
5500994158987071513207_B07.cel	TE-10
5500994172383112813928_B07.cel	HCE-T
5500994158987071513201_B07.cel	NCI-H1304
5500994172383112813930_B07.cel	NU-DUL-1
5500994172948120113978_B07.cel	NCI-H2172
5500994173212120213068_B08.cel	NCI-N87
5500994157493061613625_B08.cel	HDLM-2
5500994158987071513209_B08.cel	CAL-78
5500994172383112813929_B08.cel	HSC-3
5500994158987071513202_B08.cel	L-540
5500994158987071513207_B08.cel	TE-9
5500994172383112813928_B08.cel	HCC-827
5500994158987071513201_B08.cel	NCI-H1915
5500994172383112813930_B08.cel	NBsusSR
5500994172948120113978_B08.cel	LK-2
5500994173212120213068_B09.cel	MIA-PaCa-2
5500994157493061613625_B09.cel	H2731
5500994158987071513209_B09.cel	COLO-668
5500994172383112813929_B09.cel	HuO9
5500994158987071513202_B09.cel	GAK
5500994158987071513207_B09.cel	SLVL
5500994172383112813928_B09.cel	SW948
5500994158987071513201_B09.cel	NCI-H1623
5500994172383112813930_B09.cel	OVK-18
5500994172948120113978_B09.cel	IOSE-364-
5500994157493061613625_B10.cel	IST-MEL1
5500994158987071513209_B10.cel	D-263MG
5500994172383112813929_B10.cel	HPAC
5500994158987071513202_B10.cel	GP5d
5500994158987071513207_B10.cel	SNU-449
5500994172383112813928_B10.cel	HCE-4
5500994158987071513201_B10.cel	OCI-AML2
5500994172383112813930_B10.cel	OCI-LY-19
5500994172948120113978_B10.cel	NCI-H2286
5500994157493061613625_B11.cel	5637
5500994158987071513209_B11.cel	DMS-53
5500994172383112813929_B11.cel	Hs-633T
5500994158987071513202_B11.cel	MFM-223
5500994158987071513207_B11.cel	SW780
5500994172383112813928_B11.cel	JVM-3
5500994158987071513201_B11.cel	ONS-76
5500994172383112813930_B11.cel	NCI-H196
5500994172948120113978_B11.cel	SK-GT-2
5500994157493061613625_B12.cel	786-o
5500994158987071513209_B12.cel	EM-2
5500994172383112813929_B12.cel	HCC2998
5500994158987071513207_B12.cel	SK-N-FI
5500994172383112813928_B12.cel	JHH-4
5500994158987071513201_B12.cel	OVISE
5500994172383112813930_B12.cel	SCH
5500994173212120213068_C01.cel	TC-YIK
5500994157493061613625_C01.cel	HeLa
5500994158987071513209_C01.cel	42-MG-BA
5500994172383112813929_C01.cel	EFO-21
5500994158987071513202_C01.cel	KYSE-270
5500994158987071513207_C01.cel	MV-4-11
5500994172383112813928_C01.cel	MDA-MB-361
5500994172383112813930_C01.cel	NCI-H1838
5500994172948120113978_C01.cel	SW756
5500994173212120213068_C02.cel	SNU-283
5500994157493061613625_C02.cel	HMV-II
5500994158987071513209_C02.cel	A375
5500994172383112813929_C02.cel	451Lu
5500994158987071513202_C02.cel	KYSE-410
5500994158987071513207_C02.cel	MZ1-PC
5500994172383112813928_C02.cel	SH-4
5500994158987071513201_C02.cel	RC-K8
5500994172383112813930_C02.cel	NCI-H2023
5500994172948120113978_C02.cel	NUGC-4
5500994173212120213068_C03.cel	A3-KAW
5500994157493061613625_C03.cel	H2818
5500994158987071513209_C03.cel	AM-38
5500994172383112813929_C03.cel	BB30-HNC
5500994158987071513202_C03.cel	KARPAS-231
5500994158987071513207_C03.cel	MOLT-4
5500994172383112813928_C03.cel	SUIT-2
5500994158987071513201_C03.cel	RL
5500994172383112813930_C03.cel	NCI-H211
5500994172948120113978_C03.cel	HCC-366
5500994173212120213068_C04.cel	BONNA-12
5500994157493061613625_C04.cel	M14
5500994158987071513209_C04.cel	BE2-M17
5500994172383112813929_C04.cel	CL-11
5500994158987071513202_C04.cel	KP-3
5500994158987071513207_C04.cel	UACC-893
5500994172383112813928_C04.cel	SK-NEP-1
5500994158987071513201_C04.cel	RT-112
5500994172383112813930_C04.cel	NCI-H650
5500994172948120113978_C04.cel	RWPE-1
5500994173212120213068_C05.cel	KMOE-2
5500994157493061613625_C05.cel	HT-29
5500994158987071513209_C05.cel	BT-549
5500994172383112813929_C05.cel	D-336MG
5500994158987071513202_C05.cel	LC-2-ad
5500994158987071513207_C05.cel	WM278
5500994172383112813928_C05.cel	KNS-42
5500994158987071513201_C05.cel	PA-TU-8988T
5500994172383112813930_C05.cel	NCI-H841
5500994172948120113978_C05.cel	ROS-50
5500994173212120213068_C06.cel	ECC4
5500994157493061613625_C06.cel	AU565
5500994158987071513209_C06.cel	CAS-1
5500994172383112813929_C06.cel	ECC12
5500994158987071513202_C06.cel	L-363
5500994158987071513207_C06.cel	ZR-75-30
5500994172383112813928_C06.cel	HSC-4
5500994158987071513201_C06.cel	PF-382
5500994172383112813930_C06.cel	NALM-6
5500994172948120113978_C06.cel	CHSA0011
5500994173212120213068_C07.cel	PWR-1E
5500994157493061613625_C07.cel	NCI-H441
5500994158987071513209_C07.cel	COLO-678
5500994172383112813929_C07.cel	EKVX
5500994158987071513202_C07.cel	LN-229
5500994158987071513207_C07.cel	TOV-21G
5500994172383112813928_C07.cel	HN
