Run,patient
SRR1587257,MMRF_1024_2_BM_CD138pos_T2_TSMRU_K03518
SRR4189698,MMRF_1079_2_BM_CD138pos_T2_TSMRU_L13874
SRR2128804,MMRF_1157_2_BM_CD138pos_T3_TSMRU_L04987
SRR4189266,MMRF_1179_2_BM_CD138pos_T2_TSMRU_L12680
SRR4189486,MMRF_1229_2_BM_CD138pos_T1_TSMRU_L13121
SRR2128806,MMRF_1235_2_BM_CD138pos_T2_TSMRU_L06013
SRR4189554,MMRF_1284_2_BM_CD138pos_T1_TSMRU_L13335
SRR4189286,MMRF_1309_2_BM_CD138pos_T2_TSMRU_L12700
SRR1567032,MMRF_1380_2_BM_CD138pos_T3_TSMRU_L03466
SRR3163687,MMRF_1401_2_BM_CD138pos_T3_TSMRU_L07637
SRR4189718,MMRF_1433_2_BM_CD138pos_T2_TSMRU_L13863
SRR4188989,MMRF_1587_2_BM_CD138pos_T2_TSMRU_L11529
SRR8625489,MMRF_1683_2_BM_CD138pos_T2_TSMRU_K17167
SRR2129724,MMRF_1686_2_BM_CD138pos_T2_TSMRU_L08180
SRR4189001,MMRF_1700_2_BM_CD138pos_T2_TSMRU_L11541
SRR8625492,MMRF_1736_2_BM_CD138pos_T2_TSMRU_K17162
SRR8625495,MMRF_1739_2_BM_CD138pos_T2_TSMRU_K17158
SRR4188969,MMRF_1783_2_BM_CD138pos_T2_TSMRU_L11495
SRR3163508,MMRF_1790_2_BM_CD138pos_T2_TSMRU_L10619
SRR8625498,MMRF_1795_2_BM_CD138pos_T2_TSMRU_K17166
SRR4189742,MMRF_1931_2_BM_CD138pos_T3_TSMRU_L14471
SRR4189745,MMRF_1978_2_BM_CD138pos_T2_TSMRU_L15008
SRR4189270,MMRF_1992_2_BM_CD138pos_T2_TSMRU_L12684
SRR4189753,MMRF_2015_2_BM_CD138pos_T2_TSMRU_L13873
SRR3163509,MMRF_2017_2_BM_CD138pos_T2_TSMRU_L11129
SRR4188999,MMRF_2039_2_BM_CD138pos_T2_TSMRU_L11539
SRR6030232,MMRF_2059_2_BM_CD138pos_T2_TSMRU_L17774
SRR6030235,MMRF_2076_2_BM_CD138pos_T2_TSMRU_L17771
