"Run,patient"
"SRR4188967,MMRF_1212_1_PB_CD3pos_C2_TSWGL_L00064"
"SRR1567062,MMRF_1496_1_PB_CD138pos_T13_TSMRU_L03469"
"SRR2128881,MMRF_1778_1_PB_CD138pos_T5_TSMRU_L05011"
"SRR5497019,MMRF_1790_4_PB_CD138pos_T4_TSMRU_L16386"
"SRR2129739,MMRF_1851_1_PB_CD138pos_T4_TSMRU_L06661"
"SRR2129747,MMRF_1897_1_PB_CD138pos_T2_TSMRU_L05980"
"SRR2129760,MMRF_1927_1_PB_CD138pos_T2_TSMRU_L05982"
"SRR2129776,MMRF_1965_1_PB_CD138pos_T4_TSMRU_L06658"
"SRR2129788,MMRF_1992_1_PB_CD138pos_T4_TSMRU_L06659"
"SRR3163514,MMRF_2187_1_PB_CD138pos_T4_TSMRU_L08443"
"SRR6030250,MMRF_2523_2_PB_CD138pos_T3_TSMRU_L17766"
"SRR4189149,MMRF_2531_1_PB_CD138pos_T4_TSMRU_L12434"
"SRR4189287,MMRF_2621_1_PB_CD138pos_T4_TSMRU_L12701"
"SRR1606155,MMRF_1212_1_BM_CD138pos_T3_TSMRU_L00039"
"SRR1567063,MMRF_1496_1_BM_CD138pos_T14_TSMRU_L03473"
"SRR2128880,MMRF_1778_1_BM_CD138pos_T4_TSMRU_L04993"
"SRR3163669,MMRF_1790_1_BM_CD138pos_T2_TSMRU_L06654"
"SRR2129738,MMRF_1851_1_BM_CD138pos_T2_TSMRU_L06638"
"SRR2129746,MMRF_1897_1_BM_CD138pos_T4_TSMRU_L05995"
"SRR2129759,MMRF_1927_1_BM_CD138pos_T4_TSMRU_L06003"
"SRR2129775,MMRF_1965_1_BM_CD138pos_T2_TSMRU_L06629"
"SRR2129787,MMRF_1992_1_BM_CD138pos_T2_TSMRU_L06632"
"SRR3163513,MMRF_2187_1_BM_CD138pos_T5_TSMRU_L08448"
"SRR4188990,MMRF_2523_1_BM_CD138pos_T2_TSMRU_L11530"
"SRR4189140,MMRF_2531_1_BM_CD138pos_T3_TSMRU_L12425"
"SRR4189258,MMRF_2621_1_BM_CD138pos_T2_TSMRU_L12672"
