Run,patient
SRR4188967,MMRF_1212_1_PB_CD3pos_C2_TSWGL_L00064
SRR1567062,MMRF_1496_1_PB_CD138pos_T13_TSMRU_L03469
SRR2129722,MMRF_1655_1_PB_CD138pos_T14_TSMRU_L07665
SRR2128881,MMRF_1778_1_PB_CD138pos_T5_TSMRU_L05011
SRR5497019,MMRF_1790_4_PB_CD138pos_T4_TSMRU_L16386
SRR2129739,MMRF_1851_1_PB_CD138pos_T4_TSMRU_L06661
SRR2129747,MMRF_1897_1_PB_CD138pos_T2_TSMRU_L05980
SRR2129752,MMRF_1912_1_PB_CD138pos_T2_TSMRU_L05981
SRR2129760,MMRF_1927_1_PB_CD138pos_T2_TSMRU_L05982
SRR2129776,MMRF_1965_1_PB_CD138pos_T4_TSMRU_L06658
SRR2129788,MMRF_1992_1_PB_CD138pos_T4_TSMRU_L06659
SRR6030240,MMRF_2167_3_PB_CD138pos_T2_TSMRU_L17769
SRR3163514,MMRF_2187_1_PB_CD138pos_T4_TSMRU_L08443
SRR6030250,MMRF_2523_2_PB_CD138pos_T3_TSMRU_L17766
SRR4189149,MMRF_2531_1_PB_CD138pos_T4_TSMRU_L12434
SRR4189287,MMRF_2621_1_PB_CD138pos_T4_TSMRU_L12701
SRR1567003,MMRF_1021_1_BM_CD138pos_T2_TSMRU_L01873
SRR2128803,MMRF_1024_1_BM_CD138pos_T1_TSMRU_L05241
SRR1567004,MMRF_1029_1_BM_CD138pos_T1_TSMRU_L02334
SRR1567005,MMRF_1030_1_BM_CD138pos_T1_TSMRU_L02331
SRR1587258,MMRF_1031_1_BM_CD138pos_T2_TSMRU_K02300
SRR1606145,MMRF_1032_1_BM_CD138pos_T2_TSMRU_L00033
SRR1587259,MMRF_1033_1_BM_CD138pos_T2_TSMRU_K02302
SRR1587260,MMRF_1037_1_BM_CD138pos_T2_TSMRU_K02298
SRR1587261,MMRF_1038_1_BM_CD138pos_T2_TSMRU_K02299
SRR1567006,MMRF_1045_1_BM_CD138pos_T2_TSMRU_L02833
SRR1567007,MMRF_1048_1_BM_CD138pos_T2_TSMRU_L02834
SRR1587262,MMRF_1068_1_BM_CD138pos_T2_TSMRU_K02654
SRR2129713,MMRF_1073_1_BM_CD138pos_T2_TSMRU_L08156
SRR1587263,MMRF_1077_1_BM_CD138pos_T2_TSMRU_K02655
SRR1587264,MMRF_1078_1_BM_CD138pos_T2_TSMRU_K02656
SRR4189695,MMRF_1079_1_BM_CD138pos_T2_TSMRU_L13862
SRR1587265,MMRF_1080_1_BM_CD138pos_T2_TSMRU_K03524
SRR1587266,MMRF_1082_1_BM_CD138pos_T2_TSMRU_K02658
SRR1587267,MMRF_1086_1_BM_CD138pos_T2_TSMRU_K02657
SRR1606146,MMRF_1089_1_BM_CD138pos_T3_TSMRU_L00810
SRR1587268,MMRF_1092_1_BM_CD138pos_T2_TSMRU_K02659
SRR1567009,MMRF_1098_1_BM_CD138pos_T2_TSMRU_L02835
SRR1587269,MMRF_1099_1_BM_CD138pos_T2_TSMRU_K03521
SRR1587270,MMRF_1100_1_BM_CD138pos_T2_TSMRU_K03392
SRR1587271,MMRF_1107_1_BM_CD138pos_T2_TSMRU_K03097
SRR1567010,MMRF_1108_1_BM_CD138pos_T1_TSMRU_L02339
SRR1587272,MMRF_1128_1_BM_CD138pos_T2_TSMRU_K03519
SRR1587273,MMRF_1129_1_BM_CD138pos_T2_TSMRU_K03092
SRR1587274,MMRF_1130_1_BM_CD138pos_T2_TSMRU_K03517
SRR1587275,MMRF_1137_1_BM_CD138pos_T2_TSMRU_K03520
SRR1567012,MMRF_1148_1_BM_CD138pos_T3_TSMRU_L01344
SRR1587276,MMRF_1151_1_BM_CD138pos_T2_TSMRU_K03094
SRR1587277,MMRF_1152_1_BM_CD138pos_T2_TSMRU_K03093
SRR1587278,MMRF_1153_1_BM_CD138pos_T2_TSMRU_K03095
SRR1587279,MMRF_1157_1_BM_CD138pos_T2_TSMRU_K03096
SRR1587280,MMRF_1159_1_BM_CD138pos_T2_TSMRU_K03527
SRR1567013,MMRF_1164_1_BM_CD138pos_T1_TSMRU_L02340
SRR1567014,MMRF_1167_1_BM_CD138pos_T2_TSMRU_L02836
SRR2129716,MMRF_1169_1_BM_CD138pos_T2_TSMRU_L07631
SRR1606148,MMRF_1171_1_BM_CD138pos_T3_TSMRU_L00122
SRR1567015,MMRF_1178_1_BM_CD138pos_T3_TSMRU_L01865
SRR1587281,MMRF_1179_1_BM_CD138pos_T2_TSMRU_K03388
SRR1606149,MMRF_1180_1_BM_CD138pos_T3_TSMRU_L01036
SRR2128805,MMRF_1184_1_BM_CD138pos_T2_TSMRU_K03391
SRR1606150,MMRF_1185_1_BM_CD138pos_T3_TSMRU_L01042
SRR1606151,MMRF_1188_1_BM_CD138pos_T3_TSMRU_L01037
SRR1587282,MMRF_1189_1_BM_CD138pos_T2_TSMRU_K03390
SRR1587283,MMRF_1195_1_BM_CD138pos_T2_TSMRU_K03393
SRR1567016,MMRF_1201_1_BM_CD138pos_T2_TSMRU_L02825
SRR1606152,MMRF_1202_1_BM_CD138pos_T3_TSMRU_L01045
SRR1606153,MMRF_1210_1_BM_CD138pos_T2_TSMRU_L00035
SRR1587284,MMRF_1211_1_BM_CD138pos_T2_TSMRU_K03529
SRR1606155,MMRF_1212_1_BM_CD138pos_T3_TSMRU_L00039
