fileName,targetName
ENCFF027CBV.bed.gz,QKI
ENCFF758EWI.bed.gz,SUPV3L1
ENCFF727HMM.bed.gz,SERBP1
ENCFF767LWE.bed.gz,PUM2
ENCFF239WCW.bed.gz,DGCR8
ENCFF017IRY.bed.gz,EFTUD2
ENCFF624RZR.bed.gz,DROSHA
ENCFF821EXR.bed.gz,HNRNPUL1
ENCFF805LKH.bed.gz,SFPQ
ENCFF667MXK.bed.gz,DDX3X
ENCFF949RPR.bed.gz,PRPF8
ENCFF993NVI.bed.gz,HNRNPK
ENCFF368MXJ.bed.gz,FAM120A
ENCFF036IYW.bed.gz,NSUN2
ENCFF510KUY.bed.gz,SUB1
ENCFF788UFQ.bed.gz,SRSF1
ENCFF814JGE.bed.gz,UPF1
ENCFF322GPD.bed.gz,SF3B1
ENCFF854NXI.bed.gz,HNRNPU
ENCFF722PMG.bed.gz,HNRNPU
ENCFF637JMJ.bed.gz,LSM11
ENCFF374GKD.bed.gz,FKBP4
ENCFF105PMR.bed.gz,SBDS
ENCFF448SCQ.bed.gz,HNRNPK
ENCFF517ECT.bed.gz,IGF2BP1
ENCFF865SCT.bed.gz,PRPF8
ENCFF890NIT.bed.gz,EWSR1
ENCFF304YLR.bed.gz,TBRG4
ENCFF163SWW.bed.gz,U2AF1
ENCFF329VBT.bed.gz,XRCC6
ENCFF485NXM.bed.gz,DHX30
ENCFF800XSC.bed.gz,GNL3
ENCFF075NSB.bed.gz,SRSF9
ENCFF298ZAG.bed.gz,TIA1
ENCFF481RZR.bed.gz,NCBP2
ENCFF945YRD.bed.gz,CSTF2T
ENCFF545FMX.bed.gz,NPM1
ENCFF131ZWK.bed.gz,TAF15
ENCFF546EKR.bed.gz,PPIL4
ENCFF284NOU.bed.gz,LARP4
ENCFF540UOQ.bed.gz,LIN28B
ENCFF357ABQ.bed.gz,FASTKD2
ENCFF284MRX.bed.gz,PPIG
ENCFF456PLF.bed.gz,NCBP2
ENCFF204UQL.bed.gz,CDC40
ENCFF509AKB.bed.gz,TBRG4
ENCFF851FUY.bed.gz,XRN2
ENCFF560CDL.bed.gz,PCBP2
ENCFF846JEW.bed.gz,DDX6
ENCFF792WPY.bed.gz,DDX24
ENCFF985DTC.bed.gz,RPS3
ENCFF656IDO.bed.gz,XRCC6
ENCFF259NLI.bed.gz,TARDBP
ENCFF441YAZ.bed.gz,FTO
ENCFF727XDH.bed.gz,DDX55
ENCFF822NMS.bed.gz,DDX55
ENCFF222ULF.bed.gz,CSTF2
ENCFF310NDD.bed.gz,FXR1
ENCFF097FBP.bed.gz,SF3B4
ENCFF527BMM.bed.gz,RBM15
ENCFF530MIN.bed.gz,SRSF1
ENCFF623DVN.bed.gz,HLTF
ENCFF933AGU.bed.gz,RBM22
ENCFF955PCQ.bed.gz,HNRNPA1
ENCFF877QKG.bed.gz,TROVE2
ENCFF924CZR.bed.gz,PTBP1
ENCFF169SMQ.bed.gz,AGGF1
ENCFF717EQF.bed.gz,XRN2
ENCFF449ZHX.bed.gz,SRSF7
ENCFF693ZAZ.bed.gz,SLTM
ENCFF190WAS.bed.gz,EFTUD2
ENCFF440FET.bed.gz,XPO5
ENCFF363FKB.bed.gz,YWHAG
ENCFF885OWJ.bed.gz,DDX3X
ENCFF037BNT.bed.gz,ZNF622
ENCFF080PGT.bed.gz,BUD13
ENCFF233ZXV.bed.gz,DHX30
ENCFF598NYT.bed.gz,FUBP3
ENCFF265RIO.bed.gz,FASTKD2
ENCFF121XLA.bed.gz,HNRNPA1
ENCFF298YFY.bed.gz,MATR3
ENCFF370GDB.bed.gz,ILF3
ENCFF713QGM.bed.gz,GRWD1
ENCFF302FFF.bed.gz,LARP7
ENCFF456CGG.bed.gz,SLBP
ENCFF367VYJ.bed.gz,DDX42
ENCFF756RYJ.bed.gz,AARS
ENCFF741FRL.bed.gz,FAM120A
ENCFF842EFT.bed.gz,BCCIP
ENCFF944ISN.bed.gz,NOLC1
ENCFF865AZP.bed.gz,SRSF7
ENCFF451AQL.bed.gz,LIN28B
ENCFF296JHG.bed.gz,HNRNPL
ENCFF263BIJ.bed.gz,LARP4
ENCFF982GEG.bed.gz,ZRANB2
ENCFF151HRC.bed.gz,NOLC1
ENCFF536BUW.bed.gz,CSTF2T
ENCFF871BYW.bed.gz,KHSRP
ENCFF327WXM.bed.gz,ZC3H11A
ENCFF834BGX.bed.gz,RPS3
ENCFF039FGP.bed.gz,RBM22
ENCFF485DDA.bed.gz,ILF3
ENCFF242WEP.bed.gz,DGCR8
ENCFF187VMX.bed.gz,SF3B4
ENCFF513PTZ.bed.gz,TAF15
ENCFF103XLC.bed.gz,GRSF1
ENCFF305BNZ.bed.gz,LARP7
ENCFF567MGK.bed.gz,YBX3
ENCFF331AFC.bed.gz,U2AF2
ENCFF538ZHY.bed.gz,LSM11
ENCFF844VZT.bed.gz,HNRNPU
ENCFF264WFT.bed.gz,CPSF6
ENCFF923ZLX.bed.gz,AKAP8L
ENCFF445CGF.bed.gz,QKI
ENCFF363IJZ.bed.gz,FXR2
ENCFF331VCF.bed.gz,SND1
ENCFF047PZR.bed.gz,NOL12
ENCFF363HHT.bed.gz,NONO
ENCFF582WWR.bed.gz,RBFOX2
ENCFF710LWM.bed.gz,SF3A3
ENCFF311TOZ.bed.gz,IGF2BP3
ENCFF105AKX.bed.gz,HNRNPC
ENCFF101EKG.bed.gz,SND1
ENCFF617LAH.bed.gz,AGGF1
ENCFF154DRN.bed.gz,RBFOX2
ENCFF565BTR.bed.gz,METAP2
ENCFF119DHE.bed.gz,SMNDC1
ENCFF002FLD.bed.gz,DKC1
ENCFF651CNX.bed.gz,BUD13
ENCFF170SCU.bed.gz,PTBP1
ENCFF427AAU.bed.gz,EXOSC5
ENCFF974CNV.bed.gz,DGCR8
ENCFF374PBK.bed.gz,UCHL5
ENCFF982RHC.bed.gz,RBM15
ENCFF648LCX.bed.gz,EIF4G2
ENCFF640DDA.bed.gz,TIA1
ENCFF238REI.bed.gz,DROSHA
ENCFF803GSP.bed.gz,RPS11
ENCFF021VWK.bed.gz,U2AF1
ENCFF445JRX.bed.gz,GTF2F1
ENCFF700XBC.bed.gz,FMR1
ENCFF917NGY.bed.gz,TRA2A
ENCFF514NWO.bed.gz,TROVE2
ENCFF193UPY.bed.gz,SAFB2
ENCFF470JIH.bed.gz,PUS1
ENCFF355WVE.bed.gz,HNRNPUL1
ENCFF890KEE.bed.gz,HNRNPL
ENCFF074EQM.bed.gz,DDX59
ENCFF546ZFM.bed.gz,MTPAP
ENCFF889CCS.bed.gz,GPKOW
