rank,Run,isolate,Library_Name,Sample_Name,tissue
1,SRR8518217,FUSCCTNBC003,Lib_FUSCCTNBC003.PT,FUSCCTNBC003_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
2,SRR8518339,FUSCCTNBC005,Lib_FUSCCTNBC005.PT,FUSCCTNBC005_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
3,SRR8518227,FUSCCTNBC008,Lib_FUSCCTNBC008.PT.rep,FUSCCTNBC008_ForRNAseq.PairedNormalTissue.rep,Paired_normal_breast_tissue
4,SRR8518134,FUSCCTNBC011,Lib_FUSCCTNBC011.PT,FUSCCTNBC011_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
5,SRR8518273,FUSCCTNBC013,Lib_FUSCCTNBC013.PT,FUSCCTNBC013_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
6,SRR8518304,FUSCCTNBC016,Lib_FUSCCTNBC016.PT,FUSCCTNBC016_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
7,SRR8518319,FUSCCTNBC017,Lib_FUSCCTNBC017.PT,FUSCCTNBC017_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
8,SRR8518306,FUSCCTNBC023,Lib_FUSCCTNBC023.PT,FUSCCTNBC023_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
9,SRR8518176,FUSCCTNBC030,Lib_FUSCCTNBC030.PT,FUSCCTNBC030_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
10,SRR8518432,FUSCCTNBC032,Lib_FUSCCTNBC032.PT,FUSCCTNBC032_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
11,SRR8518142,FUSCCTNBC036,Lib_FUSCCTNBC036.PT,FUSCCTNBC036_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
12,SRR8518140,FUSCCTNBC041,Lib_FUSCCTNBC041.PT,FUSCCTNBC041_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
13,SRR8518346,FUSCCTNBC042,Lib_FUSCCTNBC042.PT.rep,FUSCCTNBC042_ForRNAseq.PairedNormalTissue.rep,Paired_normal_breast_tissue
14,SRR8518366,FUSCCTNBC044,Lib_FUSCCTNBC044.PT,FUSCCTNBC044_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
15,SRR8518150,FUSCCTNBC045,Lib_FUSCCTNBC045.PT,FUSCCTNBC045_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
16,SRR8518226,FUSCCTNBC048,Lib_FUSCCTNBC048.PT,FUSCCTNBC048_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
17,SRR8518280,FUSCCTNBC050,Lib_FUSCCTNBC050.PT,FUSCCTNBC050_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
18,SRR8518422,FUSCCTNBC057,Lib_FUSCCTNBC057.PT,FUSCCTNBC057_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
19,SRR8518224,FUSCCTNBC068,Lib_FUSCCTNBC068.PT,FUSCCTNBC068_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
20,SRR8518223,FUSCCTNBC079,Lib_FUSCCTNBC079.PT,FUSCCTNBC079_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
21,SRR8518284,FUSCCTNBC080,Lib_FUSCCTNBC080.PT,FUSCCTNBC080_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
22,SRR8518281,FUSCCTNBC087,Lib_FUSCCTNBC087.PT,FUSCCTNBC087_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
23,SRR8518282,FUSCCTNBC095,Lib_FUSCCTNBC095.PT,FUSCCTNBC095_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
24,SRR8518283,FUSCCTNBC097,Lib_FUSCCTNBC097.PT,FUSCCTNBC097_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
25,SRR8518335,FUSCCTNBC099,Lib_FUSCCTNBC099.PT,FUSCCTNBC099_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
26,SRR8518183,FUSCCTNBC102,Lib_FUSCCTNBC102.PT,FUSCCTNBC102_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
27,SRR8518148,FUSCCTNBC103,Lib_FUSCCTNBC103.PT,FUSCCTNBC103_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
28,SRR8518293,FUSCCTNBC113,Lib_FUSCCTNBC113.PT,FUSCCTNBC113_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
29,SRR8518271,FUSCCTNBC116,Lib_FUSCCTNBC116.PT,FUSCCTNBC116_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
30,SRR8518372,FUSCCTNBC123,Lib_FUSCCTNBC123.PT,FUSCCTNBC123_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
31,SRR8518269,FUSCCTNBC125,Lib_FUSCCTNBC125.PT,FUSCCTNBC125_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
32,SRR8518279,FUSCCTNBC129,Lib_FUSCCTNBC129.PT,FUSCCTNBC129_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
33,SRR8518275,FUSCCTNBC130,Lib_FUSCCTNBC130.PT,FUSCCTNBC130_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
34,SRR8518317,FUSCCTNBC134,Lib_FUSCCTNBC134.PT,FUSCCTNBC134_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
35,SRR8518320,FUSCCTNBC137,Lib_FUSCCTNBC137.PT,FUSCCTNBC137_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
36,SRR8518131,FUSCCTNBC140,Lib_FUSCCTNBC140.PT,FUSCCTNBC140_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
37,SRR8518256,FUSCCTNBC149,Lib_FUSCCTNBC149.PT,FUSCCTNBC149_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
38,SRR8518259,FUSCCTNBC154,Lib_FUSCCTNBC154.PT,FUSCCTNBC154_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
39,SRR8518322,FUSCCTNBC155,Lib_FUSCCTNBC155.PT,FUSCCTNBC155_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
40,SRR8518221,FUSCCTNBC159,Lib_FUSCCTNBC159.PT,FUSCCTNBC159_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
41,SRR8518254,FUSCCTNBC166,Lib_FUSCCTNBC166.PT,FUSCCTNBC166_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
42,SRR8518318,FUSCCTNBC168,Lib_FUSCCTNBC168.PT,FUSCCTNBC168_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
43,SRR8518433,FUSCCTNBC173,Lib_FUSCCTNBC173.PT,FUSCCTNBC173_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
44,SRR8518147,FUSCCTNBC176,Lib_FUSCCTNBC176.PT,FUSCCTNBC176_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
45,SRR8518321,FUSCCTNBC178,Lib_FUSCCTNBC178.PT,FUSCCTNBC178_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
46,SRR8518136,FUSCCTNBC179,Lib_FUSCCTNBC179.PT,FUSCCTNBC179_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
47,SRR8518379,FUSCCTNBC183,Lib_FUSCCTNBC183.PT,FUSCCTNBC183_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
48,SRR8518359,FUSCCTNBC186,Lib_FUSCCTNBC186.PT,FUSCCTNBC186_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
49,SRR8518153,FUSCCTNBC196,Lib_FUSCCTNBC196.PT,FUSCCTNBC196_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
50,SRR8518336,FUSCCTNBC198,Lib_FUSCCTNBC198.PT,FUSCCTNBC198_ForRNAseq.PairedNormalTissue,Paired_normal_breast_tissue
