Cell.type,hgnc_symbol,entrezgene_id,ensembl_gene_id
aDC,CCL1,6346,ENSG00000108702
aDC,EBI3,10148,ENSG00000105246
aDC,INDO,3620,ENSG00000131203
aDC,LAMP3,27074,ENSG00000078081
aDC,OAS3,4940,ENSG00000111331
Angiogenesis,A2M,2,ENSG00000175899
Angiogenesis,ACVRL1,94,ENSG00000139567
Angiogenesis,ADCY4,196883,ENSG00000129467
Angiogenesis,APLNR,187,ENSG00000134817
Angiogenesis,CALCRL,10203,ENSG00000064989
Angiogenesis,CDH5,1003,ENSG00000179776
Angiogenesis,CLEC14A,161198,ENSG00000176435
Angiogenesis,CLEC3B,7123,ENSG00000163815
Angiogenesis,CNRIP1,25927,ENSG00000119865
Angiogenesis,COL15A1,1306,ENSG00000204291
Angiogenesis,EBF1,1879,ENSG00000164330
Angiogenesis,ECSCR,641700,ENSG00000249751
Angiogenesis,EDNRB,1910,ENSG00000136160
Angiogenesis,ELTD1,64123,ENSG00000162618
Angiogenesis,EMCN,51705,ENSG00000164035
Angiogenesis,ENG,2022,ENSG00000106991
Angiogenesis,ESAM,90952,ENSG00000149564
Angiogenesis,GIMAP8,155038,ENSG00000171115
Angiogenesis,GNG11,2791,ENSG00000127920
Angiogenesis,GPR116,221395,ENSG00000069122
Angiogenesis,GPR124,25960,ENSG00000020181
Angiogenesis,ITGA9,3680,ENSG00000144668
Angiogenesis,JAM2,58494,ENSG00000154721
Angiogenesis,KDR,3791,ENSG00000128052
Angiogenesis,LDB2,9079,ENSG00000169744
Angiogenesis,LRRC32,2615,ENSG00000137507
Angiogenesis,MYCT1,80177,ENSG00000120279
Angiogenesis,PDGFD,80310,ENSG00000170962
Angiogenesis,PECAM1,5175,ENSG00000261371
Angiogenesis,PLVAP,83483,ENSG00000130300
Angiogenesis,PTPRB,5787,ENSG00000127329
Angiogenesis,RGS5,8490,ENSG00000143248
Angiogenesis,RHOJ,57381,ENSG00000126785
Angiogenesis,ROBO4,54538,ENSG00000154133
Angiogenesis,S1PR1,1901,ENSG00000170989
Angiogenesis,SPARCL1,8404,ENSG00000152583
Angiogenesis,TEK,7010,ENSG00000120156
Angiogenesis,TIE1,7075,ENSG00000066056
Angiogenesis,TM4SF18,116441,ENSG00000163762
Angiogenesis,VWF,7450,ENSG00000110799
