ID_REF,GSM546233,GSM546234,GSM546235,GSM546236
10338001,11.339,11.2534,11.3356,11.3624
10338002,5.52582,5.46664,4.99403,5.36569
10338003,9.68857,9.49725,9.52081,9.67907
10338004,8.79253,8.62308,8.85449,8.89433
10338005,1.4139,1.3996,1.3996,1.3996
10338006,1.71466,1.70283,1.68409,1.70283
10338007,1.94362,1.89792,1.81751,1.91386
10338008,2.62679,2.51649,2.33885,2.54004
10338009,8.27976,8.24906,7.60999,8.08243
10338010,1.46239,1.46239,1.46239,1.46239
10338011,4.73433,4.62122,4.19748,4.54764
10338012,1.55278,1.55278,1.55278,1.56789
10338013,1.26814,1.26814,1.21998,1.26814
10338014,1.31798,1.31798,1.31798,1.31798
10338015,1.29549,1.29549,1.31088,1.29549
10338016,7.13928,7.14368,6.56223,6.98488
10338017,12.1601,12.1607,12.3889,12.2411
10338018,6.0976,6.10068,5.59088,5.99309
10338019,4.14118,4.06792,3.71218,4.00135
10338020,8.15305,8.16154,7.49566,8.01239
10338021,1.74614,1.74614,1.71131,1.77103
10338022,1.61577,1.58668,1.61577,1.61577
10338023,2.26983,2.25564,2.09384,2.21566
10338024,6.60265,6.57101,6.05728,6.44833
10338025,8.45388,8.11297,8.19243,8.27634
10338026,12.4818,12.4657,12.6716,12.4924
10338027,6.71348,6.70836,6.18718,6.58553
10338028,3.21615,3.19602,2.96257,3.18227
10338029,8.83275,8.62404,8.86324,8.84262
10338030,1.37647,1.37107,1.35481,1.37107
10338031,1.26463,1.26463,1.26463,1.26463
10338032,1.38285,1.36565,1.36565,1.36565
10338033,6.05062,6.0529,5.494,5.93301
10338034,2.28889,2.20499,2.06564,2.20499
10338035,8.31213,8.11182,8.15715,8.27056
10338036,8.79381,8.65893,8.85942,8.7653
10338037,2.59438,2.59438,2.59075,2.59438
10338038,1.21284,1.30145,1.19645,1.29276
10338039,8.19565,8.22093,7.45425,8.04843
10338040,3.15409,3.08858,2.86982,3.09833
10338041,10.3777,10.3748,10.6932,10.4265
10338042,9.45041,9.32548,9.44321,9.5003
10338043,1.2745,1.26735,1.25062,1.26973
10338044,11.3274,11.1752,11.3741,11.3064
10338045,7.91116,7.90967,7.31139,7.74436
10338046,2.68946,2.585,2.41914,2.62535
