"Population","Data.set","Sample.ID","PubMed.ID"
"B cell activated","GSE49910","GSM1209557_HH1791_u133plus2_251104","24053356"
"B cell activated","GSE49910","GSM1209554_HH1763_UI33plus2_201004","24053356"
"B cell activated","GSE49910","GSM1209555_HH1778_u133plus2_211004","24053356"
"B cell activated","GSE49910","GSM1209556_HH1786_U133plus2_091104","24053356"
"B cell activated","GSE28490","GSM705301_mRNA_CD19_EXP9","22276136"
"B cell activated","GSE28490","GSM705300_mRNA_CD19_EXP8","22276136"
"B cell activated","GSE28490","GSM705299_mRNA_CD19_EXP7","22276136"
"B cell activated","GSE28490","GSM705298_mRNA_CD19_EXP6","22276136"
"B cell activated","GSE28490","GSM705297_mRNA_CD19_EXP11","22276136"
"CD4 T cell activated ","GSE49910","GSM1209565_HH1769_UI33plus2_201004","24053356"
"CD4 T cell activated ","GSE49910","GSM1209567_HH1774_u133plus2_211004","24053356"
"CD4 T cell activated ","GSE49910","GSM1209571_HH1792_u133plus2_251104","24053356"
"CD4 T cell activated ","GSE28726","GSM711687_1_4_CD4_3_S","21632718"
"CD4 T cell activated ","GSE28726","GSM710979_1_CD4_1_S","21632718"
"CD4 T cell activated ","GSE28726","GSM711481_1_CD4_4_S","21632718"
"CD4 T cell activated ","GSE28726","GSM711685_4_CD4_2_S","21632718"
"CD4 T cell resting","GSE28726","GSM710977_1_CD4_1_N","21632718"
"CD4 T cell resting","GSE28726","GSM711464_1_CD4_4_N","21632718"
"CD4 T cell resting","GSE28726","GSM711666_1_4_CD4_2_N","21632718"
"CD4 T cell resting","GSE28726","GSM711686_4_CD4_3_N","21632718"
"CD8 T cell activated ","GSE49910","GSM1209564_HH1765_UI33plus2_201004","24053356"
"CD8 T cell activated ","GSE49910","GSM1209566_HH1770_U133plus2_041104","24053356"
"CD8 T cell activated ","GSE49910","GSM1209568_HH1775_u133plus2_211004","24053356"
"CD8 T cell activated ","GSE49910","GSM1209569_HH1780_u133plus2_211004","24053356"
"CD8 T cell activated ","GSE49910","GSM1209570_HH1788_U133plus2_091104","24053356"
"CD8 T cell activated ","GSE49910","GSM1209572_HH1793_u133plus2_251104","24053356"
"CD8 T cell resting","GSE49910","GSM1209581_TW1676_u133plus2_061004","24053356"
"CD8 T cell resting","GSE49910","GSM1209582_TW1680_u133plus2_061004","24053356"
"CD8 T cell resting","GSE49910","GSM1209583_TW1684_u133plus2_061004","24053356"
"CD8 T cell resting","GSE49910","GSM1209584_TW1688_u133plus2_061004","24053356"
"Dendritic cells activated","GSE59237","GSM1431116_DC_Control_6h_R1","25114264"
"Dendritic cells activated","GSE59237","GSM1431117_DC_Control_6h_R2","25114264"
"Dendritic cells activated","GSE59237","GSM1431118_DC_Control_6h_R3","25114264"
"Dendritic cells activated","GSE59237","GSM1431119_DC_Control_6h_R4","25114264"
"Dendritic cells resting","GSE59237","GSM1431110_DC_Control_0h_R1","25114264"
"Dendritic cells resting","GSE59237","GSM1431111_DC_Control_0h_R2","25114264"
