sig_id	DER001.A549.96H.TRCN0000001401..666	DER001.A549.96H.TRCN0000196310..666	DER001.A549.96H.TRCN0000297346..666	DER001.A549.96H.TRCN0000195283..666	DER001.A549.96H.TRCN0000350250..666	DER001.A549.96H.TRCN0000005421..666	DER001.A549.96H.TRCN0000195274..666	KDD004.A549.96H.TRCN0000006180..666	DER001.A549.96H.TRCN0000230575..666
pert_id	TRCN0000001401	TRCN0000196310	TRCN0000297346	TRCN0000195283	TRCN0000350250	TRCN0000005421	TRCN0000195274	TRCN0000006180	TRCN0000230575
pert_iname	EIF2AK3	PTK2	MELK	PIK3C2A	PTP4A1	RIOK3	GNE	PGK1	ALDH9A1
pert_type	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh
cell_id	A549	A549	A549	A549	A549	A549	A549	A549	A549
pert_dose	1	1	1	1	1	1	1	1	1
pert_dose_unit	µL	µL	µL	µL	µL	µL	µL	µL	µL
pert_idose	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL	1 µL
pert_time	96	96	96	96	96	96	96	96	96
pert_time_unit	h	h	h	h	h	h	h	h	h
pert_itime	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h
distil_id	DER001_A549_96H_X1_B7_DUO52HI53LO:G19|DER001_A549_96H_X2_B7_DUO52HI53LO:G19|DER001_A549_96H_X3_B7_DUO52HI53LO:G19	DER001_A549_96H_X1_B7_DUO52HI53LO:L21|DER001_A549_96H_X2_B7_DUO52HI53LO:L21|DER001_A549_96H_X3_B7_DUO52HI53LO:L21	DER001_A549_96H_X1_B7_DUO52HI53LO:A18|DER001_A549_96H_X2_B7_DUO52HI53LO:A18|DER001_A549_96H_X3_B7_DUO52HI53LO:A18	DER001_A549_96H_X1_B7_DUO52HI53LO:D22|DER001_A549_96H_X2_B7_DUO52HI53LO:D22|DER001_A549_96H_X3_B7_DUO52HI53LO:D22	DER001_A549_96H_X1_B7_DUO52HI53LO:A06|DER001_A549_96H_X2_B7_DUO52HI53LO:A06|DER001_A549_96H_X3_B7_DUO52HI53LO:A06	DER001_A549_96H_X1_B7_DUO52HI53LO:J11|DER001_A549_96H_X2_B7_DUO52HI53LO:J11|DER001_A549_96H_X3_B7_DUO52HI53LO:J11	DER001_A549_96H_X1_B7_DUO52HI53LO:C05|DER001_A549_96H_X2_B7_DUO52HI53LO:C05|DER001_A549_96H_X3_B7_DUO52HI53LO:C05	KDD004_A549_96H_X1_B5_DUO52HI53LO:D01|KDD004_A549_96H_X2_F1B5_DUO52HI53LO:D01|KDD004_A549_96H_X3_B5_DUO52HI53LO:D01	DER001_A549_96H_X1_B7_DUO52HI53LO:B14|DER001_A549_96H_X2_B7_DUO52HI53LO:B14|DER001_A549_96H_X3_B7_DUO52HI53LO:B14
region	CDS	CDS	CDS	CDS	3UTR	CDS	3UTR	CDS	CDS
NCBI_geneId	9451	5747	9833	5286	7803	8780	10020	5230	223
5720	-0.9648405	0.2809291	0.4731196	3.803668	3.691427	0.5818634	0.9423678	0.3468614	0.2755862
466	-0.2573377	0.408766	-1.542385	-0.4913033	-0.8729067	-2.026558e-05	-1.525191	0.2600986	-1.169202
6009	-0.3487406	1.386075	-2.918485	-1.52828	-0.5289811	-0.6647254	-0.4891699	0.9509472	-0.5633643
2309	0.8201001	1.036714	-1.0599	-2.299665	-0.4884824	0.6910126	1.157037	1.731498	0.7377233
387	-3.478844	0.231852	-0.4273507	1.547191	0.3465183	-0.2815717	0.01232743	-0.02805697	-0.5721327
3553	0.5367854	-0.4559293	1.13203	0.05528503	0.8130004	0.07657726	1.427621	-1.142929	1.373094
427	0.2297754	-0.2288357	-1.341116	-0.1224932	2.849102	1.126752	-0.71152	-0.2461932	-0.7772677
5898	-0.4455417	-0.7043378	0.06817147	-0.3641811	0.3459953	-0.4788557	0.5708659	-1.539833	0.3871656
23365	-0.1113645	1.694068	1.106476	1.171675	-0.2298116	0.2043686	1.178198	-0.4926164	0.8118656
6657	-0.0204255	-0.3866121	1.082256	1.302591	1.613955	3.63352	0.2188942	-1.173733	0.6331666
5054	0.325107	1.806548	0.540119	0.4281744	-1.236789	-1.389884	-1.844458	0.3210762	1.28014
3108	2.634043	0.9079897	1.788684	3.314985	6.136264	2.248958	7.091275	0.2050155	-0.3206049
1950	1.315253	-0.6862686	-0.1821299	-0.2640825	-0.4284938	0.1718743	0.5828914	0.006443273	0.7353262
351	0.2985336	-0.1337846	-0.02273414	-1.139671	-0.05260145	0.5746191	0.4211315	-0.1265374	-1.186534
4846	0.9706467	-0.8550113	0.362312	5.131045	1.223577	-0.42967	-0.5606019	-0.7752429	-1.261486
1452	1.462524	-0.02715269	-0.7005014	-4.411406	-0.7076046	-3.245727	-0.3088956	-0.317286	0.8409179
4776	0.6424458	-0.6199052	0.5472508	-0.1532792	0.5052868	0.5358581	0.7148324	-0.7368364	1.18257
6908	0.8968692	0.7850481	0.01167957	0.3611859	-1.419428	-0.9641754	-2.677124	1.665895	-0.870438
672	-0.4797298	-0.4039289	-1.474961	-0.6469886	-0.5556795	-0.3164375	-0.8194552	1.856386	-0.2506956
5710	0.2704072	0.536718	-0.8976551	1.443025	-1.949865	0.04826581	-1.081478	-0.04392608	-1.059825
2115	-0.9253276	1.152122	2.445054	3.812402	0.8367164	-0.420155	0.623103	-1.901959	0.5486633
7015	0.2675775	-0.4595184	0.7903171	0.2030481	0.3599503	0.3046371	-0.1127935	-0.8945888	0.166806
8726	-0.3383529	-0.06581786	0.1484887	-0.1983106	-0.8341678	0.009440586	-0.4801193	-0.3475615	0.09417613
2185	0.4472867	-0.04781759	1.463064	0.1251096	1.418704	-0.1592376	1.059016	-1.129867	1.159956
3315	-1.753574	0.03611284	-1.004941	-0.6649844	-1.048342	-0.8061534	-1.191006	0.004162446	-0.1747026
5289	1.980581	-0.04292715	1.156946	0.6259711	1.449352	0.1275639	1.704412	-1.620804	-0.3405205
868	0.6405296	1.428264	0.8535949	1.08645	1.970649	-0.03897105	0.4994113	-0.3185002	0.6057827
1677	0.6171332	-0.1901221	1.216151	0.5501113	0.9634477	0.0654166	0.3134676	-0.9075125	0.451862
7043	0.2776929	0.05002794	1.230424	0.7405972	1.864037	0.1232423	0.8532752	-1.575382	0.8231747
5613	0.1587178	-0.2649089	0.5171772	-0.7391449	1.872905	1.921145	0.6559644	-0.908649	0.9123697
595	-1.115059	1.209521	-0.6709341	-0.9029366	0.4929819	-0.9557116	-0.628256	1.973146	1.071198
4793	0.7981169	0.3108193	0.650227	1.128157	-1.67555	-0.7459743	0.7215967	0.1449552	-0.4001234
2736	-0.3525857	0.04317402	1.381466	1.012652	2.067518	-0.7917956	-0.7054545	-1.318305	1.509096
5290	-0.06342083	-0.3306535	1.228151	0.1341061	1.485404	0.02163861	0.6401793	-1.588106	0.8360009
6194	-0.3689332	7.137825e-05	-0.406519	0.0004595494	-0.6515601	-7.665789e-06	-0.0002387872	0.003120363	-0.000881209
1676	0.2218026	-0.353976	0.8261357	-0.5239025	1.539914	0.2965436	0.8259608	-2.586021	1.376325
23512	-1.841933	-0.7687666	-0.1833575	-2.061905	0.3916899	-0.003639355	0.5900712	-0.4278075	-1.116542
148022	2.525367	0.943426	0.8884566	-0.2744846	-0.4036158	-0.6598001	-0.6020738	-1.374147	-0.5607567
1906	-0.6020508	0.4299861	0.1722197	0.02530999	0.4172814	-0.3829145	0.2151597	-1.895759	0.06434365
8878	0.4526159	0.4081861	-0.4671002	0.1112444	-2.687825	-1.443981	-0.2181593	0.003896039	0.4151589
3091	0.2576267	-0.01636393	-1.105725	-0.4359563	-0.0126948	-0.4945498	0.9281785	-1.769798	-0.3708854
5743	-0.08946738	1.856844	-0.1532963	0.2876078	-0.6325777	1.627745	0.9820306	0.8955443	0.1375748
5321	0.7287255	0.01852334	0.5409287	0.1773859	0.5586138	0.7841437	0.6540693	-0.7404997	0.7947266
4144	0.5031588	0.2135651	1.064781	0.4226027	-0.08675157	1.081114	0.6359891	-0.1607512	-0.06410009
1981	-0.752515	-0.02694496	-0.9931362	-0.2596867	1.177158	0.407308	-0.6269021	1.232041	-0.1354293
695	-0.2912287	2.477453	-0.381768	-1.011386	0.6503935	0.853574	0.3679005	-0.3201752	-0.04949185
10398	0.2873924	0.7626576	0.6843302	-0.07086644	-0.02755079	-0.5877817	0.2766989	-0.2176993	0.1110875
5708	-2.997089	1.202541	0.6979793	-0.3864046	0.1103789	0.01333445	1.028362	-1.983461	0.6246426
1213	1.525151	0.8369735	-0.3285905	0.01529709	-1.968724	-0.1506307	0.2269901	0.2888555	-0.7803675
226	-0.002639553	0.7591072	-2.36893	-0.1017736	-0.9685215	-0.2171949	0.2191311	-0.6357303	-1.239426
6777	0.9313927	-0.3924491	1.478374	4.343039	-2.089398	-0.8102439	0.8193579	-0.5306936	1.669476
2113	0.456761	0.8217888	0.3644432	-0.117601	1.119812	-0.4347669	-0.04343514	-1.514031	0.6169834
3329	-0.3587102	0.182091	-3.485643	-0.01253704	-1.082234	0.2382401	-2.049071	0.04450822	-0.8993734
1050	0.009701058	0.7525588	-0.8457928	0.02782105	-0.6984767	-0.6811824	-0.9291137	1.881018	-0.7941653
9491	1.235247	-0.01248503	0.4643588	-0.3422691	-0.05262417	0.2006427	-0.07279241	-0.7316954	0.282021
22926	0.974937	-0.1110269	0.6912893	0.1670546	0.78804	-0.7069185	0.02048438	-1.555106	0.4276592
5899	0.3831332	0.5929327	0.0515661	0.07067949	-2.211425	-0.6467006	-0.5372617	-0.4131133	0.296243
5467	-0.1059828	1.701842	1.174866	5.33546	2.078945	0.5824603	1.188682	-1.153646	1.609041
6774	-0.01854095	-0.2933077	1.179424	-1.602328	-0.3545676	1.229638	-0.8366798	-0.458573	0.9311507
1788	0.3095287	0.2872189	0.82949	-0.07672501	1.042713	-0.09852562	0.7417412	-0.9606488	1.076518
5921	-1.091932	0.3940139	-0.5050288	0.1873158	0.2172652	0.2513148	-0.4400586	-1.791394	0.3740395
5721	-1.354645	-0.8058838	0.5450744	-0.8885632	-0.5694463	-1.06058	-1.106374	0.2593977	-0.2905599
2263	0.7682464	-0.5732133	0.03845015	-0.7704059	0.5569921	0.882591	0.4406799	-0.1572474	0.5535886
808	0.5205312	-0.9424872	1.08465	-1.137562	0.3206204	0.1646462	1.424198	-0.5238802	1.707833
30001	-0.2903894	0.7576514	-0.3539357	-1.25625	0.2440303	-0.8053458	-0.4832099	0.04743253	0.2311494
348	1.241627	-0.7710972	0.8254209	-0.131762	1.696484	0.0853423	0.3778455	-0.6119354	0.6259121
30849	0.955163	-0.2311763	0.523604	-1.185325	-0.478828	0.6227681	-0.2453004	1.628657	-0.0165717
1454	-0.7516912	-0.4860928	1.600268	1.203523	1.411606	-0.2346138	-1.27046	-1.101591	-0.0192835
6500	-0.2734302	0.03288558	-0.1326028	-1.157522	0.6033747	0.6813887	0.7542968	1.419134	-0.4495161
5627	0.8622843	0.6072251	0.07359886	1.047012	1.293308	-0.1776819	-1.109151	0.4254083	0.4253721
5715	-0.6313129	0.3716991	-4.765912	-2.651019	-1.747984	-1.25755	1.143345	0.2689558	-0.6443884
4791	-0.5131802	-0.9168593	2.520382	1.486351	3.779169	0.7338926	0.1972508	-1.388628	0.2899022
