sig_id	DER001.HCC515.96H.TRCN0000262375..666	DER001.HCC515.96H.TRCN0000196310..666	DER001.HCC515.96H.TRCN0000280031..666	DER001.HCC515.96H.TRCN0000194822..666	DER001.HCC515.96H.TRCN0000002922..666	DER001.HCC515.96H.TRCN0000196572..666	DER001.HCC515.96H.TRCN0000006168..666	DER001.HCC515.96H.TRCN0000006178..666	DER001.HCC515.96H.TRCN0000230573..666
pert_id	TRCN0000262375	TRCN0000196310	TRCN0000280031	TRCN0000194822	TRCN0000002922	TRCN0000196572	TRCN0000006168	TRCN0000006178	TRCN0000230573
pert_iname	EIF2AK3	PTK2	MELK	PIK3C2A	PTP4A1	RIOK3	GNE	PGK1	ALDH9A1
pert_type	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh	trt_sh
cell_id	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515	HCC515
pert_dose	2	2	2	2	2	2	2	2	2
pert_dose_unit	µL	µL	µL	µL	µL	µL	µL	µL	µL
pert_idose	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL	2 µL
pert_time	96	96	96	96	96	96	96	96	96
pert_time_unit	h	h	h	h	h	h	h	h	h
pert_itime	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h	96 h
distil_id	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:I15|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:I15|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:I15	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:L21|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:L21|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:L21	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:O10|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:O10|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:O10	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:H24|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:H24|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:H24	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:E01|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:E01|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:E01	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:H23|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:H23|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:H23	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:C03|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:C03|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:C03	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:N19|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:N19|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:N19	DER001_HCC515_96H_X1_F1B6_DUO52HI53LO:F18|DER001_HCC515_96H_X2_F1B6_DUO52HI53LO:F18|DER001_HCC515_96H_X3_F1B6_DUO52HI53LO:F18
region	CDS	CDS	CDS	CDS	CDS	CDS	3UTR	3UTR	CDS
NCBI_geneId	9451	5747	9833	5286	7803	8780	10020	5230	223
5720	0.6511829	0.12093	-1.110847	0.9124281	-0.09616649	1.437507	0.02112864	-0.2913481	0.7396868
466	-0.5588198	-0.2489608	-0.2401729	0.8382751	-0.176636	-0.1592413	-0.05373944	0.07044417	-1.804134
6009	0.6808467	1.00705	-0.3980562	1.419005	-3.116636	1.144921	-0.6547375	-0.06468073	0.4559127
2309	0.5531355	0.3792533	-0.3913949	-0.4733897	-0.9975806	1.13214	-1.185253	-0.1760352	3.147446
387	-0.2276946	0.2338722	-0.1166483	4.490504	0.5975136	1.441075	0.4332674	0.2237507	-0.5213849
3553	-0.1793975	-0.6366646	0.5066311	-1.472504	2.489409	-0.480733	0.06732522	-0.1853663	-0.5810019
427	-0.4152598	0.5580975	0.3452507	0.8784447	-0.3668379	0.5590539	0.2926522	-0.7385659	0.5736443
5898	-0.3350146	-1.059209	-0.4240611	-0.779138	1.346519	-1.748035	-0.6243713	0.4213408	-2.248552
23365	-0.09209383	-0.3049787	0.1402084	-0.6223356	1.136799	0.08733611	2.261362	0.5079899	-0.6351833
6657	-0.5196086	-0.6210276	-0.01410952	-0.8216997	1.583162	0.5228266	0.4755088	0.294731	-1.111493
5054	-0.1594087	0.257917	-0.09713998	-1.267077	1.029585	-0.731565	-0.6494423	-1.058995	-0.7787238
3108	0.4781175	0.6141687	0.03695439	0.04485099	1.996893	1.253387	0.8857169	0.9549091	0.4254104
1950	-0.3443753	0.2051745	-0.07988304	-0.4929135	0.1450043	0.9232022	-0.1314739	-0.6187881	-0.212717
