genesymbol	entrezgene	A549_LUNG	HCC515_LUNG
?|100130426	100130426	NA	NA
?|100133144	100133144	-0.128849897730353	0.0984302225288943
?|100134869	100134869	-0.208572578591554	0.0289558638704749
?|10357	10357	0.287726820933652	-0.0503035231687983
?|10431	10431	0.444796569654255	0.162124908614472
?|136542	136542	NA	NA
?|155060	155060	-0.338087845108718	-0.0284629981024668
?|26823	26823	NA	NA
?|280660	280660	NA	NA
?|317712	317712	NA	NA
?|340602	340602	NA	NA
?|388795	388795	-0.463696328971471	-0.263885260849208
?|390284	390284	0.316299892390974	0.354214413037942
?|391343	391343	NA	NA
?|391714	391714	NA	NA
?|404770	404770	NA	NA
?|441362	441362	NA	NA
?|442388	442388	NA	NA
?|553137	553137	NA	NA
?|57714	57714	-0.422555180429943	-0.345112825188727
?|645851	645851	-0.437942449707156	-0.287293099057805
?|652919	652919	NA	NA
?|653553	653553	0.160304591044629	0.0302800299005233
?|728045	728045	NA	NA
?|728603	728603	NA	NA
?|728788	728788	NA	NA
?|729884	729884	-0.0242999252486919	-0.153838192168363
?|8225	8225	0.136564889885573	0.283964612237857
?|90288	90288	-0.261430789324527	0.0902979373567609
A1BG	1	-0.132638392600442	0.0277861291144024
A1CF	29974	NA	NA
A2BP1	54715	NA	NA
A2LD1	87769	0.231339691301741	0.183459424825649
A2M	2	-0.284565908474827	0.0136671677468641
A2ML1	144568	NA	NA
A4GALT	53947	-0.0313019049261934	0.0520515537593337
A4GNT	51146	-0.342402063464682	0.0223777487534603
AAA1	404744	NA	NA
AAAS	8086	0.38417408018926	0.18415929421622
AACS	65985	0.33598166539343	0.0652012124497893
AACSL	729522	NA	NA
AADAC	13	-0.206285681427996	0.120481036989576
AADACL2	344752	NA	NA
AADACL3	126767	NA	NA
AADACL4	343066	NA	NA
AADAT	51166	-0.083677107206519	0.112388181078883
AAGAB	79719	0.498886944807248	0.135033720232961
AAK1	22848	-0.450839103970034	-0.224810862761527
AAMP	14	0.42988245151433	0.223555697939
AANAT	15	NA	NA
AARS	16	0.337039683908754	0.0558137624551287
AARS2	57505	-0.142485850645243	-0.221074940240026
AARSD1	80755	0.41298044144344	0.222750683851253
AASDH	132949	-0.16830873111708	-0.169195889499495
AASDHPPT	60496	0.170263765330179	-0.176418015886707
AASS	10157	-0.350879354674421	-0.0584818091459458
AATF	26574	0.0960118944938679	-0.304957408183215
AATK	9625	-0.0743323722450857	0.222711254589812
ABAT	18	-0.143593155737368	0.0930448425704593
ABCA1	19	-0.440590781767252	-0.256676277549143
ABCA10	10349	-0.266313446199594	0.06849684155187
ABCA11P	79963	0.135894592441082	-0.121253193359455
ABCA12	26154	-0.235627623483411	-0.138657926513714
ABCA13	154664	-0.195347347150004	0.0951838800036144
ABCA17P	650655	-0.292537190829411	-0.159295859106106
ABCA2	20	-0.422302176002366	-0.116189819036119
ABCA3	21	-0.256945710835654	0.0241717801490098
ABCA4	24	-0.29713727133082	0.0179912434181884
ABCA5	23461	-0.273657146142915	-0.00299826675538251
ABCA6	23460	-0.338767999868569	-0.0250096519546235
ABCA7	10347	-0.364853742083344	-3.12148319738453e-05
ABCA8	10351	-0.198235540550531	0.0828688073469857
ABCA9	10350	-0.381732751751727	-0.0617840097915999
ABCB1	5243	-0.464159622793399	-0.155980515373305
ABCB10	23456	0.244568208515078	-0.0329710769938474
ABCB11	8647	NA	NA
ABCB4	5244	-0.25526668145264	0.0792413152944462
ABCB5	340273	NA	NA
ABCB6	10058	0.490524655610045	0.209880315762669
ABCB7	22	0.153457042641103	-0.133436835144615
ABCB8	11194	0.128968185514675	0.210967906224073
ABCB9	23457	-0.182269975438856	-0.24840270419018
ABCC1	4363	-0.0771548502098787	-0.0953185966468699
ABCC10	89845	-0.227814058174589	-0.00354699064376484
ABCC11	85320	0.323101439989486	0.248695137879199
ABCC12	94160	NA	NA
ABCC13	150000	NA	NA
ABCC2	1244	0.518325570697487	0.23556847959125
ABCC3	8714	-0.0438469816078924	0.19185457174072
ABCC4	10257	0.0533592909304484	0.16929117688131
ABCC5	10057	-0.237267223604985	-0.0861348645029859
ABCC6	368	-0.197969393035807	0.150181128169743
ABCC6P1	653190	-0.362977566393126	-0.00411214339108077
ABCC6P2	730013	-0.199267272891561	0.239734838216812
ABCC8	6833	0.0350312559041212	0.209709455629759
ABCC9	10060	-0.298596154004124	-0.016749221682808
ABCD1	215	-0.374967347642869	-0.153874335658017
ABCD2	225	-0.452675850398811	-0.187836072845561
ABCD3	5825	0.178034615605773	0.303758101481062
ABCD4	5826	-0.375621216228427	0.0205212876939632
ABCE1	6059	0.0674815380697734	-0.250282165652185
ABCF1	23	0.0961301822781899	-0.271807256626991
ABCF2	10061	0.113774776772879	-0.19288630408175
ABCF3	55324	0.0841831160616739	-0.125393265810723
ABCG1	9619	-0.417159943156148	-0.0788470226800398
ABCG2	9429	-0.0535334368351446	0.199224557858334
ABCG4	64137	-0.129539909805564	-0.0322482072007689
ABCG5	64240	0.0106508292466547	0.281638285812859
ABCG8	64241	NA	NA
ABHD1	84696	0.279137813483165	0.0752753887478745
ABHD10	55347	0.278858522881293	0.0137065970083048
ABHD11	83451	0.167543146290774	0.102323862096158
ABHD12	26090	0.219395910857011	0.162890493440778
ABHD12B	145447	-0.0497975143136433	0.190983842217239
ABHD13	84945	-0.0312361894904589	0.126868577342961
ABHD14A	25864	0.176707163803938	0.362576702235146
ABHD14B	84836	0.0873144565744186	0.291130880504695
ABHD15	116236	-0.239399689494566	0.0455654402523473
ABHD2	11057	0.0968497662994817	0.177213172659093
