genesymbol	entrezgene	PC3_PROSTATE	VCAP_PROSTATE
?|100130426	100130426	NA	NA
?|100133144	100133144	-0.217848312345466	-0.0710466004583652
?|100134869	100134869	0.0727946310489005	-0.153696903981534
?|10357	10357	-0.299614743258007	-0.111796742157273
?|10431	10431	0.150841568298874	0.125527982453979
?|136542	136542	NA	NA
?|155060	155060	-0.0774834273885507	0.109713562844493
?|26823	26823	NA	NA
?|280660	280660	NA	NA
?|317712	317712	NA	NA
?|340602	340602	NA	NA
?|388795	388795	NA	NA
?|390284	390284	0.23516761543327	0.382495050806246
?|391343	391343	NA	NA
?|391714	391714	NA	NA
?|404770	404770	NA	NA
?|441362	441362	NA	NA
?|442388	442388	NA	NA
?|553137	553137	NA	NA
?|57714	57714	-0.186377190172257	-0.241147720085101
?|645851	645851	-0.249641440153774	-0.148321381338459
?|652919	652919	NA	NA
?|653553	653553	0.558066980457872	-0.0160394949768764
?|728045	728045	NA	NA
?|728603	728603	NA	NA
?|728788	728788	NA	NA
?|729884	729884	0.494362437056934	0.0643961983620428
?|8225	8225	0.241824589073166	0.197479813039585
?|90288	90288	0.387141132112669	0.436391565423824
A1BG	1	0.541509976424587	-0.11912401324166
A1CF	29974	NA	NA
A2BP1	54715	0.43396009430165	0.0304870335230867
A2LD1	87769	0.0467581754109268	0.352256093053057
A2M	2	0.11750084197902	-0.315793883535819
A2ML1	144568	0.221925955132786	-0.316851902051143
A4GALT	53947	0.536141025325086	-0.207491559673723
A4GNT	51146	NA	NA
AAA1	404744	NA	NA
AAAS	8086	0.12824202994981	0.313730418853759
AACS	65985	-0.034104668260266	0.323334729786343
AACSL	729522	NA	NA
AADAC	13	NA	NA
AADACL2	344752	NA	NA
AADACL3	126767	NA	NA
AADACL4	343066	NA	NA
AADAT	51166	-0.266234587676713	0.49447743906947
AAGAB	79719	-0.130542070200514	0.0397660530487855
AAK1	22848	-0.388084148615458	0.260849207718278
AAMP	14	-0.0400946302274576	0.283425745664835
AANAT	15	NA	NA
AARS	16	0.0255616616147925	0.355295431955774
AARS2	57505	-0.178474909025194	0.433204366790705
AARSD1	80755	0.233587159203858	0.281036989575889
AASDH	132949	-0.369631254261235	0.0340586674552519
AASDHPPT	60496	-0.442023378266263	0.200078858522881
AASS	10157	-0.105639205828959	0.27721892275972
AATF	26574	0.137307474309372	-0.00702005142232846
AATK	9625	0.173667824901222	-0.0269646861677222
ABAT	18	0.0374627270262944	0.411445986019041
ABCA1	19	-0.129921059332824	-0.220066208301502
ABCA10	10349	0.430358888423405	0.124420677361854
ABCA11P	79963	-0.0768229872594199	-0.0866803026195816
ABCA12	26154	0.034939254294093	-0.252618349392543
ABCA13	154664	0.218449608582436	-0.112785759465076
ABCA17P	650655	0.375831505622777	0.0602232681929077
ABCA2	20	-0.405712314251214	0.0275594108611186
ABCA3	21	-0.282430156813459	0.355686438798393
ABCA4	24	0.250288737195758	-0.426277959864298
ABCA5	23461	-0.0675308246465742	0.188696945053681
ABCA6	23460	0.0601214092675193	-0.292501047339757
ABCA7	10347	0.523691236025202	-0.237280366692131
ABCA8	10351	0.165476395836927	-0.245419223407838
ABCA9	10350	0.137524335247295	-0.249680869415215
ABCB1	5243	0.15201787459852	-0.307602454471525
ABCB10	23456	-0.349019607843137	-0.103917461412718
ABCB11	8647	NA	NA
ABCB4	5244	0.150059554613634	-0.432294208005783
ABCB5	340273	0.404204145001109	-0.229197368096799
ABCB6	10058	0.0550481776288228	0.278828950935213
ABCB7	22	-0.534185991111987	-0.0753936765321965
ABCB8	11194	0.192314579790861	0.308299038090309
ABCB9	23457	0.234178598125467	-0.251527473159352
ABCC1	4363	-0.350435775483214	0.181652250342952
ABCC10	89845	0.326567929224476	-0.181938112488397
ABCC11	85320	-0.194105325414623	0.00755563222356391
ABCC12	94160	NA	NA
ABCC13	150000	NA	NA
ABCC2	1244	-0.117205122518216	0.0549068894419938
ABCC3	8714	0.320729112759473	-0.287822108315467
ABCC4	10257	-0.343959519291588	0.306281574213263
ABCC5	10057	-0.351270361517041	-0.231549980696091
ABCC6	368	0.480420907365879	-0.00172995884570837
ABCC6P1	653190	0.372667307392165	0.0792216006637259
ABCC6P2	730013	0.557041819660416	0.119873169209033
ABCC8	6833	0.291712462110944	0.304825977311746
ABCC9	10060	0.158638704748762	-0.206847548403526
ABCD1	215	0.516564397019805	-0.0791624567715649
ABCD2	225	0.0625725950204129	-0.290526298495938
ABCD3	5825	-0.219113334483353	0.0550186056827423
ABCD4	5826	0.535805876602841	0.0685132704108036
ABCE1	6059	-0.590737409333235	-0.0394867624469143
ABCF1	23	0.0974937775696789	-0.244551779656144
ABCF2	10061	-0.320252675850399	-0.0543680228689716
ABCF3	55324	0.038701462989888	0.193645317364482
ABCG1	9619	-0.367709077766004	-0.0016543860946138
ABCG2	9429	0.228937792125648	-0.148883248313988
ABCG4	64137	0.35347511438593	-0.0854349951124145
ABCG5	64240	0.37987629069223	0.348825747307721
ABCG8	64241	NA	NA
ABHD1	84696	0.286783804430863	0.442089093701997
ABHD10	55347	0.0144951822371177	0.438119881383638
ABHD11	83451	0.15793883535819	0.216087138667784
ABHD12	26090	0.167615433270082	-0.229729663126248
ABHD12B	145447	NA	NA
ABHD13	84945	-0.241512440753427	-0.188963092568406
ABHD14A	25864	0.370577556535811	0.265495289024701
ABHD14B	84836	0.294863517254409	0.281434567962082
ABHD15	116236	0.0552486097078127	-0.238105095410598
ABHD2	11057	-0.153338754856781	0.309386628551714
ABHD3	171586	-0.205973533108258	0.294015788133435
ABHD4	63874	0.0593689675283603	-0.301218199889927
ABHD5	51099	-0.483769108816547	-0.155076928131957
ABHD6	57406	0.291479172314087	-0.11198074537733
ABHD8	79575	0.581671964973673	-0.0227523267371465
ABI1	10006	-0.387058987818001	-0.118338713784634
ABI2	10152	-0.229713234267314	-0.0530997149592975
ABI3	51225	0.339152435167615	-0.376192940519316
ABI3BP	25890	0.0494787944503315	-0.309202625331658
ABL1	25	-0.105146340060951	0.00144081092847696
