GO,ENTREZID,ONTOLOGY,SYMBOL,Terms
GO:0003725,13204,MF,Dhx15,double-stranded RNA binding
GO:0003725,13211,MF,Dhx9,double-stranded RNA binding
GO:0003725,13681,MF,Eif4a1,double-stranded RNA binding
GO:0003725,14000,MF,Drosha,double-stranded RNA binding
GO:0003725,15289,MF,Hmgb1,double-stranded RNA binding
GO:0003725,15510,MF,Hspd1,double-stranded RNA binding
GO:0003725,15516,MF,Hsp90ab1,double-stranded RNA binding
GO:0003725,15568,MF,Elavl1,double-stranded RNA binding
GO:0003725,16201,MF,Ilf3,double-stranded RNA binding
GO:0003725,17254,MF,Slc3a2,double-stranded RNA binding
GO:0003725,17698,MF,Msn,double-stranded RNA binding
GO:0003725,17884,MF,Myh4,double-stranded RNA binding
GO:0003725,19106,MF,Eif2ak2,double-stranded RNA binding
GO:0003725,20744,MF,Strbp,double-stranded RNA binding
GO:0003725,20853,MF,Stau1,double-stranded RNA binding
GO:0003725,21357,MF,Tarbp2,double-stranded RNA binding
GO:0003725,21744,MF,Adad1,double-stranded RNA binding
GO:0003725,22042,MF,Tfrc,double-stranded RNA binding
GO:0003725,22143,MF,Tuba1b,double-stranded RNA binding
GO:0003725,22352,MF,Vim,double-stranded RNA binding
GO:0003725,22763,MF,Zfr,double-stranded RNA binding
GO:0003725,23960,MF,Oas1g,double-stranded RNA binding
GO:0003725,23961,MF,Oas1b,double-stranded RNA binding
GO:0003725,23962,MF,Oasl2,double-stranded RNA binding
GO:0003725,23992,MF,Prkra,double-stranded RNA binding
GO:0003725,26919,MF,Zfp346,double-stranded RNA binding
GO:0003725,29819,MF,Stau2,double-stranded RNA binding
GO:0003725,51810,MF,Hnrnpu,double-stranded RNA binding
GO:0003725,56200,MF,Ddx21,double-stranded RNA binding
GO:0003725,56417,MF,Adar,double-stranded RNA binding
GO:0003725,56758,MF,Mbnl1,double-stranded RNA binding
GO:0003725,58203,MF,Zbp1,double-stranded RNA binding
GO:0003725,66369,MF,Dus2,double-stranded RNA binding
GO:0003725,66408,MF,Aptx,double-stranded RNA binding
GO:0003725,66801,MF,Prkrip1,double-stranded RNA binding
GO:0003725,67070,MF,Lsm14a,double-stranded RNA binding
GO:0003725,67154,MF,Mtdh,double-stranded RNA binding
GO:0003725,67300,MF,Cltc,double-stranded RNA binding
GO:0003725,67781,MF,Ilf2,double-stranded RNA binding
GO:0003725,69163,MF,Mrpl44,double-stranded RNA binding
GO:0003725,71586,MF,Ifih1,double-stranded RNA binding
GO:0003725,72162,MF,Dhx36,double-stranded RNA binding
GO:0003725,72831,MF,Dhx30,double-stranded RNA binding
GO:0003725,75773,MF,Adad2,double-stranded RNA binding
GO:0003725,76438,MF,Rftn1,double-stranded RNA binding
GO:0003725,76850,MF,Ago4,double-stranded RNA binding
GO:0003725,80861,MF,Dhx58,double-stranded RNA binding
GO:0003725,94191,MF,Adarb2,double-stranded RNA binding
GO:0003725,94223,MF,Dgcr8,double-stranded RNA binding
GO:0003725,100535,MF,Oas1d,double-stranded RNA binding
GO:0003725,103406,MF,Zfr2,double-stranded RNA binding
GO:0003725,104721,MF,Ddx1,double-stranded RNA binding
GO:0003725,109711,MF,Actn1,double-stranded RNA binding
GO:0003725,110532,MF,Adarb1,double-stranded RNA binding
GO:0003725,114643,MF,Oas1c,double-stranded RNA binding
GO:0003725,142980,MF,Tlr3,double-stranded RNA binding
GO:0003725,170743,MF,Tlr7,double-stranded RNA binding
GO:0003725,170744,MF,Tlr8,double-stranded RNA binding
GO:0003725,192119,MF,Dicer1,double-stranded RNA binding
GO:0003725,193740,MF,Hspa1a,double-stranded RNA binding
GO:0003725,214150,MF,Ago3,double-stranded RNA binding
GO:0003725,214597,MF,Sidt2,double-stranded RNA binding
GO:0003725,216877,MF,Dhx33,double-stranded RNA binding
GO:0003725,227613,MF,Tubb4b,double-stranded RNA binding
GO:0003725,230073,MF,Ddx58,double-stranded RNA binding
GO:0003725,230734,MF,Yrdc,double-stranded RNA binding
GO:0003725,231655,MF,Oasl1,double-stranded RNA binding
GO:0003725,231699,MF,Oas1e,double-stranded RNA binding
GO:0003725,234311,MF,Ddx60,double-stranded RNA binding
GO:0003725,236511,MF,Ago1,double-stranded RNA binding
GO:0003725,239528,MF,Ago2,double-stranded RNA binding
GO:0003725,243262,MF,Oas1f,double-stranded RNA binding
GO:0003725,246727,MF,Oas3,double-stranded RNA binding
GO:0003725,246728,MF,Oas2,double-stranded RNA binding
GO:0003725,246729,MF,Oas1h,double-stranded RNA binding
GO:0003725,246730,MF,Oas1a,double-stranded RNA binding
GO:0003725,319817,MF,Rc3h2,double-stranded RNA binding
GO:0003725,320007,MF,Sidt1,double-stranded RNA binding
GO:0003725,338359,MF,Supv3l1,double-stranded RNA binding
GO:0003725,381305,MF,Rc3h1,double-stranded RNA binding
GO:0009615,11993,BP,Aup1,response to virus
GO:0009615,12048,BP,Bcl2l1,response to virus
GO:0009615,12051,BP,Bcl3,response to virus
GO:0009615,13205,BP,Ddx3x,response to virus
GO:0009615,14042,BP,Ext1,response to virus
GO:0009615,14349,BP,Fv1,response to virus
GO:0009615,15586,BP,Hyal1,response to virus
GO:0009615,15587,BP,Hyal2,response to virus
GO:0009615,15957,BP,Ifit1,response to virus
GO:0009615,15958,BP,Ifit2,response to virus
GO:0009615,15978,BP,Ifng,response to virus
GO:0009615,16420,BP,Itgb6,response to virus
GO:0009615,16639,BP,Klra8,response to virus
GO:0009615,16819,BP,Lcn2,response to virus
GO:0009615,16963,BP,Xcl1,response to virus
GO:0009615,17874,BP,Myd88,response to virus
GO:0009615,19106,BP,Eif2ak2,response to virus
GO:0009615,19775,BP,Xpr1,response to virus
GO:0009615,19777,BP,Uri1,response to virus
GO:0009615,19882,BP,Mst1r,response to virus
GO:0009615,20597,BP,Smpd1,response to virus
GO:0009615,21822,BP,Tgtp1,response to virus
GO:0009615,21926,BP,Tnf,response to virus
GO:0009615,22164,BP,Tnfsf4,response to virus
GO:0009615,23962,BP,Oasl2,response to virus
GO:0009615,56200,BP,Ddx21,response to virus
GO:0009615,56417,BP,Adar,response to virus
GO:0009615,57444,BP,Isg20,response to virus
GO:0009615,58185,BP,Rsad2,response to virus
GO:0009615,64685,BP,Nmi,response to virus
GO:0009615,66141,BP,Ifitm3,response to virus
GO:0009615,68713,BP,Ifitm1,response to virus
GO:0009615,69550,BP,Bst2,response to virus
GO:0009615,71586,BP,Ifih1,response to virus
GO:0009615,72162,BP,Dhx36,response to virus
GO:0009615,73914,BP,Irak3,response to virus
GO:0009615,76933,BP,Ifi27l2a,response to virus
GO:0009615,78781,BP,Zc3hav1,response to virus
GO:0009615,80861,BP,Dhx58,response to virus
GO:0009615,80876,BP,Ifitm2,response to virus
GO:0009615,81897,BP,Tlr9,response to virus
