GO,ENTREZID,ONTOLOGY,SYMBOL,Terms
GO:0003725,25367,MF,Adarb1,double-stranded RNA binding
GO:0003725,25459,MF,Hmgb1,double-stranded RNA binding
GO:0003725,50567,MF,Slc3a2,double-stranded RNA binding
GO:0003725,54241,MF,Cltc,double-stranded RNA binding
GO:0003725,54287,MF,Eif2ak2,double-stranded RNA binding
GO:0003725,59117,MF,Ago2,double-stranded RNA binding
GO:0003725,63868,MF,Hspd1,double-stranded RNA binding
GO:0003725,64678,MF,Tfrc,double-stranded RNA binding
GO:0003725,81521,MF,Msn,double-stranded RNA binding
GO:0003725,81634,MF,Actn1,double-stranded RNA binding
GO:0003725,81635,MF,Adar,double-stranded RNA binding
GO:0003725,81818,MF,Vim,double-stranded RNA binding
GO:0003725,84472,MF,Ilf3,double-stranded RNA binding
GO:0003725,84474,MF,Ddx1,double-stranded RNA binding
GO:0003725,84476,MF,Strbp,double-stranded RNA binding
GO:0003725,84496,MF,Stau1,double-stranded RNA binding
GO:0003725,117088,MF,Adarb2,double-stranded RNA binding
GO:0003725,117280,MF,Hnrnpu,double-stranded RNA binding
GO:0003725,170910,MF,Mtdh,double-stranded RNA binding
GO:0003725,171091,MF,Zbp1,double-stranded RNA binding
GO:0003725,171500,MF,Stau2,double-stranded RNA binding
GO:0003725,192281,MF,Oas1a,double-stranded RNA binding
GO:0003725,246268,MF,Oas1b,double-stranded RNA binding
GO:0003725,259271,MF,Aptx,double-stranded RNA binding
GO:0003725,282635,MF,Mbnl1,double-stranded RNA binding
GO:0003725,287436,MF,Eif4a1,double-stranded RNA binding
GO:0003725,287464,MF,Dhx33,double-stranded RNA binding
GO:0003725,287954,MF,Dgcr8,double-stranded RNA binding
GO:0003725,288109,MF,Sidt1,double-stranded RNA binding
GO:0003725,289693,MF,Dhx15,double-stranded RNA binding
GO:0003725,291978,MF,Dus2,double-stranded RNA binding
GO:0003725,294385,MF,Supv3l1,double-stranded RNA binding
GO:0003725,294979,MF,Adad1,double-stranded RNA binding
GO:0003725,296554,MF,Tubb4b,double-stranded RNA binding
GO:0003725,297989,MF,Ddx58,double-stranded RNA binding
GO:0003725,298533,MF,Ago4,double-stranded RNA binding
GO:0003725,299284,MF,Dicer1,double-stranded RNA binding
GO:0003725,301252,MF,Hsp90ab1,double-stranded RNA binding
GO:0003725,301552,MF,Mrpl44,double-stranded RNA binding
GO:0003725,303538,MF,Dhx58,double-stranded RNA binding
GO:0003725,304507,MF,Oas1i,double-stranded RNA binding
GO:0003725,304545,MF,Oasl,double-stranded RNA binding
GO:0003725,304549,MF,Oasl2,double-stranded RNA binding
GO:0003725,304859,MF,Dhx9,double-stranded RNA binding
GO:0003725,306765,MF,Zfp346,double-stranded RNA binding
GO:0003725,310159,MF,Drosha,double-stranded RNA binding
GO:0003725,310461,MF,Dhx36,double-stranded RNA binding
GO:0003725,310612,MF,Ilf2,double-stranded RNA binding
GO:0003725,311130,MF,Prkra,double-stranded RNA binding
GO:0003725,311909,MF,Rc3h2,double-stranded RNA binding
GO:0003725,313593,MF,Ago3,double-stranded RNA binding
GO:0003725,313594,MF,Ago1,double-stranded RNA binding
GO:0003725,314639,MF,Zfr2,double-stranded RNA binding
GO:0003725,315617,MF,Sidt2,double-stranded RNA binding
GO:0003725,317399,MF,Ddx21,double-stranded RNA binding
GO:0003725,317468,MF,Tlr7,double-stranded RNA binding
GO:0003725,319113,MF,Yrdc,double-stranded RNA binding
GO:0003725,360543,MF,Myh4,double-stranded RNA binding
GO:0003725,361554,MF,Lsm14a,double-stranded RNA binding
GO:0003725,363006,MF,Tarbp2,double-stranded RNA binding
GO:0003725,363854,MF,Elavl1,double-stranded RNA binding
GO:0003725,363938,MF,Oas2,double-stranded RNA binding
GO:0003725,364594,MF,Tlr3,double-stranded RNA binding
GO:0003725,365703,MF,Zfr,double-stranded RNA binding
GO:0003725,367172,MF,Dhx30,double-stranded RNA binding
GO:0003725,494198,MF,Oas1k,double-stranded RNA binding
GO:0003725,494199,MF,Oas1f,double-stranded RNA binding
GO:0003725,494200,MF,Oas1h,double-stranded RNA binding
GO:0003725,494201,MF,Oas1e,double-stranded RNA binding
GO:0003725,494202,MF,Oas3,double-stranded RNA binding
GO:0003725,498171,MF,Prkrip1,double-stranded RNA binding
GO:0003725,499801,MF,Ifih1,double-stranded RNA binding
GO:0003725,500929,MF,Tuba1b,double-stranded RNA binding
GO:0003725,501095,MF,Rftn1,double-stranded RNA binding
GO:0003725,680586,MF,Rc3h1,double-stranded RNA binding
GO:0003725,684440,MF,Tlr8,double-stranded RNA binding
GO:0003725,691275,MF,Adad2,double-stranded RNA binding
GO:0009615,24296,BP,Cyp1a1,response to virus
GO:0009615,24333,BP,Eno1,response to virus
GO:0009615,24471,BP,Hspb1,response to virus
GO:0009615,24575,BP,Mx1,response to virus
GO:0009615,24609,BP,Odc1,response to virus
GO:0009615,24835,BP,Tnf,response to virus
GO:0009615,24854,BP,Clu,response to virus
GO:0009615,24888,BP,Bcl2l1,response to virus
GO:0009615,25712,BP,Ifng,response to virus
GO:0009615,29271,BP,Cfl1,response to virus
GO:0009615,29332,BP,Stmn1,response to virus
GO:0009615,29669,BP,Psma2,response to virus
GO:0009615,54225,BP,Apob,response to virus
GO:0009615,54287,BP,Eif2ak2,response to virus
GO:0009615,56824,BP,Ifit1,response to virus
GO:0009615,60462,BP,Batf3,response to virus
