GO,ENTREZID,ONTOLOGY,SYMBOL,Terms
hsa03040,100534599,KEGG,ISY1-RAB43,Spliceosome
hsa03040,10084,KEGG,PQBP1,Spliceosome
hsa03040,10189,KEGG,ALYREF,Spliceosome
hsa03040,101954264,KEGG,RNVU1-4,Spliceosome
hsa03040,101954268,KEGG,RNVU1-20,Spliceosome
hsa03040,101954271,KEGG,RNU6-9,Spliceosome
hsa03040,101954273,KEGG,RNVU1-1,Spliceosome
hsa03040,10262,KEGG,SF3B4,Spliceosome
hsa03040,102724594,KEGG,U2AF1L5,Spliceosome
hsa03040,10285,KEGG,SMNDC1,Spliceosome
hsa03040,10286,KEGG,BCAS2,Spliceosome
hsa03040,10291,KEGG,SF3A1,Spliceosome
hsa03040,10450,KEGG,PPIE,Spliceosome
hsa03040,10465,KEGG,PPIH,Spliceosome
hsa03040,10523,KEGG,CHERP,Spliceosome
hsa03040,10569,KEGG,SLU7,Spliceosome
hsa03040,10594,KEGG,PRPF8,Spliceosome
hsa03040,10713,KEGG,USP39,Spliceosome
hsa03040,10772,KEGG,SRSF10,Spliceosome
hsa03040,10907,KEGG,TXNL4A,Spliceosome
hsa03040,10915,KEGG,TCERG1,Spliceosome
hsa03040,10929,KEGG,SRSF8,Spliceosome
hsa03040,10946,KEGG,SF3A3,Spliceosome
hsa03040,10992,KEGG,SF3B2,Spliceosome
hsa03040,11017,KEGG,SNRNP27,Spliceosome
hsa03040,11157,KEGG,LSM6,Spliceosome
hsa03040,11325,KEGG,DDX42,Spliceosome
hsa03040,11338,KEGG,U2AF2,Spliceosome
hsa03040,139804,KEGG,RBMXL3,Spliceosome
hsa03040,144983,KEGG,HNRNPA1L2,Spliceosome
hsa03040,151903,KEGG,CCDC12,Spliceosome
hsa03040,153527,KEGG,ZMAT2,Spliceosome
hsa03040,1655,KEGG,DDX5,Spliceosome
hsa03040,1659,KEGG,DHX8,Spliceosome
hsa03040,1665,KEGG,DHX15,Spliceosome
hsa03040,199746,KEGG,U2AF1L4,Spliceosome
hsa03040,220988,KEGG,HNRNPA3,Spliceosome
hsa03040,22827,KEGG,PUF60,Spliceosome
hsa03040,22916,KEGG,NCBP2,Spliceosome
hsa03040,22938,KEGG,SNW1,Spliceosome
hsa03040,22985,KEGG,ACIN1,Spliceosome
hsa03040,23020,KEGG,SNRNP200,Spliceosome
hsa03040,23350,KEGG,U2SURP,Spliceosome
hsa03040,23450,KEGG,SF3B3,Spliceosome
hsa03040,23451,KEGG,SF3B1,Spliceosome
hsa03040,23658,KEGG,LSM5,Spliceosome
hsa03040,24148,KEGG,PRPF6,Spliceosome
hsa03040,2521,KEGG,FUS,Spliceosome
hsa03040,25766,KEGG,PRPF40B,Spliceosome
hsa03040,25804,KEGG,LSM4,Spliceosome
hsa03040,25949,KEGG,SYF2,Spliceosome
hsa03040,26121,KEGG,PRPF31,Spliceosome
hsa03040,26827,KEGG,RNU6-1,Spliceosome
hsa03040,26831,KEGG,RNU5A-1,Spliceosome
hsa03040,26834,KEGG,RNU4-2,Spliceosome
hsa03040,26835,KEGG,RNU4-1,Spliceosome
hsa03040,26863,KEGG,RNVU1-18,Spliceosome
hsa03040,26864,KEGG,RNVU1-7,Spliceosome
hsa03040,26869,KEGG,RNU1-3,Spliceosome
hsa03040,26870,KEGG,RNU1-2,Spliceosome
hsa03040,26871,KEGG,RNU1-1,Spliceosome
hsa03040,27258,KEGG,LSM3,Spliceosome
hsa03040,27288,KEGG,RBMXL2,Spliceosome
hsa03040,27316,KEGG,RBMX,Spliceosome
hsa03040,27339,KEGG,PRPF19,Spliceosome
hsa03040,29896,KEGG,TRA2A,Spliceosome
hsa03040,3178,KEGG,HNRNPA1,Spliceosome
hsa03040,3183,KEGG,HNRNPC,Spliceosome
hsa03040,3190,KEGG,HNRNPK,Spliceosome
hsa03040,3192,KEGG,HNRNPU,Spliceosome
hsa03040,3303,KEGG,HSPA1A,Spliceosome
hsa03040,3304,KEGG,HSPA1B,Spliceosome
hsa03040,3305,KEGG,HSPA1L,Spliceosome
hsa03040,3306,KEGG,HSPA2,Spliceosome
hsa03040,3310,KEGG,HSPA6,Spliceosome
hsa03040,3312,KEGG,HSPA8,Spliceosome
hsa03040,392517,KEGG,NCBP2L,Spliceosome
hsa03040,4116,KEGG,MAGOH,Spliceosome
hsa03040,4670,KEGG,HNRNPM,Spliceosome
hsa03040,4686,KEGG,NCBP1,Spliceosome
hsa03040,4809,KEGG,SNU13,Spliceosome
hsa03040,494115,KEGG,RBMXL1,Spliceosome
hsa03040,5093,KEGG,PCBP1,Spliceosome
hsa03040,51340,KEGG,CRNKL1,Spliceosome
hsa03040,51362,KEGG,CDC40,Spliceosome
hsa03040,51503,KEGG,CWC15,Spliceosome
hsa03040,51639,KEGG,SF3B6,Spliceosome
hsa03040,51645,KEGG,PPIL1,Spliceosome
hsa03040,51690,KEGG,LSM7,Spliceosome
hsa03040,51691,KEGG,LSM8,Spliceosome
hsa03040,51729,KEGG,WBP11,Spliceosome
hsa03040,5356,KEGG,PLRG1,Spliceosome
hsa03040,55110,KEGG,MAGOHB,Spliceosome
hsa03040,55119,KEGG,PRPF38B,Spliceosome
hsa03040,55660,KEGG,PRPF40A,Spliceosome
hsa03040,55696,KEGG,RBM22,Spliceosome
