Run	Sample	tissue
SRR8613700	FUSCCTNBC480	Primary_breast_tumor_tissue
SRR8613701	FUSCCTNBC479	Primary_breast_tumor_tissue
SRR8613702	FUSCCTNBC476	Primary_breast_tumor_tissue
SRR8613703	FUSCCTNBC475	Primary_breast_tumor_tissue
SRR8613704	FUSCCTNBC478	Primary_breast_tumor_tissue
SRR8613705	FUSCCTNBC477	Primary_breast_tumor_tissue
SRR8613706	FUSCCTNBC472	Primary_breast_tumor_tissue
SRR8613707	FUSCCTNBC471	Primary_breast_tumor_tissue
SRR8613708	FUSCCTNBC474	Primary_breast_tumor_tissue
SRR8613709	FUSCCTNBC473	Primary_breast_tumor_tissue
SRR8613710	FUSCCTNBC451	Primary_breast_tumor_tissue
SRR8613711	FUSCCTNBC450	Primary_breast_tumor_tissue
SRR8613712	FUSCCTNBC449	Primary_breast_tumor_tissue
SRR8613713	FUSCCTNBC448	Primary_breast_tumor_tissue
SRR8613714	FUSCCTNBC456	Primary_breast_tumor_tissue
SRR8613715	FUSCCTNBC455	Primary_breast_tumor_tissue
SRR8613716	FUSCCTNBC453	Primary_breast_tumor_tissue
SRR8613717	FUSCCTNBC452	Primary_breast_tumor_tissue
SRR8613718	FUSCCTNBC458	Primary_breast_tumor_tissue
SRR8613719	FUSCCTNBC457	Primary_breast_tumor_tissue
SRR8613720	FUSCCTNBC469	Primary_breast_tumor_tissue
SRR8613721	FUSCCTNBC470	Primary_breast_tumor_tissue
SRR8613722	FUSCCTNBC467	Primary_breast_tumor_tissue
SRR8613723	FUSCCTNBC468	Primary_breast_tumor_tissue
SRR8613724	FUSCCTNBC465	Primary_breast_tumor_tissue
SRR8613725	FUSCCTNBC466	Primary_breast_tumor_tissue
SRR8613726	FUSCCTNBC462	Primary_breast_tumor_tissue
SRR8613727	FUSCCTNBC463	Primary_breast_tumor_tissue
SRR8613728	FUSCCTNBC460	Primary_breast_tumor_tissue
SRR8613729	FUSCCTNBC461	Primary_breast_tumor_tissue
SRR8613730	FUSCCTNBC437	Primary_breast_tumor_tissue
SRR8613731	FUSCCTNBC438	Primary_breast_tumor_tissue
SRR8613732	FUSCCTNBC430	Primary_breast_tumor_tissue
SRR8613733	FUSCCTNBC431	Primary_breast_tumor_tissue
SRR8613734	FUSCCTNBC432	Primary_breast_tumor_tissue
SRR8613735	FUSCCTNBC434	Primary_breast_tumor_tissue
SRR8613736	FUSCCTNBC426	Primary_breast_tumor_tissue
SRR8613737	FUSCCTNBC427	Primary_breast_tumor_tissue
SRR8613738	FUSCCTNBC428	Primary_breast_tumor_tissue
SRR8613739	FUSCCTNBC429	Primary_breast_tumor_tissue
SRR8613740	FUSCCTNBC083	Primary_breast_tumor_tissue
SRR8613741	FUSCCTNBC075	Primary_breast_tumor_tissue
SRR8613742	FUSCCTNBC063	Primary_breast_tumor_tissue
SRR8613743	FUSCCTNBC055	Primary_breast_tumor_tissue
SRR8613745	FUSCCTNBC043	Primary_breast_tumor_tissue
SRR8613746	FUSCCTNBC037	Primary_breast_tumor_tissue
SRR8613747	FUSCCTNBC022	Primary_breast_tumor_tissue
SRR8613748	FUSCCTNBC010	Primary_breast_tumor_tissue
SRR8613749	FUSCCTNBC007	Primary_breast_tumor_tissue
SRR8613750	FUSCCTNBC425	Primary_breast_tumor_tissue
SRR8613751	FUSCCTNBC424	Primary_breast_tumor_tissue
SRR8613752	FUSCCTNBC414	Primary_breast_tumor_tissue
SRR8613753	FUSCCTNBC413	Primary_breast_tumor_tissue
SRR8613754	FUSCCTNBC416	Primary_breast_tumor_tissue
