barcode	files_size	analysis_id	aliquot_id	participant_id	sample_id	published	uploaded	modified
TCGA-A7-A0DB-01A-11R-A00Z-07	6761615934	53dcbacd-2610-42d8-8a6d-b6f0297f6c25	0c74bde4-0411-4cfd-9c60-d8eaf8a09629	f130f376-5801-40f9-975d-a7e2f7b5670d	e8cb34ed-67cb-48b7-83cd-621a1224e781	6/1/2012	6/1/2012	5/16/2013
TCGA-A7-A0DB-01A-11R-A277-07	8908424326	bde78b85-660d-4d9f-8ff8-55e8d0b368fe	b629190c-9d4b-4cb4-8b3d-c0137774cc72	f130f376-5801-40f9-975d-a7e2f7b5670d	e8cb34ed-67cb-48b7-83cd-621a1224e781	1/14/2014	1/14/2014	1/14/2014
TCGA-A7-A0DC-01A-11R-A00Z-07	7914231388	e2b721ad-bbac-48a1-ad66-e50a79e49ffc	43bbd0f7-87d7-472f-ad3e-e016df3d5d89	cb9f5e50-f49d-4899-8895-9367afcc1015	36cafcfc-cc5e-4203-b018-c2c949e24c12	5/15/2012	5/15/2012	12/9/2014
TCGA-A7-A0DC-01B-04R-A22O-07	13192462417	0011237d-dea5-46b7-b2dc-a25ed5bdff2a	22FE5CAC-0623-4D0A-A158-F15FB5477D8F	cb9f5e50-f49d-4899-8895-9367afcc1015	00b54c99-c26d-423a-9871-2552c1603a9c	12/10/2014	12/4/2013	12/10/2014
TCGA-A7-A0DC-01B-04R-A22O-07	17952889844	08b2d7d9-aff5-4af4-bbee-b3ef8e38ccf0	22FE5CAC-0623-4D0A-A158-F15FB5477D8F	cb9f5e50-f49d-4899-8895-9367afcc1015	00b54c99-c26d-423a-9871-2552c1603a9c	12/10/2014	12/9/2013	12/10/2014
TCGA-A7-A0DC-01B-04R-A22O-07	11277698780	30e1e782-ac71-43a9-a4e1-e9afb86941b9	22FE5CAC-0623-4D0A-A158-F15FB5477D8F	cb9f5e50-f49d-4899-8895-9367afcc1015	00b54c99-c26d-423a-9871-2552c1603a9c	12/10/2014	12/9/2013	12/10/2014
TCGA-A7-A13D-01A-13R-A12P-07	6717389454	939f39bd-1782-4a83-97a6-efb6c048a676	3af60b03-66c3-48a1-a42b-1e05fdb529c4	8785012f-f73e-4d68-87cf-1d804af32782	79fc9ed3-4e96-4c0e-869e-1756cbdabb39	5/12/2012	5/11/2012	5/16/2013
TCGA-A7-A13D-01A-13R-A277-07	9002163508	9a398c63-1beb-4578-bea2-0a077cdfea58	24664b94-f5b5-4a99-a09b-66e23edf5916	8785012f-f73e-4d68-87cf-1d804af32782	79fc9ed3-4e96-4c0e-869e-1756cbdabb39	1/14/2014	1/14/2014	1/14/2014
TCGA-A7-A13E-01A-11R-A12P-07	5779037231	92ff18ac-2577-4268-acb4-4260a4ba0e23	b7f491a9-eddf-43b1-9baf-862db2d50383	8c7e74e0-71ef-49b8-9217-94b8ef740ef9	8a790c78-8ad4-4e0b-9728-0e24cadc1f98	5/12/2012	5/12/2012	5/16/2013
TCGA-A7-A13E-01A-11R-A277-07	8769255952	1f390b0d-4689-4434-9da2-1936755f4bc0	d3c9cc63-ca20-47de-b635-f843c7d3a824	8c7e74e0-71ef-49b8-9217-94b8ef740ef9	8a790c78-8ad4-4e0b-9728-0e24cadc1f98	1/14/2014	1/13/2014	1/14/2014
TCGA-A7-A13G-01A-11R-A13Q-07	9053597625	bb5e9e0d-96f5-4acd-8fd2-a7829200b05a	ac567288-88cc-4a65-937e-086655c038df	6cd9baf5-bbe0-4c1e-a87f-c53b3af22890	6a1c2fdb-18ce-40ec-af79-191b489f39a7	5/24/2012	5/10/2012	5/16/2013
TCGA-A7-A13G-01B-04R-A22O-07	8270587282	4f1078f2-7813-4fe2-a72b-21601f47d013	95817802-63D7-4DD4-902F-3C61332E017C	6cd9baf5-bbe0-4c1e-a87f-c53b3af22890	b4bb06b0-bb68-4f58-bff9-c072f09976c3	12/9/2013	12/9/2013	12/9/2013
TCGA-A7-A13G-01B-04R-A22O-07	15882236089	920ad373-4390-4d7e-8215-d944372432db	95817802-63D7-4DD4-902F-3C61332E017C	6cd9baf5-bbe0-4c1e-a87f-c53b3af22890	b4bb06b0-bb68-4f58-bff9-c072f09976c3	12/9/2013	12/9/2013	12/9/2013
TCGA-A7-A13G-01B-04R-A22O-07	10517591741	f01b6e15-4de1-40de-aadc-a4513d00536d	95817802-63D7-4DD4-902F-3C61332E017C	6cd9baf5-bbe0-4c1e-a87f-c53b3af22890	b4bb06b0-bb68-4f58-bff9-c072f09976c3	12/9/2013	12/9/2013	12/9/2013
TCGA-A7-A26E-01A-11R-A277-07	9147445542	7df45064-518f-49ff-b1eb-94a17eb82b90	44be9bd3-c7ab-4310-898d-c462a88926d2	011b9b2d-ebe5-42bf-9662-d922faccc7a1	d6023f30-0d07-4839-98d1-0b22b366cc51	1/13/2014	1/13/2014	1/13/2014
TCGA-A7-A26E-01B-06R-A277-07	8947858745	4b82ae65-a162-4e30-8db3-c332e3205ff9	f992d081-e919-4f45-9c43-70a3de5d51f9	011b9b2d-ebe5-42bf-9662-d922faccc7a1	e716eb8a-dccd-4f17-9bdc-e64dc2f0fd69	1/13/2014	1/13/2014	1/13/2014
