sex,genename,M28L_logFC,M28L_P.Value,M28L_adj.P.Val,P522R_logFC,P522R_P.Value,P522R_adj.P.Val,P2KOhet_logFC,P2KOhet_P.Value,P2KOhet_adj.P.Val
MALE,Abat.mRNA,0.0445800258107187,0.481180304869683,0.702414789727184,-0.532871107505699,3.61084650169358e-05,0.000248847327156641,-0.452628846868766,0.00481428516821084,0.0178213012367103
MALE,Abca1.mRNA,-0.16290300387192,0.0551907380567863,0.23765807612208,-0.440861176750547,1.26704661804377e-05,0.000131366463501709,-0.345335265337447,0.0170326505096803,0.0421158897368268
MALE,Abcb1a.mRNA,-0.111243145667933,0.179787299466898,0.427238483298948,-0.409410726534399,0.00266651181228303,0.00694609867150271,-0.299469038693905,0.0445813481928367,0.0875038555226842
MALE,Abcc3.mRNA,-0.210510445635835,0.200065071099132,0.453911075289429,0.122271230207998,0.3959457336986,0.475585672544997,0.0873689185506983,0.524644630533696,0.617860560237823
MALE,Abcc8.mRNA,-0.0575701466085521,0.452389758886564,0.682628646901537,0.234948775464196,0.0205451737328085,0.0384210172576633,0.108286253059263,0.277270980708428,0.367950798298605
MALE,Abce1.mRNA,-0.0575737315999429,0.248640224236497,0.509350362270882,-0.0404598071252984,0.588163771270406,0.66246915874407,-0.0798489890748524,0.225239217868765,0.309276409785094
MALE,Abcg2.mRNA,-0.0527853302950554,0.179872126065039,0.427238483298948,0.151084690207549,0.0243158184812757,0.0445496761176484,-0.0404333161376087,0.610829218574355,0.696048416485268
MALE,Abi2.mRNA,-0.0520715510376828,0.24319350339307,0.501771320559242,-0.0384859433929687,0.492280050304614,0.569676913789435,-0.0296451464426681,0.697321544199023,0.768997452052233
MALE,Abl1.mRNA,0.153777317364323,0.00201843860237554,0.0412152140420554,0.0503312550202804,0.559534616438778,0.635310156422863,0.179070723292947,0.00675734989395729,0.022453556340551
MALE,Acaa1a.mRNA,0.00958761695862265,0.87306160049141,0.94067743508266,0.0278292439493928,0.703138814777892,0.764165033405457,0.0133240720948304,0.842948867476712,0.883421578001256
MALE,Acadm.mRNA,-0.0582706317982886,0.23755026031677,0.496268365612263,0.231381499786121,0.00183851670854989,0.00510430296715824,0.13936764650615,0.142848939188181,0.216842634307239
MALE,Acadsb.mRNA,-0.00516114936882772,0.94101605962767,0.975881872317082,0.0804485589864896,0.368103300323803,0.445950983932952,-0.0265788411533503,0.722988698924318,0.794534455588704
MALE,Acat1.mRNA,0.0208258414735827,0.633071840491429,0.808747679174721,-0.0965500250896838,0.0468198778739207,0.0777873561527345,-0.210879355498335,0.00154177445928065,0.00848646289325784
MALE,Acat2.mRNA,-0.0417948131378036,0.605658747166624,0.785618825730478,0.258407860958858,0.0272897627496226,0.0487289698745024,0.194792151809821,0.0345931536339517,0.0726284121071026
MALE,Ache.mRNA,0.128501846393176,0.0830616725185545,0.281165982375642,0.319678614251266,0.000852239505811901,0.002713948184214,0.217507307598598,0.0133032743771068,0.0354271461997671
MALE,Acin1.mRNA,0.302718726911435,9.92924469283355e-05,0.00785651486320454,-0.013209798790033,0.871334121109315,0.910155938386462,0.0498722880904836,0.579939617043544,0.668673547520152
MALE,Acly.mRNA,-0.0553760847625782,0.234360779198064,0.491226401431704,0.492429127759364,3.12440615135963e-05,0.000234053147196526,0.357341580877634,0.0022027966394851,0.0101408747112296
MALE,Acot13.mRNA,-0.075573524538731,0.192608839538618,0.444158088990692,-0.102427877612163,0.120749438076885,0.173320622001515,-0.365437037872615,0.000274597720483483,0.00354144981460544
MALE,Acsl3.mRNA,0.0304661694619508,0.311950323359933,0.560978848542152,-0.375574891699751,0.000936277327391882,0.00292673357155092,-0.257629815955681,0.00778744441575064,0.0241583309992187
MALE,Acsl4.mRNA,-0.167098082947081,0.000354534662579274,0.0179536353130144,0.174695642336083,0.00927215120090079,0.0198286206424669,0.143297815975583,0.0357840105069941,0.0737891185021605
MALE,Actn1.mRNA,0.108117471577236,0.0366728716201865,0.184237521710937,-0.244610390208091,0.000374928569800455,0.00144713283343712,-0.422412443667659,0.000257659694218065,0.00348987369083845
MALE,Acvrl1.mRNA,-0.0518583553982399,0.611131859630189,0.78948258601206,-0.592385117379448,0.000794106960634644,0.00257120054261754,-0.596664433483153,0.000249517694551895,0.00348987369083845
MALE,Adam10.mRNA,-0.0203557455898444,0.640091788169908,0.811311814376058,-0.467641534690936,2.04599528431854e-05,0.000176206124486209,-0.509554113954652,0.00158337788657683,0.00850671761061015
MALE,Adam22.mRNA,-0.105217967182451,0.0445255492011335,0.208004964164705,0.429902679344915,3.57195402636957e-06,5.38344499688557e-05,0.283903004111215,0.011833417271789,0.0327098390089188
MALE,Adamts1.mRNA,-0.260580122004003,0.00888062030807102,0.095177759425188,-0.191711773192412,0.00752425666739457,0.0166825025235053,-0.156289449652081,0.0797769065660913,0.136667880531355
MALE,Adar.mRNA,0.0982611251747016,0.0251346450865889,0.151116680349602,0.385473539541628,8.70796675823019e-05,0.000472505657627671,0.266581573897131,0.0036571757374447,0.0146056292858201
MALE,Adcy1.mRNA,0.0581855495521992,0.253612924972666,0.515367516878644,-0.441969414916587,0.000218103059830668,0.000932832681573061,-0.368986344068237,7.4479481262332e-05,0.00196945667061794
MALE,Adcy5.mRNA,0.0309088826281521,0.585339264760021,0.774335955262473,-0.311666460317133,0.000251754163205097,0.00104842358755807,-0.439251914827318,2.74801470467681e-05,0.00101675664754833
MALE,Adcy8.mRNA,-0.0737821034361641,0.113214006826261,0.327983827556169,0.239899078175721,0.0089662176453699,0.0193377027922288,0.112521497597895,0.152132045738041,0.228468766197343
MALE,Adcy9.mRNA,0.0388404793332686,0.286285355160187,0.541241685258989,-0.0225131394545688,0.676030930872108,0.741642251719315,-0.122527148245602,0.029747444394622,0.0645634704545655
MALE,Adcyap1.mRNA,-0.285387720487865,0.025911223747041,0.154007555228891,-0.755615868072309,5.71650526170818e-05,0.000344623602920122,-1.07395164311246,5.20389126120538e-06,0.000425059106394086
MALE,Adcyap1r1.mRNA,0.0579949987600337,0.167172933006284,0.410953268322243,0.220340424366835,0.00693659038268182,0.015653695943806,0.158009277839284,0.0741316308136025,0.129363931081439
MALE,Adgra2.mRNA,0.146872877494703,0.110087258393644,0.323365357601747,-0.304220931822185,0.00308244292166816,0.00780696845110113,-0.173180417795498,0.0915097531114361,0.151637889318165
MALE,Adgrg1.mRNA,-0.0550406980623874,0.567278317179829,0.761584676086599,-0.204651557872044,0.126541576029589,0.181018796896565,-0.363543700349698,0.0103652656120338,0.0294095582581645
MALE,Adgrl4.mRNA,0.223309082330164,0.0468176451998202,0.214929930052526,-0.218307879000236,0.0634582495708937,0.101565289452277,-0.382487644112497,0.00820244264934612,0.0250223913110173
MALE,Adh5.mRNA,-0.0270217348757598,0.49701424291971,0.715127519719715,-0.34547567612486,2.9198182376876e-05,0.000225395724933689,-0.387993674177103,0.00157456730261365,0.00850671761061015
MALE,Adora1.mRNA,-0.0296749910091165,0.587222193577188,0.775206774837038,-0.022351292444343,0.704463222108415,0.764880308052533,-0.0920462262641628,0.1788626604277,0.258236643552065
MALE,Adora2a.mRNA,-0.038556881501826,0.418889149933209,0.657957399274743,-0.682830080393865,1.14090472514035e-06,3.07316038729293e-05,-0.614581683880177,1.7557554280554e-05,0.000907711957776804
MALE,Adora2b.mRNA,0.141649323579326,0.20406377009917,0.457013217297325,0.26335254960713,0.0528261791528178,0.086071998465209,0.159561734719697,0.314125973080954,0.409982971052049
MALE,Adora3.mRNA,-0.165282897935846,0.324666792663344,0.576658286688447,0.0413415438113178,0.79396517189462,0.843962978688991,0.0909246193300133,0.516349600661026,0.609793464959757
MALE,Adra2a.mRNA,0.309419445394282,1.02000273187157e-06,0.00129132345854941,-0.467730391407677,2.7321539788621e-05,0.000214838940201206,-0.532846851637669,0.000103309499050848,0.0023779968326977
MALE,Adrb1.mRNA,0.0593891058116043,0.279934950810759,0.533731397178345,0.0518841753140897,0.342060542748752,0.419620782092946,0.029877413054102,0.662099934377199,0.741786298160649
MALE,Adrb2.mRNA,0.492048993321808,0.000318216684635261,0.01678593011451,0.706506273929791,4.57165124038849e-06,6.50304547228295e-05,0.593672596262969,0.00013640996653574,0.00261270019755807
MALE,Ager.mRNA,0.121151518660294,0.658537348175588,0.817223182871345,0.212904125599025,0.447096456296497,0.523127646646364,0.240761234927238,0.300793345993769,0.39420742860053
MALE,Agmo.mRNA,0.0166624632432102,0.809640584848485,0.901499543023907,0.242838445057049,0.00684436203674025,0.0155286063414214,0.0823658830539555,0.480079536525905,0.576642023948572
MALE,Ahcyl1.mRNA,0.0111379593944019,0.756996647539054,0.874413363593526,-0.0886908576400192,0.0792017903478853,0.122429141123837,-0.139059981072954,0.0348483236567239,0.0726820061769562
MALE,AI464131.mRNA,0.246893142461573,0.00239711482223148,0.0456357657712912,0.262086912219225,0.000560717372494723,0.001944844365968,0.220279545068893,0.0135407460826229,0.035713717792918
MALE,Aif1.mRNA,-0.213300549168448,0.0248554593996957,0.151116680349602,-0.778871344066769,2.69106827522911e-06,4.66573973184608e-05,-0.766615310271689,7.93383018969314e-05,0.00196945667061794
MALE,Akt1.mRNA,0.0131516078697533,0.749952731479143,0.872647204092458,-0.183061203065735,0.00736776306507943,0.0164218099302651,-0.239856529431352,0.000826990170592527,0.00608703230215197
MALE,Akt1s1.mRNA,0.131602943429469,0.0186488355253027,0.132637223455243,-0.501025451261107,1.86550221317474e-07,1.04259450185065e-05,-0.376658709433663,0.000615378494292576,0.00522865217298256
MALE,Akt2.mRNA,0.083258203364009,0.262609912721872,0.526050869471344,-0.203960572495902,0.000175228104304677,0.000818593284316314,-0.111512448589744,0.301756484695284,0.395060713158459
MALE,Akt3.mRNA,-0.0159848272351173,0.785692731202797,0.891297117996106,-0.581153917807951,0.00108154506589139,0.00324872497332336,-0.461280430015167,0.0139090796420131,0.0364573391858976
MALE,Alas1.mRNA,0.0432765615865005,0.500686388346721,0.716439608446272,0.183992550890702,0.0333486426237488,0.0580734271824842,0.0834643455046731,0.404658538526433,0.500290732201625
MALE,Aldh1a1.mRNA,-0.133513588208197,0.194339304220536,0.446521885922321,-0.242927382743713,0.0092291954614,0.0197701547447249,-0.131333592820207,0.143745548050816,0.217942351895009
MALE,Aldh1l1.mRNA,-0.0671439342581515,0.293865436280159,0.547914053506158,0.040067594844178,0.602987411306209,0.676157717195448,0.0240703865998508,0.79108737716183,0.847084235244644
MALE,Amigo1.mRNA,-0.0198727448082323,0.644905444874412,0.814008268405788,-0.0812435980814801,0.2214086575021,0.287785790962688,-0.159913554696343,0.0122428448682961,0.0335485748988375
MALE,Amigo2.mRNA,0.148591001128504,0.109351089793173,0.321949952739899,0.38692552399438,0.000590482154283947,0.00200954410570827,0.205763636123817,0.162551282622767,0.240128265811462
MALE,Amph.mRNA,0.0222283619188026,0.474866771321099,0.698120353611947,0.336359736144534,1.58512815987478e-05,0.000146479726306677,0.276038353119269,0.00107891645919588,0.00698556002352452
MALE,Anapc1.mRNA,0.00254535262338962,0.949260209626169,0.977432766936116,0.618573287990388,5.80071546020295e-08,5.28984019719169e-06,0.437680668789547,0.00656305046006738,0.0219810102710193
MALE,Anapc7.mRNA,0.0402348895368965,0.652018571451474,0.817223182871345,-0.0320239271235261,0.800255545273144,0.849223403449958,0.119089541583607,0.126519310426213,0.197554028819473
MALE,Ang.mRNA,-0.00394997026754051,0.979635070628688,0.990589456402492,-0.195556661658857,0.260241641468267,0.331863285694124,-0.364581204101714,0.0185174694387034,0.0449963844710145
MALE,Angpt2.mRNA,0.383882242871231,0.0182905558155519,0.131876581032955,0.22962774951678,0.158330585409755,0.218828079834879,0.0350438165733866,0.853638413704524,0.892408118703491
MALE,Ank.mRNA,0.0375287555695039,0.40807570902974,0.647350604323894,0.156878384158817,0.0189115480783656,0.0356811026336972,0.0274170463099512,0.680195959153634,0.758703157963436
MALE,Ank2.mRNA,-0.0496276822006276,0.212611002292112,0.463826271304297,-0.0331151270857841,0.535184159701151,0.613161218263943,-0.131976355487366,0.0432126235520515,0.085213678219466
MALE,Ap1s1.mRNA,0.102470599799252,0.0431290111183868,0.203736298790588,-0.647056435772235,1.3273104758994e-07,8.00178601185067e-06,-0.664144886818733,0.000158918497653507,0.00287415454327628
MALE,Ap2a2.mRNA,0.0307841105877014,0.46547834706382,0.693830574320334,-0.0122970826791686,0.781824372752924,0.835970993163177,-0.0476218927998335,0.402127010687138,0.497646916451531
MALE,Ap2b1.mRNA,0.046252884753871,0.332139615695934,0.583202154606176,-0.63594720447427,2.48019074915695e-07,1.18893366962569e-05,-0.545385802058371,0.00282075506540364,0.0119413548063348
MALE,Ap2m1.mRNA,0.0125028560299167,0.725727288111147,0.861240006264798,-0.238287552413738,0.000111318580941355,0.000576281963121901,-0.274620078850422,0.00224541171112339,0.0101888574418717
MALE,Ap3m2.mRNA,-0.00648486602962883,0.855817011848808,0.934826865401718,0.1980872100143,0.00754606603802982,0.0167016076995555,0.0843793773978323,0.234576818048348,0.319327152310977
MALE,Ap3s1.mRNA,-0.102527734488531,0.320525664138794,0.57216311695641,-0.631687458758902,0.000913685988769946,0.00286318431134344,-0.814447260300669,0.000138270863535854,0.00261270019755807
MALE,Ap4s1.mRNA,-0.0407047694359797,0.289471203726504,0.54531963308461,0.0695711922916828,0.149445844384703,0.208598058424514,-0.0125370075245161,0.807932243500084,0.859531277538745
