sex,geneChange,genename,M28L.wt,P522R.wt,P2KOhet.wt
MALE,upreg,Adra2a.mRNA,1,NA,NA
MALE,upreg,Cables1.mRNA,1,NA,NA
MALE,upreg,Xbp1.mRNA,1,NA,NA
MALE,upreg,Mtmr4.mRNA,1,1,1
MALE,upreg,Acin1.mRNA,1,NA,NA
MALE,upreg,Bhlhe41.mRNA,1,1,1
MALE,upreg,Arc.mRNA,1,1,1
MALE,upreg,Bhlhe40.mRNA,1,1,1
MALE,upreg,Prpf3.mRNA,1,NA,NA
MALE,upreg,Cdkn1a.mRNA,1,NA,NA
MALE,upreg,Adrb2.mRNA,1,1,1
MALE,upreg,Hspb1.mRNA,1,1,NA
MALE,upreg,Mapkapk2.mRNA,1,NA,NA
MALE,upreg,Smad3.mRNA,1,1,NA
MALE,upreg,Cers6.mRNA,1,1,1
MALE,upreg,Polr2h.mRNA,1,NA,NA
MALE,upreg,Ptpn1.mRNA,1,NA,NA
MALE,upreg,Nr4a2.mRNA,1,NA,NA
MALE,upreg,Fasl.mRNA,1,1,1
MALE,upreg,Egr1.mRNA,1,1,1
MALE,upreg,Ddx23.mRNA,1,NA,1
MALE,upreg,Srpr.mRNA,1,1,1
MALE,upreg,Slc2a1.mRNA,1,NA,NA
MALE,upreg,Cxxc1.mRNA,1,NA,NA
MALE,upreg,Gnb5.mRNA,1,NA,NA
MALE,upreg,Abl1.mRNA,1,NA,1
MALE,upreg,AI464131.mRNA,1,1,1
MALE,upreg,Nuak1.mRNA,1,NA,NA
MALE,upreg,Palm.mRNA,1,NA,NA
MALE,upreg,Fos.mRNA,1,1,1
MALE,upreg,Axin2.mRNA,1,1,1
MALE,upreg,Plcl2.mRNA,1,NA,NA
MALE,upreg,Prkcsh.mRNA,1,NA,NA
MALE,upreg,Diaph1.mRNA,1,NA,1
MALE,upreg,Mertk.mRNA,1,1,1
MALE,upreg,Calb2.mRNA,1,NA,NA
MALE,upreg,Arhgap44.mRNA,1,1,1
MALE,upreg,F2.mRNA,1,1,1
MALE,upreg,Trem1.mRNA,1,1,NA
MALE,upreg,Tbp.mRNA,1,1,1
MALE,upreg,Ptgs2.mRNA,1,1,1
MALE,upreg,Mapk3.mRNA,1,NA,NA
MALE,upreg,Gstp1.mRNA,1,NA,NA
MALE,upreg,Ddit3.mRNA,1,NA,NA
MALE,upreg,Nfkbia.mRNA,1,1,1
MALE,upreg,Crtc2.mRNA,1,1,1
MALE,upreg,Hap1.mRNA,1,NA,NA
MALE,upreg,Srsf4.mRNA,1,NA,NA
MALE,upreg,Sncaip.mRNA,1,NA,NA
MALE,upreg,Fam126a.mRNA,1,1,1
MALE,upreg,Cd8a.mRNA,1,1,1
MALE,upreg,Cysltr1.mRNA,1,NA,NA
MALE,upreg,Hspa1a.b.mRNA,1,NA,NA
MALE,upreg,Pla2g2f.mRNA,1,1,NA
