mgi_symbol,entrezgene_id
Abat,268860
Abca1,11303
Abcb1a,18671
Abcc3,76408
Abcc8,20927
Abce1,24015
Abcg2,26357
Abi2,329165
Abl1,11350
Acaa1a,113868
Acadm,11364
Acadsb,66885
Acat1,110446
Acat2,110460
Ache,11423
Acin1,56215
Acly,104112
Acot13,66834
Acsl3,74205
Acsl4,50790
Actn1,109711
Acvrl1,11482
Adam10,11487
Adam22,11496
Adamts1,11504
Adar,56417
Adcy1,432530
Adcy5,224129
Adcy8,11514
Adcy9,11515
Adcyap1,11516
Adcyap1r1,11517
Adgra2,78560
Adgrg1,14766
Adgrl4,170757
Adh5,11532
Adora1,11539
Adora2a,11540
Adora2b,11541
Adra2a,11551
Adrb1,11554
Adrb2,11555
Ager,11596
Agmo,319660
Ahcyl1,229709
Aif1,11629
Akt1,11651
Akt1s1,67605
Akt2,11652
Akt3,23797
Alas1,11655
Aldh1l1,107747
Amigo1,229715
Amigo2,105827
Amph,218038
Anapc1,17222
Anapc7,56317
Ang,11727
Angpt2,11601
Ank,11732
Ank2,109676
Ap1s1,11769
Ap2a2,11772
Ap2b1,71770
Ap2m1,11773
Ap3m2,64933
Ap3s1,11777
Ap4s1,11782
Apaf1,11783
Apc,11789
Aplp2,11804
Apoe,11816
App,11820
Aqp4,11829
Arc,11838
Arg2,11847
Arhgap44,216831
Arhgef10,234094
Arl6ip5,65106
Arntl,11865
Arpc1a,56443
Arpc2,76709
Arpc5l,74192
Arrb2,216869
Arsa,11883
Asns,27053
Ass1,11898
Atcay,16467
Atf2,11909
Atf4,11911
Atf6,226641
Atg12,67526
Atg2b,76559
Atg5,11793
Atm,11920
Atp13a2,74772
Atp1a1,11928
Atp1b1,11931
Atp2a2,11938
Atp2b2,11941
Atp2b3,320707
Atp2b4,381290
Atp5b,11947
Atp5g3,228033
Atp5pb,11950
Atp6v0c,11984
Atp6v0d1,11972
Atp6v0e,11974
Atp6v0e2,76252
Atp6v1a,11964
Atp6v1b2,11966
Atp6v1c1,66335
Atp6v1d,73834
Atp6v1e1,11973
Atp6v1g1,66290
Atp6v1g2,66237
Atp6v1h,108664
Atp7a,11977
Atp8a2,50769
Atp9a,11981
Atr,245000
Atrn,11990
Atxn2,20239
Atxn3,110616
Atxn7,246103
Avp,11998
Axin2,12006
Axl,26362
B2m,12010
B3gnt5,108105
B4galt5,56336
B4galt6,56386
Bace1,23821
Bad,12015
Basp1,70350
Bax,12028
Bcas1,76960
Bcas2,68183
Bche,12038
Bcl2,12043
Bcl2l1,12048
Bdnf,12064
Becn1,56208
Bhlhe40,20893
Bhlhe41,79362
Bid,12122
Bin1,30948
Blk,12143
Bnip3,12176
Braf,109880
Brms1l,52592
Btrc,12234
Bub3,12237
C1qa,12259
C1qb,12260
C1qc,12262
C1ra,50909
C1s1,50908
C3,12266
C3ar1,12267
C4a,625018
C6,12274
C9orf72,73205
Cab39,12283
Cables1,63955
Cacna1a,12286
Cacna1b,12287
Cacna1c,12288
Cacna1d,12289
Cacna1e,12290
Cacna1f,54652
Cacna1s,12292
Cacna2d1,12293
Cacna2d3,12294
Cacnb2,12296
Cacnb4,12298
Cadm3,94332
Cadps,27062
Calb1,12307
Calb2,12308
Calm1,12313
Calm2,12314
Calm3,12315
Calm4,80796
Camk2a,12322
Camk2b,12323
Camk2d,108058
Camk2g,12325
Camk4,12326
Car2,12349
Casp1,12362
Casp3,12367
Casp6,12368
Casp7,12369
Casp8,12370
Casp9,12371
Cast,12380
Cck,12424
Ccl12,20293
Ccl2,20296
Ccl3,20302
Ccl5,20304
Ccl6,20305
Ccna1,12427
Ccnb1,268697
Ccnd1,12443
Ccnh,66671
Ccr2,12772
Ccr5,12774
Ccs,12460
Cd109,235505
Cd14,12475
Cd163,93671
Cd19,12478
Cd200,17470
Cd200r1,57781
Cd209e,170780
Cd244a,18106
Cd33,12489
Cd34,12490
Cd3d,12500
Cd3e,12501
Cd3g,12502
Cd4,12504
Cd40,21939
Cd44,12505
Cd47,16423
Cd6,12511
Cd68,12514
Cd74,16149
Cd84,12523
Cd8a,12525
Cd8b1,12526
Cd9,12527
Cdc23,52563
Cdc27,217232
Cdc40,71713
Cdc42,12540
Cdc7,12545
Cdk2,12566
Cdk5,12568
Cdk5r1,12569
Cdk5rap3,80280
Cdk7,12572
Cdkn1a,12575
Cds1,74596
Ceacam3,384557
Cep68,216543
Cers2,76893
Cers4,67260
Cers6,241447
Cfi,12630
Chat,12647
Chchd3,66075
Chd4,107932
Chil1,12654
Chl1,12661
Chmp2b,68942
Chn1,108699
Chrm2,243764
Chrm3,12671
Chrm5,213788
Chrna7,11441
Chrnb2,11444
Ckb,12709
Clcf1,56708
Cldn15,60363
Cldn5,12741
Clec7a,56644
Cln3,12752
Cln8,26889
Clta,12757
Cltc,67300
Clu,12759
Cnksr2,245684
Cnp,12799
Cnr1,12801
Cntf,12803
Cntn1,12805
Cntn4,269784
Cntnap1,53321
Cntnap2,66797
Col4a1,12826
Col4a2,12827
Comt,12846
Cp,12870
Cpa3,12873
Cplx1,12889
Cpne2,234577
Cpt1b,12895
Creb1,12912
Crebbp,12914
Crh,12918
Crkl,12929
Crot,74114
Crtc2,74343
Csf1,12977
Csf1r,12978
Csf2rb,12983
Csf3r,12986
Csnk2a1,12995
Cspg4,121021
Cst3,13010
Cst7,13011
Ctnnb1,12387
Ctns,83429
Ctsb,13030
Ctsd,13033
Ctse,13034
Ctsf,56464
Ctsl,13039
Ctss,13040
Ctsw,13041
Cttnbp2nl,80281
Cul1,26965
Cul2,71745
Cul3,26554
Cux2,13048
Cx3cl1,20312
Cx3cr1,13051
Cxcl10,15945
Cxcl12,20315
Cxcl15,20309
Cxcl16,66102
Cxcr4,12767
Cxxc1,74322
Cybb,13058
Cycs,13063
Cyfip2,76884
Cyp2u1,71519
Cyp4x1,81906
Cysltr1,58861
Dagla,269060
Dbh,13166
Dclk1,13175
Dcx,13193
Ddah1,69219
Ddc,13195
Ddit3,13198
Ddx23,74351
Des,13346
Dgkb,217480
Dgke,56077
Diaph1,13367
Dlat,235339
Dld,13382
Dlg3,53310
Dlg4,13385
Dlgap1,224997
Dll4,54485
Dlx1,13390
Dlx2,13392
Dmd,13405
Dnah1,110084
Dnaja2,56445
Dnajb9,27362
Dnajc11,230935
Dnajc5,13002
Dnm1,13429
Dnm1l,74006
Dnm2,13430
Dnm3,103967
Dock3,208869
Dot1l,208266
Drd1,13488
Drd2,13489
Drd4,13491
Dusp3,72349
Dync1li1,235661
E2f3,13557
Efna1,13636
Efna5,13640
Efnb3,13643
Efr3a,76740
Egf,13645
Egfl7,353156
Egfr,13649
Egr1,13653
Egr2,13654
Ehmt1,77683
Eid1,58521
Eif2ak1,15467
Eif2b5,224045
Eif2s1,13665
Elmo1,140580
Eloc,67923
Emcn,59308
Emp1,13730
Emp2,13731
Eng,13805
Eno2,13807
Entpd1,12495
Entpd2,12496
Entpd4,67464
Eomes,13813
Ep300,328572
Epb41l2,13822
Epb41l3,13823
Epha2,13836
Epha3,13837
Epha4,13838
Epha5,13839
Epha6,13840
Epha7,13841
Epo,13856
Erbb3,13867
Erg,13876
Erlec1,66753
Ermn,77767
Esam,69524
Etv5,104156
Extl2,58193
F11r,16456
F2,14061
Fa2h,338521
Fabp5,16592
Fam126a,84652
Fas,14102
Fasl,14103
Fbln5,23876
Fbxl3,50789
Fbxw11,103583
Fcgr1,14129
Fcgr4,246256
Fcgrt,14132
Fcrlb,435653
Fcrls,80891
Fgf12,14167
Fgf13,14168
Fgf14,14169
Fgf2,14173
Fig4,103199
Flt1,14254
Flt4,14257
Fmr1,14265
Fn1,14268
Fos,14281
Foxp3,20371
Fpr1,14293
Frmpd4,333605
Fth1,14319
Fus,233908
Fxn,14297
Fyn,14360
Gaa,14387
Gabarapl1,57436
Gabra1,14394
Gabra3,14396
Gabra4,14397
Gabra5,110886
Gabrb2,14401
Gabrb3,14402
Gabrd,14403
Gabrg2,14406
Gabrp,216643
Gabrr1,14408
Gabrr3,328699
Gad1,14415
Gad2,14417
Gal3st1,53897
Galc,14420
Gas6,14456
Gas7,14457
Gata2,14461
Gba,14466
Gbp2,14469
Gdnf,14573
Gdpd2,71584
Gfap,14580
Gfpt1,14583
Gga1,106039
Ggt1,14598
Ggta1,14594
Gjb1,14618
Gjd2,14617
Gla,11605
Glra3,110304
Glrb,14658
Gls,14660
Glul,14645
Gmpr2,105446
Gnai1,14677
Gnai2,14678
Gnai3,14679
Gnao1,14681
Gnaq,14682
Gnas,14683
Gnb1,14688
Gnb5,14697
Gng2,14702
Gng3,14704
Gngt1,14699
Gnptab,432486
Gnptg,214505
Got1,14718
Gpd1l,333433
Gphn,268566
Gpm6a,234267
Gpnmb,93695
Gpr17,574402
Gpr34,23890
Gpr37,14763
Gpr4,319197
Gpr84,80910
Gprasp1,67298
Grb2,14784
Gria1,14799
Gria2,14800
Gria3,53623
Gria4,14802
Grik2,14806
Grin1,14810
Grin2a,14811
Grin2b,14812
Grin2c,14813
Grin2d,14814
Grin3a,242443
Grin3b,170483
Grk3,320129
Grm1,14816
Grm2,108068
Grm5,108071
Grm7,108073
Grm8,14823
Grn,14824
Gsk3b,56637
Gsn,227753
Gsr,14782
Gss,14854
Gstp1,14870
Gtf2a1,83602
Gtf2b,229906
Gtf2h1,14884
Gtf2h3,209357
Gtf2ird1,57080
Gusb,110006
Gzma,14938
Gzmb,14939
Hacd2,70757
Hacd3,57874
Hadh,15107
Hap1,15114
Hc,15139
Hcn1,15165
Hdac1,433759
Hdac2,15182
Hdac6,15185
Hdac7,56233
Hdc,15186
Hectd1,207304
Hexb,15212
Hgf,15234
Hif1a,15251
Hk1,15275
Hmgb1,15289
Hmox1,15368
Hnrnpm,76936
Homer1,26556
Hpgds,54486
Hras,15461
Hsd11b1,15483
Hsd17b4,15488
Hsp90ab1,15516
Hspa9,15526
Hspb1,15507
Htr1a,15550
Htr5a,15563
Htra2,64704
Htt,15194
Icam1,15894
Icam2,15896
Ide,15925
Idh1,15926
Ifit1,15957
Ifit3,15959
Ifnar1,15975
Ifngr2,15980
Igf1,16000
Igf1r,16001
Igfbp5,16011
Igtp,16145
Iigp1,60440
Ikbkb,16150
Il10,16153
Il10ra,16154
Il13ra1,16164
Il15ra,16169
Il18,16173
Il1a,16175
Il1b,16176
Il1r1,16177
Il21r,60504
Il34,76527
Il4,16189
Il4ra,16190
Il6,16193
Il6ra,16194
Immt,76614
Ina,226180
Inhbb,16324
Inpp4a,269180
Inpp5f,101490
Ins2,16334
Insr,16337
Ip6k2,76500
Ipcef1,320495
Irf8,15900
Islr2,320563
Itga5,16402
Itga7,16404
Itgal,16408
Itgam,16409
Itgax,16411
Itm2a,16431
Itpr1,16438
Itpr2,16439
Itpr3,16440
Jak1,16451
Jak2,16452
Jam3,83964
Jun,16476
Katna1,23924
Kcna1,16485
Kcnab1,16497
Kcnb1,16500
Kcnd1,16506
Kcnd2,16508
Kcnj10,16513
Kcnk13,217826
Kcnq3,110862
Kcnq5,226922
Kcnv1,67498
Kctd12,239217
Keap1,50868
Kel,23925
Khsrp,16549
Kif3a,16568
Kitl,17311
Klhl12,240756
Klk6,19144
Klrb1,100043861
Klrd1,16643
Klrk1,27007
Kpna1,16646
Kras,16653
L1cam,16728
Lag3,16768
Lair1,52855
Lama2,16773
Lamb2,16779
Lamp1,16783
Lamp2,16784
Lamtor3,56692
Lclat1,225010
Ldhc,16833
Lgals3,16854
Lgmn,19141
Lif,16878
Lilrb4a,14728
Lmna,16905
Lox,16948
Lpar1,14745
Lpar6,67168
Lpl,16956
Lpo,76113
Lrp1,16971
Lrrc25,211228
Lrrc4,192198
Lrrc7,242274
Lrrk2,66725
Lsm2,27756
Lsm7,66094
Lsr,54135
Lta4h,16993
Ltbr,17000
Ltc4s,17001
Lypla1,18777
Lyz2,17105
Mad2l1,56150
Mafb,16658
Mag,17136
Magee1,107528
Mal,17153
Mal2,105853
Man2b1,17159
Map1lc3b,67443
Map2,17756
Map2k1,26395
Map2k2,26396
Map2k4,26398
Map3k4,26407
Mapk1,26413
Mapk10,26414
Mapk13,26415
Mapk14,26416
Mapk3,26417
Mapk8,26419
Mapk9,26420
Mapkapk2,17164
Mapt,17762
Marco,17167
Mbp,17196
Mbtps1,56453
Meaf6,70088
Mecp2,17257
Mef2a,17258
Mertk,17289
Mfn2,170731
Mgmt,17314
Mki67,17345
Mkrn1,54484
Mmp12,17381
Mmp14,17387
Mmp16,17389
Mmp19,58223
Mmp2,17390
Mmp24,17391
Mmp9,17395
Mmrn2,105450
Mmut,17850
Mnat1,17420
Mog,17441
Mpz,17528
Ms4a1,12482
Ms4a2,14126
Ms4a4a,666907
Msn,17698
Msr1,20288
Mta1,116870
Mta2,23942
Mthfr,17769
Mtmr4,170749
Mtor,56717
Mutyh,70603
Myc,17869
Myct1,68632
Myd88,17874
Myh10,77579
Myo5a,17918
