genesymbol,ensg_id,Length
TSPAN6,ENSG00000000003,4535
TNMD,ENSG00000000005,1610
DPM1,ENSG00000000419,1207
SCYL3,ENSG00000000457,6883
C1orf112,ENSG00000000460,5967
FGR,ENSG00000000938,3474
CFH,ENSG00000000971,8145
FUCA2,ENSG00000001036,2793
GCLC,ENSG00000001084,8463
NFYA,ENSG00000001167,3811
STPG1,ENSG00000001460,8511
NIPAL3,ENSG00000001461,9404
LAS1L,ENSG00000001497,5589
ENPP4,ENSG00000001561,4651
SEMA3F,ENSG00000001617,4826
CFTR,ENSG00000001626,8517
ANKIB1,ENSG00000001629,7130
CYP51A1,ENSG00000001630,4074
KRIT1,ENSG00000001631,6204
RAD52,ENSG00000002016,4190
MYH16,ENSG00000002079,6346
BAD,ENSG00000002330,1708
LAP3,ENSG00000002549,3785
CD99,ENSG00000002586,3284
HS3ST1,ENSG00000002587,8166
AOC1,ENSG00000002726,3824
WNT16,ENSG00000002745,3261
HECW1,ENSG00000002746,13965
MAD1L1,ENSG00000002822,7230
LASP1,ENSG00000002834,7061
SNX11,ENSG00000002919,3606
TMEM176A,ENSG00000002933,3479
M6PR,ENSG00000003056,3777
KLHL13,ENSG00000003096,6983
CYP26B1,ENSG00000003137,5015
ICA1,ENSG00000003147,4891
DBNDD1,ENSG00000003249,4791
ALS2,ENSG00000003393,10384
CASP10,ENSG00000003400,7598
CFLAR,ENSG00000003402,22529
TFPI,ENSG00000003436,11714
NDUFAF7,ENSG00000003509,3651
RBM5,ENSG00000003756,10368
MTMR7,ENSG00000003987,5692
SLC7A2,ENSG00000003989,7905
ARF5,ENSG00000004059,1871
SARM1,ENSG00000004139,11137
POLDIP2,ENSG00000004142,2121
PLXND1,ENSG00000004399,9738
AK2,ENSG00000004455,5727
CD38,ENSG00000004468,6855
FKBP4,ENSG00000004478,5180
KDM1A,ENSG00000004487,5435
RBM6,ENSG00000004534,7302
CAMKK1,ENSG00000004660,7424
RECQL,ENSG00000004700,3778
CCDC132,ENSG00000004766,9454
HSPB6,ENSG00000004776,1722
ARHGAP33,ENSG00000004777,5260
NDUFAB1,ENSG00000004779,1600
PDK4,ENSG00000004799,4519
SLC22A16,ENSG00000004809,3907
ZMYND10,ENSG00000004838,4009
ABCB5,ENSG00000004846,9257
ARX,ENSG00000004848,2876
SLC25A13,ENSG00000004864,3710
ST7,ENSG00000004866,6742
CDC27,ENSG00000004897,6824
SLC4A1,ENSG00000004939,5287
CALCR,ENSG00000004948,4042
HCCS,ENSG00000004961,2335
DVL2,ENSG00000004975,5350
PRSS22,ENSG00000005001,2387
UPF1,ENSG00000005007,8600
SKAP2,ENSG00000005020,5520
SLC25A5,ENSG00000005022,1500
CCDC109B,ENSG00000005059,3566
HOXA11,ENSG00000005073,2307
POLR2J,ENSG00000005075,1355
DHX33,ENSG00000005100,5872
MEOX1,ENSG00000005102,2707
THSD7A,ENSG00000005108,10929
LIG3,ENSG00000005156,12919
RPAP3,ENSG00000005175,5381
ACSM3,ENSG00000005187,7822
AC004381.6,ENSG00000005189,4114
CIAPIN1,ENSG00000005194,3509
SPPL2B,ENSG00000005206,7130
FAM214B,ENSG00000005238,6409
COPZ2,ENSG00000005243,1851
PRKAR2B,ENSG00000005249,4318
MSL3,ENSG00000005302,6496
CREBBP,ENSG00000005339,15068
BZRAP1,ENSG00000005379,11354
MPO,ENSG00000005381,3526
PON1,ENSG00000005421,2832
GCFC2,ENSG00000005436,5465
WDR54,ENSG00000005448,2860
CROT,ENSG00000005469,4979
ABCB4,ENSG00000005471,7494
KMT2E,ENSG00000005483,9233
RHBDD2,ENSG00000005486,2441
SOX8,ENSG00000005513,4432
IBTK,ENSG00000005700,8722
ZNF195,ENSG00000005801,5709
MYCBP2,ENSG00000005810,15945
FBXL3,ENSG00000005812,7082
ITGAL,ENSG00000005844,6472
PDK2,ENSG00000005882,5481
ITGA3,ENSG00000005884,9802
ZFX,ENSG00000005889,9037
LAMP2,ENSG00000005893,5526
ITGA2B,ENSG00000005961,5551
ASB4,ENSG00000005981,4605
GDE1,ENSG00000006007,4416
C19orf60,ENSG00000006015,3370
CRLF1,ENSG00000006016,3018
OSBPL7,ENSG00000006025,6572
TMEM98,ENSG00000006042,5187
YBX2,ENSG00000006047,4618
KRT33A,ENSG00000006059,1287
MAP3K14,ENSG00000006062,5852
ABCC8,ENSG00000006071,6778
CACNG3,ENSG00000006116,3088
TMEM132A,ENSG00000006118,7271
AP2B1,ENSG00000006125,7587
TAC1,ENSG00000006128,1888
ZNF263,ENSG00000006194,6945
CX3CL1,ENSG00000006210,5983
SPATA20,ENSG00000006282,5337
CACNA1G,ENSG00000006283,9709
TNFRSF12A,ENSG00000006327,1848
DLX6,ENSG00000006377,3449
MAP3K9,ENSG00000006432,12386
RALA,ENSG00000006451,3665
BAIAP2L1,ENSG00000006453,4798
KDM7A,ENSG00000006459,9430
ETV1,ENSG00000006468,9616
AGK,ENSG00000006530,6547
ALDH3B1,ENSG00000006534,6626
TTC22,ENSG00000006555,6055
PHTF2,ENSG00000006576,8646
CCL26,ENSG00000006606,706
FARP2,ENSG00000006607,14413
USH1C,ENSG00000006611,4904
GGCT,ENSG00000006625,1597
DBF4,ENSG00000006634,4583
TBXA2R,ENSG00000006638,2793
IFRD1,ENSG00000006652,7489
LGALS14,ENSG00000006659,1079
COX10,ENSG00000006695,3172
