Geneid	Unipro	Symbol	Age	Geneid_g36
ENSG00000000003	O43657	TSPAN6	324.5	ENSG00000000003
ENSG00000000005	Q9H2S6	TNMD	454.6	ENSG00000000005
ENSG00000000419	O60762	DPM1	4200.0	ENSG00000000419
ENSG00000000457	Q8IZE3	SCYL3	454.6	ENSG00000000457
ENSG00000000460	Q9NSG2	C1orf112	454.6	ENSG00000000460
ENSG00000000938	P09769	FGR	454.6	ENSG00000000938
ENSG00000000971	P08603	CFH	454.6	ENSG00000000971
ENSG00000001036	Q9BTY2	FUCA2	1628.0	ENSG00000001036
ENSG00000001084	P48506	GCLC	1368.0	ENSG00000001084
ENSG00000001167	P23511	NFYA	454.6	ENSG00000001167
ENSG00000001460	Q5TH74	C1orf201	91.0	ENSG00000001460
ENSG00000001461	Q6P499	NIPAL3	454.6	ENSG00000001461
ENSG00000001497	Q9Y4W2	LAS1L	910.0	ENSG00000001497
ENSG00000001561	Q9Y6X5	ENPP4	324.5	ENSG00000001561
ENSG00000001617	Q13275	SEMA3F	454.6	ENSG00000001617
ENSG00000001626	P13569	CFTR	454.6	ENSG00000001626
ENSG00000001629	Q9P2G1	ANKIB1	1628.0	ENSG00000001629
ENSG00000001630	Q16850	CYP51A1	1628.0	ENSG00000001630
ENSG00000001631	O00522	KRIT1	454.6	ENSG00000001631
ENSG00000002016	P43351	RAD52	454.6	ENSG00000002016
ENSG00000002330	Q92934	BAD	91.0	ENSG00000002330
ENSG00000002549	P28838	LAP3	4200.0	ENSG00000002549
ENSG00000002586	P14209	CD99	91.0	ENSG00000002586
ENSG00000002586	P14209	CD99	91.0	ENSG00000002586
ENSG00000002587	O14792	HS3ST1	454.6	ENSG00000002587
ENSG00000002726	P19801	ABP1	454.6	ENSG00000002726
ENSG00000002745	Q9UBV4	WNT16	454.6	ENSG00000002745
ENSG00000002746	Q76N89	HECW1	910.0	ENSG00000002746
ENSG00000002822	Q9Y6D9	MAD1L1	1628.0	ENSG00000002822
ENSG00000002834	Q14847	LASP1	910.0	ENSG00000002834
ENSG00000002919	Q9Y5W9	SNX11	0.0	ENSG00000002919
ENSG00000002933	Q96HP8	TMEM176A	91.0	ENSG00000002933
ENSG00000003056	P20645	M6PR	454.6	ENSG00000003056
ENSG00000003096	Q9P2N7	KLHL13	454.6	ENSG00000003096
ENSG00000003137	Q9NR63	CYP26B1	454.6	ENSG00000003137
ENSG00000003147	Q05084	ICA1	910.0	ENSG00000003147
ENSG00000003249	Q9H9R9	DBNDD1	324.5	ENSG00000003249
