probe_id	Geneid	hgnc_symbol	entrezgene_id	biotype
231111_at	ENSG00000000457	SCYL3	57147	protein_coding
223120_at	ENSG00000001036	FUCA2	2519	protein_coding
233693_at	ENSG00000001460	STPG1	90529	protein_coding
227694_at	ENSG00000001460	STPG1	90529	protein_coding
225875_s_at	ENSG00000001461	NIPAL3	57185	protein_coding
225876_at	ENSG00000001461	NIPAL3	57185	protein_coding
235541_at	ENSG00000001497	LAS1L	81887	protein_coding
234702_x_at	ENSG00000001626	CFTR	1080	protein_coding
224687_at	ENSG00000001629	ANKIB1	54467	protein_coding
224682_at	ENSG00000001629	ANKIB1	54467	protein_coding
229785_at	ENSG00000001631	KRIT1	889	protein_coding
236880_at	ENSG00000002016	RAD52	5893	protein_coding
224022_x_at	ENSG00000002745	WNT16	51384	protein_coding
243163_at	ENSG00000002746	HECW1	23072	protein_coding
227875_at	ENSG00000003096	KLHL13	90293	protein_coding
234721_s_at	ENSG00000003137	CYP26B1	56603	protein_coding
230639_at	ENSG00000003147	ICA1	3382	protein_coding
232184_at	ENSG00000003393	ALS2	57679	protein_coding
226291_at	ENSG00000003393	ALS2	57679	protein_coding
237367_x_at	ENSG00000003402	CFLAR	8837	protein_coding
224261_at	ENSG00000003402	CFLAR	8837	protein_coding
235427_at	ENSG00000003402	CFLAR	8837	protein_coding
223560_s_at	ENSG00000003509	NDUFAF7	55471	protein_coding
230379_x_at	ENSG00000003509	NDUFAF7	55471	protein_coding
230742_at	ENSG00000003756	RBM5	10181	protein_coding
243804_at	ENSG00000003987	MTMR7	9108	protein_coding
225516_at	ENSG00000003989	SLC7A2	6542	protein_coding
234060_at	ENSG00000004139	SARM1	23098	protein_coding
222425_s_at	ENSG00000004142	POLDIP2	26073	protein_coding
223460_at	ENSG00000004660	CAMKK1	84254	protein_coding
226031_at	ENSG00000004766	VPS50	55610	protein_coding
226304_at	ENSG00000004776	HSPB6	126393	protein_coding
233885_at	ENSG00000004777	ARHGAP33	115703	protein_coding
225207_at	ENSG00000004799	PDK4	5166	protein_coding
232233_at	ENSG00000004809	SLC22A16	85413	protein_coding
232232_s_at	ENSG00000004809	SLC22A16	85413	protein_coding
243167_at	ENSG00000004846	ABCB5	340273	protein_coding
240717_at	ENSG00000004846	ABCB5	340273	protein_coding
238878_at	ENSG00000004848	ARX	170302	protein_coding
229061_s_at	ENSG00000004864	SLC25A13	10165	protein_coding
225639_at	ENSG00000005020	SKAP2	8935	protein_coding
222875_at	ENSG00000005100	DHX33	56919	protein_coding
226262_at	ENSG00000005100	DHX33	56919	protein_coding
230008_at	ENSG00000005108	THSD7A	221981	protein_coding
229159_at	ENSG00000005108	THSD7A	221981	protein_coding
229861_at	ENSG00000005156	LIG3	3980	protein_coding
230838_s_at	ENSG00000005194	CIAPIN1	57019	protein_coding
225248_at	ENSG00000005206	SPPL2B	56928	protein_coding
225249_at	ENSG00000005206	SPPL2B	56928	protein_coding
235897_at	ENSG00000005243	COPZ2	51226	protein_coding
236165_at	ENSG00000005302	MSL3	10943	protein_coding
228177_at	ENSG00000005339	CREBBP	1387	protein_coding
225898_at	ENSG00000005448	WDR54	84058	protein_coding
231102_at	ENSG00000005469	CROT	54677	protein_coding
243283_at	ENSG00000005469	CROT	54677	protein_coding
223189_x_at	ENSG00000005483	KMT2E	55904	protein_coding
223190_s_at	ENSG00000005483	KMT2E	55904	protein_coding
226100_at	ENSG00000005483	KMT2E	55904	protein_coding
238552_at	ENSG00000005483	KMT2E	55904	protein_coding
232053_x_at	ENSG00000005486	RHBDD2	57414	protein_coding
222995_s_at	ENSG00000005486	RHBDD2	57414	protein_coding
226913_s_at	ENSG00000005513	SOX8	30812	protein_coding
225132_at	ENSG00000005812	FBXL3	26224	protein_coding
235608_at	ENSG00000005812	FBXL3	26224	protein_coding
229022_at	ENSG00000005889	ZFX	7543	protein_coding
226671_at	ENSG00000005893	LAMP2	3920	protein_coding
237721_s_at	ENSG00000005981	ASB4	51666	protein_coding
237720_at	ENSG00000005981	ASB4	51666	protein_coding
235619_at	ENSG00000005981	ASB4	51666	protein_coding
226214_at	ENSG00000006007	GDE1	51573	protein_coding
227946_at	ENSG00000006025	OSBPL7	114881	protein_coding
223170_at	ENSG00000006042	TMEM98	26022	protein_coding
222758_s_at	ENSG00000006118	TMEM132A	54972	protein_coding
232419_at	ENSG00000006118	TMEM132A	54972	protein_coding
232089_at	ENSG00000006194	ZNF263	10127	protein_coding
239309_at	ENSG00000006377	DLX6	1750	protein_coding
242940_x_at	ENSG00000006377	DLX6	1750	protein_coding
224880_at	ENSG00000006451	RALA	5898	protein_coding
227371_at	ENSG00000006453	BAIAP2L1	55971	protein_coding
227372_s_at	ENSG00000006453	BAIAP2L1	55971	protein_coding
222675_s_at	ENSG00000006453	BAIAP2L1	55971	protein_coding
225142_at	ENSG00000006459	KDM7A	80853	protein_coding
235651_at	ENSG00000006555	TTC22	55001	protein_coding
223710_at	ENSG00000006606	CCL26	10344	protein_coding
242857_at	ENSG00000006607	FARP2	9855	protein_coding
225652_at	ENSG00000006607	FARP2	9855	protein_coding
230048_at	ENSG00000006652	IFRD1	3475	protein_coding
235625_at	ENSG00000006715	VPS41	27072	protein_coding
232423_at	ENSG00000006756	ARSD	414	protein_coding
223696_at	ENSG00000006756	ARSD	414	protein_coding
230131_x_at	ENSG00000006756	ARSD	414	protein_coding
225280_x_at	ENSG00000006756	ARSD	414	protein_coding
223695_s_at	ENSG00000006756	ARSD	414	protein_coding
225286_at	ENSG00000006756	ARSD	414	protein_coding
241911_at	ENSG00000006837	CDKL3	51265	protein_coding
233155_at	ENSG00000007001	UPP2	151531	protein_coding
231376_at	ENSG00000007001	UPP2	151531	protein_coding
225454_at	ENSG00000007080	CCDC124	115098	protein_coding
240857_at	ENSG00000007174	DNAH9	1770	protein_coding
239805_at	ENSG00000007216	SLC13A2	9058	protein_coding
230079_at	ENSG00000007341	ST7L	54879	protein_coding
