ID	CHROMOSOMAL_LOCATION	Geneid	hgnc_symbol	entrezgene_id	biotype
A_24_P83262	chrX:99888930-99888480	ENSG00000000003	TSPAN6	7105	protein_coding
A_23_P171143	chrX:99884342-99884283	ENSG00000000003	TSPAN6	7105	protein_coding
A_23_P125588	chrX:99852602-99854019	ENSG00000000005	TNMD	64102	protein_coding
A_23_P68472	chr20:49552695-49551725	ENSG00000000419	DPM1	8813	protein_coding
A_24_P710270	chr20:049560904-049560963	ENSG00000000419	DPM1	8813	protein_coding
A_23_P74320	chr1:169822393-169822334	ENSG00000000457	SCYL3	57147	protein_coding
A_23_P11862	chr1:169822110-169822169	ENSG00000000460	C1orf112	55732	protein_coding
A_23_P103932	chr1:27938897-27938838	ENSG00000000938	FGR	2268	protein_coding
A_24_P51517	chr1:27941947-27941381	ENSG00000000938	FGR	2268	protein_coding
A_24_P316634	chr1:27948075-27943754	ENSG00000000938	FGR	2268	protein_coding
A_23_P114740	chr1:196716550-196716609	ENSG00000000971	CFH	3075	protein_coding
A_24_P273972	chr1:196706661-196706720	ENSG00000000971	CFH	3075	protein_coding
A_23_P200160	chr1:196670519-196670578	ENSG00000000971	CFH	3075	protein_coding
A_23_P145408	chr6:143816971-143816912	ENSG00000001036	FUCA2	2519	protein_coding
A_23_P352879	chr6:53363500-53363437	ENSG00000001084	GCLC	2729	protein_coding
A_23_P145114	chr6:53362256-53362197	ENSG00000001084	GCLC	2729	protein_coding
A_24_P414719	chr6:41069914-41069973	ENSG00000001167	NFYA	4800	protein_coding
A_23_P214425	chr6:41067275-41067334	ENSG00000001167	NFYA	4800	protein_coding
A_23_P501583	chr6:41065353-41065412	ENSG00000001167	NFYA	4800	protein_coding
A_24_P133162	chr1:24683773-24683714	ENSG00000001460	STPG1	90529	protein_coding
A_24_P45367	chr1:24799313-24799372	ENSG00000001461	NIPAL3	57185	protein_coding
A_23_P46604	chr1:24779902-24779961	ENSG00000001461	NIPAL3	57185	protein_coding
A_32_P35031	chr1:024798587-024798528	ENSG00000001461	NIPAL3	57185	protein_coding
A_24_P919419	chr1:24745866-24745925	ENSG00000001461	NIPAL3	57185	protein_coding
A_23_P256021	chrX:64732577-64732518	ENSG00000001497	LAS1L	81887	protein_coding
A_23_P70318	chr6:46114082-46114141	ENSG00000001561	ENPP4	22875	protein_coding
A_24_P300076	chr3:50225227-50225286	ENSG00000001617	SEMA3F	6405	protein_coding
A_23_P6878	chr3:50222956-50223330	ENSG00000001617	SEMA3F	6405	protein_coding
A_23_P215720	chr7:117308553-117308612	ENSG00000001626	CFTR	1080	protein_coding
A_24_P931355	chr7:117204738-117204797	ENSG00000001626	CFTR	1080	protein_coding
A_23_P355623	chr7:92029770-92029829	ENSG00000001629	ANKIB1	54467	protein_coding
A_23_P93912	chr7:92017155-92017304	ENSG00000001629	ANKIB1	54467	protein_coding
A_24_P18020	chr7:92028198-92028257	ENSG00000001629	ANKIB1	54467	protein_coding
A_24_P102539	chr7:91867047-91866988	ENSG00000001631	KRIT1	889	protein_coding
