probe_id	ensembl_gene_id
209109_s_at	ENSG00000000003
209108_at	ENSG00000000003
220065_at	ENSG00000000005
202673_at	ENSG00000000419
41329_at	ENSG00000000457
205607_s_at	ENSG00000000457
231111_at	ENSG00000000457
220840_s_at	ENSG00000000460
208438_s_at	ENSG00000000938
213800_at	ENSG00000000971
223120_at	ENSG00000001036
1555330_at	ENSG00000001084
202923_s_at	ENSG00000001084
202922_at	ENSG00000001084
215720_s_at	ENSG00000001167
204109_s_at	ENSG00000001167
204107_at	ENSG00000001167
204108_at	ENSG00000001167
233693_at	ENSG00000001460
227694_at	ENSG00000001460
210267_at	ENSG00000001461
214579_at	ENSG00000001461
225875_s_at	ENSG00000001461
225876_at	ENSG00000001461
235541_at	ENSG00000001497
208117_s_at	ENSG00000001497
204160_s_at	ENSG00000001561
204161_s_at	ENSG00000001561
206832_s_at	ENSG00000001617
209730_at	ENSG00000001617
35666_at	ENSG00000001617
234702_x_at	ENSG00000001626
215702_s_at	ENSG00000001626
215703_at	ENSG00000001626
205043_at	ENSG00000001626
224687_at	ENSG00000001629
224682_at	ENSG00000001629
34031_i_at	ENSG00000001631
204738_s_at	ENSG00000001631
229785_at	ENSG00000001631
236880_at	ENSG00000002016
211904_x_at	ENSG00000002016
210630_s_at	ENSG00000002016
205647_at	ENSG00000002016
1564072_at	ENSG00000002079
1861_at	ENSG00000002330
209364_at	ENSG00000002330
217933_s_at	ENSG00000002549
205465_x_at	ENSG00000002587
205466_s_at	ENSG00000002587
203559_s_at	ENSG00000002726
221113_s_at	ENSG00000002745
224022_x_at	ENSG00000002745
215584_at	ENSG00000002746
210331_at	ENSG00000002746
243163_at	ENSG00000002746
200618_at	ENSG00000002834
220140_s_at	ENSG00000002919
53912_at	ENSG00000002919
218345_at	ENSG00000002933
200900_s_at	ENSG00000003056
227875_at	ENSG00000003096
234721_s_at	ENSG00000003137
219825_at	ENSG00000003137
230639_at	ENSG00000003147
211740_at	ENSG00000003147
210547_x_at	ENSG00000003147
207949_s_at	ENSG00000003147
204002_s_at	ENSG00000003147
222234_s_at	ENSG00000003249
232184_at	ENSG00000003393
1555284_at	ENSG00000003393
226291_at	ENSG00000003393
210708_x_at	ENSG00000003400
211888_x_at	ENSG00000003400
205467_at	ENSG00000003400
210955_at	ENSG00000003400
237367_x_at	ENSG00000003402
210563_x_at	ENSG00000003402
209939_x_at	ENSG00000003402
210564_x_at	ENSG00000003402
214618_at	ENSG00000003402
211862_x_at	ENSG00000003402
208485_x_at	ENSG00000003402
211317_s_at	ENSG00000003402
211316_x_at	ENSG00000003402
214486_x_at	ENSG00000003402
209508_x_at	ENSG00000003402
224261_at	ENSG00000003402
235427_at	ENSG00000003402
214378_at	ENSG00000003436
210664_s_at	ENSG00000003436
210665_at	ENSG00000003436
209676_at	ENSG00000003436
213258_at	ENSG00000003436
223560_s_at	ENSG00000003509
220943_s_at	ENSG00000003509
230379_x_at	ENSG00000003509
209936_at	ENSG00000003756
230742_at	ENSG00000003756
201394_s_at	ENSG00000003756
201395_at	ENSG00000003756
215793_at	ENSG00000003987
243804_at	ENSG00000003987
207626_s_at	ENSG00000003989
225516_at	ENSG00000003989
201526_at	ENSG00000004059
213259_s_at	ENSG00000004139
213257_at	ENSG00000004139
234060_at	ENSG00000004139
222425_s_at	ENSG00000004142
217806_s_at	ENSG00000004142
212235_at	ENSG00000004399
38671_at	ENSG00000004399
