hgnc_symbol,ensembl_gene_id,entrezgene_id,mgi_symbol,ensembl_gene_id_mouse,entrezgene_id_mouse
PECAM1,ENSG00000261371,5175,Pecam1,ENSMUSG00000020717,18613
PPP3R1,ENSG00000221823,5534,Ppp3r1,ENSMUSG00000033953,19058
MOG,ENSG00000204655,4340,Mog,ENSMUSG00000076439,17441
MBP,ENSG00000197971,4155,Mbp,ENSMUSG00000041607,17196
MYO5A,ENSG00000197535,4644,Myo5a,ENSMUSG00000034593,17918
SCN8A,ENSG00000196876,6334,Scn8a,ENSMUSG00000023033,20273
CD47,ENSG00000196776,961,Cd47,ENSMUSG00000055447,16423
ACADSB,ENSG00000196177,36,Acadsb,ENSMUSG00000030861,66885
GABRD,ENSG00000187730,2563,Gabrd,ENSMUSG00000029054,14403
MAPT,ENSG00000186868,4137,Mapt,ENSMUSG00000018411,17762
KCNQ5,ENSG00000185760,56479,Kcnq5,ENSMUSG00000028033,226922
PROS1,ENSG00000184500,5627,Pros1,ENSMUSG00000022912,19128
CSF1,ENSG00000184371,1435,Csf1,ENSMUSG00000014599,12977
CLDN5,ENSG00000184113,7122,Cldn5,ENSMUSG00000041378,12741
OPCML,ENSG00000183715,4978,Opcml,ENSMUSG00000062257,330908
PRKAG1,ENSG00000181929,5571,Prkag1,ENSMUSG00000067713,19082
KCTD12,ENSG00000178695,115207,Kctd12,ENSMUSG00000098557,239217
PLAAT3,ENSG00000176485,11145,Pla2g16,ENSMUSG00000060675,225845
UGT8A,ENSG00000174607,7368,Ugt8a,ENSMUSG00000032854,22239
CNP,ENSG00000173786,1267,Cnp,ENSMUSG00000006782,12799
C1QA,ENSG00000173372,712,C1qa,ENSMUSG00000036887,12259
C1QB,ENSG00000173369,713,C1qb,ENSMUSG00000036905,12260
LAMB2,ENSG00000172037,3913,Lamb2,ENSMUSG00000052911,16779
BCL2,ENSG00000171791,596,Bcl2,ENSMUSG00000057329,12043
GPHN,ENSG00000171723,10243,Gphn,ENSMUSG00000047454,268566
BCL2L1,ENSG00000171552,598,Bcl2l1,ENSMUSG00000007659,12048
GPR37,ENSG00000170775,2861,Gpr37,ENSMUSG00000039904,14763
DLGAP1,ENSG00000170579,9229,Dlgap1,ENSMUSG00000003279,224997
YWHAG,ENSG00000170027,7532,Ywhag,ENSMUSG00000051391,22628
FRMPD4,ENSG00000169933,9758,Frmpd4,ENSMUSG00000049176,333605
TM4SF1,ENSG00000169908,4071,Tm4sf1,ENSMUSG00000027800,17112
GJB1,ENSG00000169562,2705,Gjb1,ENSMUSG00000047797,14618
CPLX1,ENSG00000168993,10815,Cplx1,ENSMUSG00000033615,12889
STAT3,ENSG00000168610,6774,Stat3,ENSMUSG00000004040,20848
KLK6,ENSG00000167755,5653,Klk6,ENSMUSG00000050063,19144
ATCAY,ENSG00000167654,85300,Atcay,ENSMUSG00000034958,16467
AXL,ENSG00000167601,558,Axl,ENSMUSG00000002602,26362
B2M,ENSG00000166710,567,B2m,ENSMUSG00000060802,12010
PRKCB,ENSG00000166501,5579,Prkcb,ENSMUSG00000052889,18751
GABRB3,ENSG00000166206,2562,Gabrb3,ENSMUSG00000033676,14402
TGFBR2,ENSG00000163513,7048,Tgfbr2,ENSMUSG00000032440,21813
CTSS,ENSG00000163131,1520,Ctss,ENSMUSG00000038642,13040
MAPKAPK2,ENSG00000162889,9261,Mapkapk2,ENSMUSG00000016528,17164
CHRNB2,ENSG00000160716,1141,Chrnb2,ENSMUSG00000027950,11444
CALM3,ENSG00000160014,808,Calm3,ENSMUSG00000019370,12315
C1QC,ENSG00000159189,714,C1qc,ENSMUSG00000036896,12262
SYNJ1,ENSG00000159082,8867,Synj1,ENSMUSG00000022973,104015
SYN2,ENSG00000157152,6854,Syn2,ENSMUSG00000009394,20965
ATP2B2,ENSG00000157087,491,Atp2b2,ENSMUSG00000030302,11941
NMNAT2,ENSG00000157064,23057,Nmnat2,ENSMUSG00000042751,226518
SLA,ENSG00000155926,6503,Sla,ENSMUSG00000022372,20491
