ensembl_id	entrezgene_id	genesymbol	biotype	Length
1	ENSG00000000003	7105	TSPAN6	protein_coding	2968
2	ENSG00000000005	64102	TNMD	protein_coding	1610
3	ENSG00000000419	8813	DPM1	protein_coding	1207
4	ENSG00000000457	57147	SCYL3	protein_coding	5579
5	ENSG00000000460	55732	C1orf112	protein_coding	4966
6	ENSG00000000938	2268	FGR	protein_coding	3474
7	ENSG00000000971	3075	CFH	protein_coding	4619
8	ENSG00000001036	2519	FUCA2	protein_coding	2699
9	ENSG00000001084	2729	GCLC	protein_coding	5509
10	ENSG00000001167	4800	NFYA	protein_coding	3736
11	ENSG00000001460	90529	STPG1	protein_coding	8403
12	ENSG00000001461	57185	NIPAL3	protein_coding	9293
13	ENSG00000001497	81887	LAS1L	protein_coding	5589
14	ENSG00000001561	22875	ENPP4	protein_coding	4651
15	ENSG00000001617	6405	SEMA3F	protein_coding	4346
16	ENSG00000001626	1080	CFTR	protein_coding	8040
17	ENSG00000001629	54467	ANKIB1	protein_coding	6634
18	ENSG00000001630	1595	CYP51A1	protein_coding	708
19	ENSG00000001631	889	KRIT1	protein_coding	4711
20	ENSG00000002016	5893	RAD52	protein_coding	3660
21	ENSG00000002079	NA	MYH16	pseudogene	6338
22	ENSG00000002330	572	BAD	protein_coding	1150
23	ENSG00000002549	51056	LAP3	protein_coding	3280
24	ENSG00000002586	4267	CD99	protein_coding	3284
25	ENSG00000002587	9957	HS3ST1	protein_coding	8166
26	ENSG00000002726	26	AOC1	protein_coding	3824
27	ENSG00000002745	51384	WNT16	protein_coding	3261
28	ENSG00000002746	23072	HECW1	protein_coding	13726
29	ENSG00000002822	8379	MAD1L1	protein_coding	6955
30	ENSG00000002834	3927	LASP1	protein_coding	5738
31	ENSG00000002919	29916	SNX11	protein_coding	3092
32	ENSG00000002933	55365	TMEM176A	protein_coding	1537
33	ENSG00000003056	4074	M6PR	protein_coding	2382
34	ENSG00000003096	90293	KLHL13	protein_coding	6690
35	ENSG00000003137	56603	CYP26B1	protein_coding	5015
36	ENSG00000003147	3382	ICA1	protein_coding	3968
37	ENSG00000003249	79007	DBNDD1	protein_coding	3248
38	ENSG00000003393	57679	ALS2	protein_coding	8838
39	ENSG00000003400	843	CASP10	protein_coding	6688
40	ENSG00000003402	8837	CFLAR	protein_coding	19616
41	ENSG00000003436	7035	TFPI	protein_coding	4601
42	ENSG00000003509	55471	NDUFAF7	protein_coding	2460
43	ENSG00000003756	10181	RBM5	protein_coding	5165
44	ENSG00000003987	9108	MTMR7	protein_coding	4839
45	ENSG00000003989	6542	SLC7A2	protein_coding	7905
46	ENSG00000004059	381	ARF5	protein_coding	1041
47	ENSG00000004139	23098	SARM1	protein_coding	3613
48	ENSG00000004142	26073	POLDIP2	protein_coding	2285
49	ENSG00000004399	23129	PLXND1	protein_coding	7124
50	ENSG00000004455	204	AK2	protein_coding	4851
51	ENSG00000004468	952	CD38	protein_coding	5671
52	ENSG00000004478	2288	FKBP4	protein_coding	3192
53	ENSG00000004487	23028	KDM1A	protein_coding	3159
54	ENSG00000004534	10180	RBM6	protein_coding	5541
55	ENSG00000004660	84254	CAMKK1	protein_coding	4479
56	ENSG00000004700	5965	RECQL	protein_coding	2342
57	ENSG00000004766	55610	CCDC132	protein_coding	4848
58	ENSG00000004776	126393	HSPB6	protein_coding	1064
59	ENSG00000004777	115703	ARHGAP33	protein_coding	5020
60	ENSG00000004779	4706	NDUFAB1	protein_coding	1600
61	ENSG00000004799	5166	PDK4	protein_coding	3576
62	ENSG00000004809	85413	SLC22A16	protein_coding	3791
63	ENSG00000004838	51364	ZMYND10	protein_coding	2860
64	ENSG00000004846	340273	ABCB5	protein_coding	9257
65	ENSG00000004848	170302	ARX	protein_coding	2876
66	ENSG00000004864	10165	SLC25A13	protein_coding	3710
67	ENSG00000004866	7982	ST7	protein_coding	5635
68	ENSG00000004897	996	CDC27	protein_coding	6319
69	ENSG00000004939	6521	SLC4A1	protein_coding	3572
70	ENSG00000004948	799	CALCR	protein_coding	4036
71	ENSG00000004961	3052	HCCS	protein_coding	2335
72	ENSG00000004975	1856	DVL2	protein_coding	3172
73	ENSG00000005001	64063	PRSS22	protein_coding	1647
74	ENSG00000005007	5976	UPF1	protein_coding	6524
75	ENSG00000005020	8935	SKAP2	protein_coding	5262
76	ENSG00000005022	292	SLC25A5	protein_coding	1500
77	ENSG00000005059	55013	CCDC109B	protein_coding	2409
78	ENSG00000005073	3207	HOXA11	protein_coding	1601
79	ENSG00000005075	5439	POLR2J	protein_coding	911
80	ENSG00000005100	56919	DHX33	protein_coding	5596
81	ENSG00000005102	4222	MEOX1	protein_coding	2707
82	ENSG00000005108	221981	THSD7A	protein_coding	10568
83	ENSG00000005156	3980	LIG3	protein_coding	4380
84	ENSG00000005175	79657	RPAP3	protein_coding	2736
85	ENSG00000005187	6296	ACSM3	protein_coding	3983
86	ENSG00000005189	81691	AC004381.6	protein_coding	3121
87	ENSG00000005194	57019	CIAPIN1	protein_coding	2321
88	ENSG00000005206	56928	SPPL2B	processed_transcript	5571
89	ENSG00000005238	80256	FAM214B	protein_coding	6409
90	ENSG00000005243	51226	COPZ2	protein_coding	1548
91	ENSG00000005249	5577	PRKAR2B	protein_coding	4318
92	ENSG00000005302	10943	MSL3	protein_coding	5646
93	ENSG00000005339	1387	CREBBP	protein_coding	11052
94	ENSG00000005379	9256	BZRAP1	protein_coding	7442
95	ENSG00000005381	4353	MPO	protein_coding	3451
96	ENSG00000005421	5444	PON1	protein_coding	2568
97	ENSG00000005436	6936	GCFC2	protein_coding	4903
98	ENSG00000005448	84058	WDR54	protein_coding	1335
99	ENSG00000005469	54677	CROT	protein_coding	4222
100	ENSG00000005471	5244	ABCB4	protein_coding	6124
101	ENSG00000005483	55904	KMT2E	protein_coding	8073
