Geneid	dolloAge	wagnerAge
ENSG00000000003	324.5	324.5
ENSG00000000005	454.6	454.6
ENSG00000000419	4200	4200
ENSG00000000457	910	454.6
ENSG00000000460	454.6	454.6
ENSG00000000938	910	454.6
ENSG00000000971	910	454.6
ENSG00000001036	1628	1628
ENSG00000001084	1628	1368
ENSG00000001167	454.6	454.6
ENSG00000001460	454.6	91
ENSG00000001461	454.6	454.6
ENSG00000001497	1368	910
ENSG00000001561	910	324.5
ENSG00000001617	454.6	454.6
ENSG00000001626	454.6	454.6
ENSG00000001629	1628	1628
ENSG00000001630	1628	1628
ENSG00000001631	910	454.6
ENSG00000002016	1628	454.6
ENSG00000002330	91	91
ENSG00000002549	4200	4200
ENSG00000002586	91	91
ENSG00000002587	454.6	454.6
ENSG00000002726	4200	454.6
ENSG00000002745	910	454.6
ENSG00000002746	910	910
ENSG00000002822	1628	1628
ENSG00000002834	910	910
ENSG00000002919	454.6	0
ENSG00000002933	91	91
ENSG00000003056	454.6	454.6
ENSG00000003096	4200	454.6
ENSG00000003137	1628	454.6
ENSG00000003147	910	910
ENSG00000003249	324.5	324.5
ENSG00000003393	910	324.5
ENSG00000003400	324.5	0
ENSG00000003402	454.6	454.6
ENSG00000003436	454.6	454.6
ENSG00000003509	1628	1628
ENSG00000003756	1628	324.5
ENSG00000003987	1628	910
ENSG00000003989	4200	4200
ENSG00000004059	910	910
ENSG00000004139	910	910
ENSG00000004142	910	910
ENSG00000004399	910	910
ENSG00000004455	4200	4200
ENSG00000004468	324.5	324.5
ENSG00000004478	1628	1628
ENSG00000004487	1628	910
ENSG00000004534	324.5	324.5
ENSG00000004660	1628	1628
ENSG00000004700	1628	454.6
ENSG00000004766	1628	1628
ENSG00000004776	91	91
ENSG00000004777	910	910
ENSG00000004779	1628	1628
ENSG00000004799	324.5	324.5
ENSG00000004809	454.6	454.6
ENSG00000004838	910	91
ENSG00000004846	4200	4200
ENSG00000004848	454.6	454.6
ENSG00000004864	1628	910
ENSG00000004866	910	910
ENSG00000004897	1628	1368
ENSG00000004939	1628	1368
ENSG00000004948	910	910
ENSG00000004961	1368	1368
ENSG00000004975	910	910
ENSG00000005001	91	91
ENSG00000005007	1628	1628
ENSG00000005020	454.6	454.6
ENSG00000005022	1628	1628
ENSG00000005059	0	0
ENSG00000005073	454.6	454.6
ENSG00000005075	1628	1628
ENSG00000005100	4200	4200
ENSG00000005102	454.6	454.6
ENSG00000005108	454.6	454.6
ENSG00000005156	1628	454.6
ENSG00000005175	1628	454.6
ENSG00000005187	1628	454.6
ENSG00000005189	910	324.5
ENSG00000005194	1628	1628
ENSG00000005206	1628	454.6
ENSG00000005238	91	91
ENSG00000005243	91	0
ENSG00000005249	1368	454.6
ENSG00000005302	910	324.5
ENSG00000005339	910	454.6
ENSG00000005379	324.5	324.5
ENSG00000005381	454.6	454.6
ENSG00000005421	910	454.6
ENSG00000005436	324.5	324.5
ENSG00000005448	910	454.6
ENSG00000005469	910	910
ENSG00000005471	4200	4200
ENSG00000005483	454.6	91
ENSG00000005486	324.5	324.5
ENSG00000005513	454.6	454.6
ENSG00000005700	910	324.5
ENSG00000005801	0	0
ENSG00000005810	910	910
ENSG00000005812	454.6	454.6
ENSG00000005844	454.6	91
ENSG00000005882	454.6	91
ENSG00000005884	910	910
ENSG00000005889	454.6	454.6
ENSG00000005893	454.6	454.6
ENSG00000005961	910	910
ENSG00000005981	454.6	454.6
ENSG00000006007	910	910
ENSG00000006015	91	91
ENSG00000006016	454.6	91
ENSG00000006025	1628	1368
ENSG00000006042	454.6	454.6
ENSG00000006047	91	91
ENSG00000006059	91	91
ENSG00000006062	454.6	454.6
ENSG00000006071	4200	4200
ENSG00000006116	324.5	324.5
ENSG00000006118	91	91
ENSG00000006125	1628	1628
ENSG00000006128	454.6	454.6
ENSG00000006194	91	91
ENSG00000006210	91	91
ENSG00000006282	1628	1628
ENSG00000006283	910	910
ENSG00000006327	91	91
ENSG00000006377	910	454.6
ENSG00000006432	1628	454.6
ENSG00000006451	910	910
ENSG00000006453	454.6	454.6
ENSG00000006459	910	454.6
ENSG00000006468	454.6	454.6
ENSG00000006530	910	910
ENSG00000006534	1628	1628
ENSG00000006555	91	91
ENSG00000006576	910	454.6
ENSG00000006606	91	91
ENSG00000006607	910	910
ENSG00000006611	454.6	454.6
ENSG00000006625	910	910
ENSG00000006634	324.5	324.5
ENSG00000006638	454.6	91
ENSG00000006652	1628	910
ENSG00000006659	91	0
ENSG00000006695	4200	4200
ENSG00000006704	454.6	91
ENSG00000006712	1628	1368
ENSG00000006715	1628	1628
ENSG00000006740	910	910
ENSG00000006744	1628	1628
ENSG00000006747	1628	1628
ENSG00000006756	454.6	454.6
ENSG00000006757	910	454.6
ENSG00000006788	1628	1368
ENSG00000006831	1628	1628
ENSG00000006837	91	91
ENSG00000007001	4200	4200
ENSG00000007038	91	91
ENSG00000007047	910	910
ENSG00000007062	910	910
ENSG00000007080	1628	1628
ENSG00000007129	91	91
ENSG00000007168	1628	910
ENSG00000007171	910	454.6
ENSG00000007174	1628	1368
ENSG00000007202	910	910
ENSG00000007216	1628	910
ENSG00000007237	324.5	324.5
ENSG00000007255	91	91
ENSG00000007264	324.5	324.5
ENSG00000007306	0	0
ENSG00000007312	324.5	324.5
ENSG00000007314	910	454.6
ENSG00000007341	910	910
ENSG00000007350	4200	4200
ENSG00000007372	910	910
ENSG00000007376	454.6	91
ENSG00000007384	1628	910
ENSG00000007392	1368	1368
ENSG00000007402	454.6	454.6
ENSG00000007516	910	91
ENSG00000007520	1628	1628
ENSG00000007541	1628	910
ENSG00000007545	324.5	324.5
ENSG00000007866	910	910
ENSG00000007908	324.5	324.5
ENSG00000007923	1628	1628
ENSG00000007933	1628	1628
ENSG00000007944	910	454.6
ENSG00000007952	1628	1628
ENSG00000007968	91	0
ENSG00000008018	1628	1628
ENSG00000008056	91	91
ENSG00000008083	910	454.6
