ensembl_id	entrezgene_id	genesymbol	biotype	Length
ENSG00000000003	7105	TSPAN6	protein_coding	2968
ENSG00000000005	64102	TNMD	protein_coding	1610
ENSG00000000419	8813	DPM1	protein_coding	1207
ENSG00000000457	57147	SCYL3	protein_coding	5579
ENSG00000000460	55732	C1orf112	protein_coding	4966
ENSG00000000938	2268	FGR	protein_coding	3474
ENSG00000000971	3075	CFH	protein_coding	4619
ENSG00000001036	2519	FUCA2	protein_coding	2699
ENSG00000001084	2729	GCLC	protein_coding	5509
ENSG00000001167	4800	NFYA	protein_coding	3736
ENSG00000001460	90529	STPG1	protein_coding	8403
ENSG00000001461	57185	NIPAL3	protein_coding	9293
ENSG00000001497	81887	LAS1L	protein_coding	5589
ENSG00000001561	22875	ENPP4	protein_coding	4651
ENSG00000001617	6405	SEMA3F	protein_coding	4346
ENSG00000001626	1080	CFTR	protein_coding	8040
ENSG00000001629	54467	ANKIB1	protein_coding	6634
ENSG00000001630	1595	CYP51A1	protein_coding	708
ENSG00000001631	889	KRIT1	protein_coding	4711
ENSG00000002016	5893	RAD52	protein_coding	3660
ENSG00000002079	NA	MYH16	pseudogene	6338
ENSG00000002330	572	BAD	protein_coding	1150
ENSG00000002549	51056	LAP3	protein_coding	3280
ENSG00000002586	4267	CD99	protein_coding	3284
ENSG00000002587	9957	HS3ST1	protein_coding	8166
ENSG00000002726	26	AOC1	protein_coding	3824
ENSG00000002745	51384	WNT16	protein_coding	3261
ENSG00000002746	23072	HECW1	protein_coding	13726
ENSG00000002822	8379	MAD1L1	protein_coding	6955
ENSG00000002834	3927	LASP1	protein_coding	5738
ENSG00000002919	29916	SNX11	protein_coding	3092
ENSG00000002933	55365	TMEM176A	protein_coding	1537
ENSG00000003056	4074	M6PR	protein_coding	2382
ENSG00000003096	90293	KLHL13	protein_coding	6690
ENSG00000003137	56603	CYP26B1	protein_coding	5015
ENSG00000003147	3382	ICA1	protein_coding	3968
ENSG00000003249	79007	DBNDD1	protein_coding	3248
ENSG00000003393	57679	ALS2	protein_coding	8838
ENSG00000003400	843	CASP10	protein_coding	6688
ENSG00000003402	8837	CFLAR	protein_coding	19616
ENSG00000003436	7035	TFPI	protein_coding	4601
ENSG00000003509	55471	NDUFAF7	protein_coding	2460
ENSG00000003756	10181	RBM5	protein_coding	5165
ENSG00000003987	9108	MTMR7	protein_coding	4839
ENSG00000003989	6542	SLC7A2	protein_coding	7905
ENSG00000004059	381	ARF5	protein_coding	1041
ENSG00000004139	23098	SARM1	protein_coding	3613
ENSG00000004142	26073	POLDIP2	protein_coding	2285
ENSG00000004399	23129	PLXND1	protein_coding	7124
ENSG00000004455	204	AK2	protein_coding	4851
ENSG00000004468	952	CD38	protein_coding	5671
ENSG00000004478	2288	FKBP4	protein_coding	3192
ENSG00000004487	23028	KDM1A	protein_coding	3159
ENSG00000004534	10180	RBM6	protein_coding	5541
ENSG00000004660	84254	CAMKK1	protein_coding	4479
ENSG00000004700	5965	RECQL	protein_coding	2342
ENSG00000004766	55610	CCDC132	protein_coding	4848
ENSG00000004776	126393	HSPB6	protein_coding	1064
ENSG00000004777	115703	ARHGAP33	protein_coding	5020
ENSG00000004779	4706	NDUFAB1	protein_coding	1600
ENSG00000004799	5166	PDK4	protein_coding	3576
ENSG00000004809	85413	SLC22A16	protein_coding	3791
ENSG00000004838	51364	ZMYND10	protein_coding	2860
ENSG00000004846	340273	ABCB5	protein_coding	9257
ENSG00000004848	170302	ARX	protein_coding	2876
ENSG00000004864	10165	SLC25A13	protein_coding	3710
ENSG00000004866	7982	ST7	protein_coding	5635
ENSG00000004897	996	CDC27	protein_coding	6319
ENSG00000004939	6521	SLC4A1	protein_coding	3572
ENSG00000004948	799	CALCR	protein_coding	4036
ENSG00000004961	3052	HCCS	protein_coding	2335
ENSG00000004975	1856	DVL2	protein_coding	3172
ENSG00000005001	64063	PRSS22	protein_coding	1647
ENSG00000005007	5976	UPF1	protein_coding	6524
ENSG00000005020	8935	SKAP2	protein_coding	5262
ENSG00000005022	292	SLC25A5	protein_coding	1500
ENSG00000005059	55013	CCDC109B	protein_coding	2409
ENSG00000005073	3207	HOXA11	protein_coding	1601
