sampleID	ENSG00000049768.15	ENST00000376207.9	ENST00000376199.7
TCGA.3C.AAAU.01A.11R.A41B.07	0.401249	0.365508	0
TCGA.3C.AALI.01A.11R.A41B.07	2.813649	2.202271	0.014782
TCGA.3C.AALJ.01A.31R.A41B.07	0.23109	0.23109	0
TCGA.3C.AALK.01A.11R.A41B.07	1.35079	1.101471	0
TCGA.4H.AAAK.01A.12R.A41B.07	0.787696	0.787696	0
TCGA.5L.AAT0.01A.12R.A41B.07	0.102114	0.102114	0
TCGA.5L.AAT1.01A.12R.A41B.07	5.755268	5.647761	0.05388
TCGA.5T.A9QA.01A.11R.A41B.07	0.081599	0.081599	0
TCGA.A1.A0SB.01A.11R.A144.07	0.146423	0.146423	0
TCGA.A1.A0SD.01A.11R.A115.07	0.170094	0.170094	0
TCGA.A1.A0SE.01A.11R.A084.07	0.623746	0.052253	0
TCGA.A1.A0SF.01A.11R.A144.07	0.439628	0.3825	0.057128
TCGA.A1.A0SG.01A.11R.A144.07	0.03352	0.03352	0
TCGA.A1.A0SH.01A.11R.A084.07	0.165682	0.165682	0
TCGA.A1.A0SI.01A.11R.A144.07	0.072712	0.072712	0
TCGA.A1.A0SJ.01A.11R.A084.07	0.016201	0.016201	0
TCGA.A1.A0SK.01A.12R.A084.07	0.362888	0.338199	0
TCGA.A1.A0SM.01A.11R.A084.07	0.100841	0.100841	0
TCGA.A1.A0SN.01A.11R.A144.07	0.156621	0.156621	0
TCGA.A1.A0SO.01A.22R.A084.07	0.094388	0.094388	0
TCGA.A1.A0SP.01A.11R.A084.07	0.145032	0.145032	0
TCGA.A1.A0SQ.01A.21R.A144.07	0.022614	0.022614	0
TCGA.A2.A04N.01A.11R.A115.07	0.435967	0.435967	0
TCGA.A2.A04P.01A.31R.A034.07	1.536429	1.526452	0
TCGA.A2.A04Q.01A.21R.A034.07	0.096845	0.096845	0
TCGA.A2.A04R.01A.41R.A109.07	0	0	0
TCGA.A2.A04T.01A.21R.A034.07	0.555091	0.53033	0
TCGA.A2.A04U.01A.11R.A115.07	0.661726	0.661726	0
TCGA.A2.A04V.01A.21R.A034.07	0.057253	0.057253	0
TCGA.A2.A04W.01A.31R.A115.07	0.079634	0.079634	0
TCGA.A2.A04X.01A.21R.A034.07	0.656244	0.656244	0
TCGA.A2.A04Y.01A.21R.A034.07	0.022904	0.022904	0
TCGA.A2.A0CK.01A.11R.A22K.07	0.025935	0.025935	0
TCGA.A2.A0CL.01A.11R.A115.07	1.192467	1.10571	0.086757
TCGA.A2.A0CM.01A.31R.A034.07	0.279332	0.279332	0
TCGA.A2.A0CO.01A.13R.A22K.07	2.982202	2.757946	0.194945
TCGA.A2.A0CP.01A.11R.A034.07	0.475853	0.463525	0
TCGA.A2.A0CQ.01A.21R.A034.07	0.476997	0.476997	0
TCGA.A2.A0CR.01A.11R.A22K.07	0.142791	0.142791	0
TCGA.A2.A0CS.01A.11R.A115.07	1.756657	1.756657	0
TCGA.A2.A0CT.01A.31R.A056.07	0.073419	0.073419	0
