ensg_id	gsymbol	ID
ENSG00000036549	ZZZ3	chr1:78105134:78105287:-@chr1:78097535:78099090:-@chr1:78050202:78050340:-
ENSG00000036549	ZZZ3	chr1:78105134:78105287:-@chr1:78097520:78099090:-@chr1:78050202:78050340:-
ENSG00000036549	ZZZ3	chr1:78107207:78107340:-@chr1:78107069:78107131:-@chr1:78105134:78105287:-
ENSG00000074755	ZZEF1	chr17:3920665:3921024:-@chr17:3919927:3920068:-@chr17:3919617:3919760:-
ENSG00000074755	ZZEF1	chr17:3961288:3961449:-@chr17:3959510:3959639:-@chr17:3957351:3957489:-
ENSG00000074755	ZZEF1	chr17:3975902:3976050:-@chr17:3974633:3974740:-@chr17:3973978:3974218:-
ENSG00000159840	ZYX	chr7:143079894:143080415:+@chr7:143084855:143084880:+@chr7:143085312:143085432:+
ENSG00000159840	ZYX	chr7:143078360:143078502:+@chr7:143078653:143078872:+@chr7:143079341:143079540:+
ENSG00000159840	ZYX	chr7:143078360:143078502:+@chr7:143078650:143078872:+@chr7:143079341:143079540:+
ENSG00000159840	ZYX	chr7:143079000:143079184:+@chr7:143079341:143079540:+@chr7:143079894:143080415:+
ENSG00000159840	ZYX	chr7:143079000:143079184:+@chr7:143079341:143079778:+@chr7:143079894:143080415:+
ENSG00000159840	ZYX	chr7:143079341:143079540:+@chr7:143079686:143079778:+@chr7:143079894:143080415:+
ENSG00000159840	ZYX	chr7:143079894:143080415:+@chr7:143081183:143081338:+@chr7:143084855:143084880:+
ENSG00000162378	ZYG11B	chr1:53267764:53267811:+@chr1:53273509:53273597:+@chr1:53279208:53279405:+
ENSG00000162378	ZYG11B	chr1:53267764:53267811:+@chr1:53271143:53271196:+@chr1:53279208:53279405:+
ENSG00000203995	ZYG11A	chr1:53320137:53320302:+@chr1:53322670:53323421:+@chr1:53326403:53326543:+
ENSG00000174442	ZWILCH	chr15:66797431:66797729:+@chr15:66801179:66801230:+@chr15:66806326:66806421:+
ENSG00000174442	ZWILCH	chr15:66797431:66797729:+@chr15:66801084:66801230:+@chr15:66806326:66806421:+
ENSG00000174442	ZWILCH	chr15:66801084:66801230:+@chr15:66806326:66806421:+@chr15:66807864:66807982:+
ENSG00000153975	ZUFSP	chr6:116979966:116980087:-@chr6:116977847:116978015:-@chr6:116973167:116973355:-
ENSG00000153975	ZUFSP	chr6:116981899:116982009:-@chr6:116981396:116981532:-@chr6:116979966:116980087:-
ENSG00000214941	ZSWIM7	chr17:15902833:15903006:-@chr17:15897071:15897092:-@chr17:15890580:15890682:-
ENSG00000214941	ZSWIM7	chr17:15902820:15903031:-@chr17:15897071:15897092:-@chr17:15890580:15890682:-
