ensembl_gene_id	probe_id
ENSG00000000003	209109_s_at
ENSG00000000003	209108_at
ENSG00000000005	220065_at
ENSG00000000419	202673_at
ENSG00000000457	41329_at
ENSG00000000457	205607_s_at
ENSG00000000457	231111_at
ENSG00000000460	220840_s_at
ENSG00000000938	208438_s_at
ENSG00000000971	213800_at
ENSG00000001036	223120_at
ENSG00000001084	1555330_at
ENSG00000001084	202923_s_at
ENSG00000001084	202922_at
ENSG00000001167	215720_s_at
ENSG00000001167	204109_s_at
ENSG00000001167	204107_at
ENSG00000001167	204108_at
ENSG00000001460	233693_at
ENSG00000001460	227694_at
ENSG00000001461	210267_at
ENSG00000001461	214579_at
ENSG00000001461	225875_s_at
ENSG00000001461	225876_at
ENSG00000001497	235541_at
ENSG00000001497	208117_s_at
ENSG00000001561	204160_s_at
ENSG00000001561	204161_s_at
ENSG00000001617	206832_s_at
ENSG00000001617	209730_at
ENSG00000001617	35666_at
ENSG00000001626	234702_x_at
ENSG00000001626	215702_s_at
ENSG00000001626	215703_at
ENSG00000001626	205043_at
ENSG00000001629	224687_at
ENSG00000001629	224682_at
ENSG00000001631	34031_i_at
ENSG00000001631	204738_s_at
ENSG00000001631	229785_at
ENSG00000002016	236880_at
ENSG00000002016	211904_x_at
ENSG00000002016	210630_s_at
ENSG00000002016	205647_at
ENSG00000002079	1564072_at
ENSG00000002330	1861_at
ENSG00000002330	209364_at
ENSG00000002549	217933_s_at
ENSG00000002587	205465_x_at
ENSG00000002587	205466_s_at
ENSG00000002726	203559_s_at
ENSG00000002745	221113_s_at
ENSG00000002745	224022_x_at
ENSG00000002746	215584_at
ENSG00000002746	210331_at
ENSG00000002746	243163_at
ENSG00000002834	200618_at
ENSG00000002919	220140_s_at
ENSG00000002919	53912_at
ENSG00000002933	218345_at
ENSG00000003056	200900_s_at
ENSG00000003096	227875_at
ENSG00000003137	234721_s_at
ENSG00000003137	219825_at
ENSG00000003147	230639_at
ENSG00000003147	211740_at
ENSG00000003147	210547_x_at
ENSG00000003147	207949_s_at
ENSG00000003147	204002_s_at
ENSG00000003249	222234_s_at
ENSG00000003393	232184_at
ENSG00000003393	1555284_at
ENSG00000003393	226291_at
ENSG00000003400	210708_x_at
ENSG00000003400	211888_x_at
ENSG00000003400	205467_at
ENSG00000003400	210955_at
ENSG00000003402	237367_x_at
ENSG00000003402	210563_x_at
ENSG00000003402	209939_x_at
ENSG00000003402	210564_x_at
ENSG00000003402	214618_at
ENSG00000003402	211862_x_at
ENSG00000003402	208485_x_at
ENSG00000003402	211317_s_at
ENSG00000003402	211316_x_at
ENSG00000003402	214486_x_at
ENSG00000003402	209508_x_at
ENSG00000003402	224261_at
ENSG00000003402	235427_at
ENSG00000003436	214378_at
ENSG00000003436	210664_s_at
ENSG00000003436	210665_at
ENSG00000003436	209676_at
ENSG00000003436	213258_at
ENSG00000003509	223560_s_at
ENSG00000003509	220943_s_at
ENSG00000003509	230379_x_at
ENSG00000003756	209936_at
ENSG00000003756	230742_at
ENSG00000003756	201394_s_at
ENSG00000003756	201395_at
ENSG00000003987	215793_at
ENSG00000003987	243804_at
ENSG00000003989	207626_s_at
ENSG00000003989	225516_at
ENSG00000004059	201526_at
ENSG00000004139	213259_s_at
ENSG00000004139	213257_at
ENSG00000004139	234060_at
ENSG00000004142	222425_s_at
ENSG00000004142	217806_s_at
ENSG00000004399	212235_at
ENSG00000004399	38671_at
ENSG00000004455	208967_s_at
ENSG00000004455	212175_s_at
ENSG00000004455	205996_s_at
ENSG00000004455	212174_at
ENSG00000004455	212173_at
ENSG00000004468	205692_s_at
ENSG00000004478	200894_s_at
ENSG00000004478	200895_s_at
ENSG00000004478	1560305_x_at
ENSG00000004478	1560303_at
ENSG00000004487	212348_s_at
ENSG00000004534	201967_at
ENSG00000004660	1552768_at
ENSG00000004660	223460_at
ENSG00000004700	210568_s_at
ENSG00000004700	205091_x_at
ENSG00000004700	212917_x_at
ENSG00000004700	212918_at
ENSG00000004766	1554216_at
ENSG00000004766	1554217_a_at
ENSG00000004766	207045_at
ENSG00000004766	226031_at
ENSG00000004776	214767_s_at
ENSG00000004776	226304_at
ENSG00000004777	233885_at
ENSG00000004777	215256_x_at
ENSG00000004777	213827_at
ENSG00000004779	202077_at
ENSG00000004799	205960_at
ENSG00000004799	1562321_at
ENSG00000004799	225207_at
ENSG00000004809	232233_at
ENSG00000004809	232232_s_at
ENSG00000004838	216663_s_at
ENSG00000004838	205714_s_at
ENSG00000004846	1569072_s_at
ENSG00000004846	243167_at
ENSG00000004846	240717_at
ENSG00000004846	1555371_at
ENSG00000004848	238878_at
ENSG00000004864	229061_s_at
ENSG00000004864	203775_at
ENSG00000004866	207524_at
ENSG00000004866	207871_s_at
ENSG00000004897	217878_s_at
ENSG00000004897	217881_s_at
ENSG00000004897	217879_at
ENSG00000004897	217880_at
ENSG00000004939	1552713_a_at
ENSG00000004939	205592_at
ENSG00000004948	207887_s_at
ENSG00000004948	207886_s_at
ENSG00000004961	203746_s_at
ENSG00000004961	203745_at
ENSG00000004975	218759_at
ENSG00000004975	57532_at
ENSG00000005001	205847_at
ENSG00000005007	208947_s_at
ENSG00000005007	211168_s_at
ENSG00000005020	216899_s_at
ENSG00000005020	204361_s_at
ENSG00000005020	204362_at
ENSG00000005020	225639_at
ENSG00000005022	200657_at
ENSG00000005059	218802_at
ENSG00000005073	208493_at
ENSG00000005073	213823_at
ENSG00000005075	212782_x_at
ENSG00000005100	222875_at
ENSG00000005100	226262_at
ENSG00000005102	205619_s_at
ENSG00000005108	213894_at
ENSG00000005108	214920_at
ENSG00000005108	230008_at
ENSG00000005108	229159_at
ENSG00000005156	1555169_at
ENSG00000005156	207348_s_at
ENSG00000005156	204123_at
ENSG00000005156	1554597_at
ENSG00000005156	229861_at
ENSG00000005175	1557984_s_at
ENSG00000005175	218842_at
ENSG00000005187	205942_s_at
ENSG00000005187	210377_at
ENSG00000005189	215215_s_at
ENSG00000005189	208107_s_at
ENSG00000005194	230838_s_at
ENSG00000005194	208968_s_at
ENSG00000005194	208424_s_at
ENSG00000005206	210693_at
ENSG00000005206	215833_s_at
ENSG00000005206	225248_at
ENSG00000005206	225249_at
ENSG00000005238	207765_s_at
ENSG00000005238	211433_x_at
ENSG00000005243	219561_at
ENSG00000005243	235897_at
ENSG00000005249	203680_at
ENSG00000005302	214009_at
ENSG00000005302	236165_at
ENSG00000005302	207551_s_at
ENSG00000005339	211808_s_at
ENSG00000005339	202160_at
ENSG00000005339	228177_at
ENSG00000005379	205839_s_at
ENSG00000005381	203948_s_at
ENSG00000005381	203949_at
ENSG00000005421	206345_s_at
ENSG00000005421	206344_at
ENSG00000005436	210175_at
ENSG00000005436	216305_s_at
ENSG00000005448	225898_at
ENSG00000005469	231102_at
ENSG00000005469	243283_at
ENSG00000005469	204573_at
ENSG00000005471	1570505_at
ENSG00000005471	207819_s_at
ENSG00000005483	223189_x_at
ENSG00000005483	223190_s_at
ENSG00000005483	226100_at
ENSG00000005483	238552_at
ENSG00000005486	232053_x_at
ENSG00000005486	222995_s_at
ENSG00000005513	226913_s_at
ENSG00000005700	210970_s_at
ENSG00000005801	204234_s_at
ENSG00000005810	1557370_s_at
ENSG00000005810	201959_s_at
ENSG00000005810	201960_s_at
ENSG00000005812	225132_at
ENSG00000005812	235608_at
ENSG00000005844	1554240_a_at
ENSG00000005844	213475_s_at
ENSG00000005882	213724_s_at
ENSG00000005882	202590_s_at
ENSG00000005884	201474_s_at
ENSG00000005889	207920_x_at
ENSG00000005889	217176_s_at
ENSG00000005889	214678_x_at
ENSG00000005889	229022_at
ENSG00000005893	200821_at
ENSG00000005893	203041_s_at
ENSG00000005893	203042_at
ENSG00000005893	226671_at
ENSG00000005961	216956_s_at
ENSG00000005961	206494_s_at
ENSG00000005961	206493_at
ENSG00000005981	237721_s_at
