ensembl_id	gene_symbol	type	entrezgene
ENSG00000186092	OR4F5	gene	79501
ENSG00000237683	AL627309.1	gene	NA
ENSG00000235249	OR4F29	gene	NA
ENSG00000185097	OR4F16	gene	NA
ENSG00000269831	AL669831.1	gene	NA
ENSG00000269308	AL645608.2	gene	NA
ENSG00000187634	SAMD11	gene	148398
ENSG00000268179	AL645608.1	gene	NA
ENSG00000188976	NOC2L	gene	26155
ENSG00000187961	KLHL17	gene	339451
ENSG00000187583	PLEKHN1	gene	84069
ENSG00000187642	C1orf170	gene	84808
ENSG00000188290	HES4	gene	57801
ENSG00000187608	ISG15	gene	9636
ENSG00000188157	AGRN	gene	375790
ENSG00000237330	RNF223	gene	401934
ENSG00000131591	C1orf159	gene	54991
ENSG00000162571	TTLL10	gene	254173
ENSG00000186891	TNFRSF18	gene	8784
ENSG00000186827	TNFRSF4	gene	7293
ENSG00000078808	SDF4	gene	51150
ENSG00000176022	B3GALT6	gene	126792
ENSG00000184163	FAM132A	gene	388581
ENSG00000160087	UBE2J2	gene	118424
ENSG00000162572	SCNN1D	gene	6339
ENSG00000131584	ACAP3	gene	116983
ENSG00000169972	PUSL1	gene	126789
ENSG00000127054	CPSF3L	gene	54973
ENSG00000224051	GLTPD1	gene	80772
ENSG00000169962	TAS1R3	gene	83756
ENSG00000107404	DVL1	gene	1855
ENSG00000162576	MXRA8	gene	54587
ENSG00000175756	AURKAIP1	gene	54998
ENSG00000221978	CCNL2	gene	81669
ENSG00000224870	RP4-758J18.2	gene	148413
ENSG00000242485	MRPL20	gene	55052
ENSG00000235098	ANKRD65	gene	441869
ENSG00000205116	TMEM88B	gene	643965
ENSG00000179403	VWA1	gene	64856
ENSG00000215915	ATAD3C	gene	219293
ENSG00000160072	ATAD3B	gene	83858
ENSG00000197785	ATAD3A	gene	55210
ENSG00000205090	TMEM240	gene	339453
ENSG00000160075	SSU72	gene	29101
ENSG00000215014	AL645728.1	gene	NA
ENSG00000228594	C1orf233	gene	643988
ENSG00000197530	MIB2	gene	142678
ENSG00000189409	MMP23B	gene	8510
ENSG00000248333	CDK11B	gene	984
ENSG00000189339	SLC35E2B	gene	728661
ENSG00000008128	CDK11A	gene	728642
ENSG00000215790	SLC35E2	gene	9906
ENSG00000008130	NADK	gene	65220
ENSG00000078369	GNB1	gene	2782
ENSG00000169885	CALML6	gene	163688
ENSG00000178821	TMEM52	gene	339456
ENSG00000142609	C1orf222	gene	85452
ENSG00000187730	GABRD	gene	2563
ENSG00000067606	PRKCZ	gene	5590
ENSG00000162585	C1orf86	gene	199990
ENSG00000269554	AL590822.2	gene	NA
ENSG00000203301	AL590822.1	gene	NA
ENSG00000157933	SKI	gene	6497
ENSG00000116151	MORN1	gene	79906
ENSG00000269753	AL589739.1	gene	NA
ENSG00000157916	RER1	gene	11079
ENSG00000157911	PEX10	gene	5192
ENSG00000149527	PLCH2	gene	9651
ENSG00000157881	PANK4	gene	55229
ENSG00000197921	HES5	gene	388585
ENSG00000157873	TNFRSF14	gene	8764
ENSG00000157870	FAM213B	gene	127281
ENSG00000142606	MMEL1	gene	79258
ENSG00000215912	TTC34	gene	100287898
ENSG00000169717	ACTRT2	gene	140625
ENSG00000142611	PRDM16	gene	63976
ENSG00000130762	ARHGEF16	gene	27237
ENSG00000162591	MEGF6	gene	1953
ENSG00000158109	TPRG1L	gene	127262
ENSG00000116213	WRAP73	gene	49856
ENSG00000078900	TP73	gene	7161
ENSG00000162592	CCDC27	gene	148870
ENSG00000235169	SMIM1	gene	388588
ENSG00000130764	LRRC47	gene	57470
ENSG00000116198	CEP104	gene	9731
ENSG00000169598	DFFB	gene	1677
ENSG00000198912	C1orf174	gene	339448
ENSG00000196581	AJAP1	gene	55966
ENSG00000131697	NPHP4	gene	261734
ENSG00000069424	KCNAB2	gene	8514
ENSG00000268332	AL035406.1	gene	NA
ENSG00000116254	CHD5	gene	26038
ENSG00000116251	RPL22	gene	6146
ENSG00000158286	RNF207	gene	388591
ENSG00000116237	ICMT	gene	23463
ENSG00000173673	HES3	gene	390992
ENSG00000158292	GPR153	gene	387509
ENSG00000097021	ACOT7	gene	11332
ENSG00000069812	HES2	gene	54626
ENSG00000187017	ESPN	gene	83715
ENSG00000215788	TNFRSF25	gene	8718
ENSG00000171680	PLEKHG5	gene	57449
ENSG00000162408	NOL9	gene	79707
ENSG00000173662	TAS1R1	gene	80835
ENSG00000204859	ZBTB48	gene	3104
ENSG00000162413	KLHL21	gene	9903
ENSG00000116273	PHF13	gene	148479
ENSG00000041988	THAP3	gene	90326
