"id"	"ensembl_gene_id"	"biotype"	"hgnc_symbol"	"entrezgene_id"
"ENSG00000000003"	"ENSG00000000003.15"	"protein_coding"	"TSPAN6"	7105
"ENSG00000000005"	"ENSG00000000005.6"	"protein_coding"	"TNMD"	64102
"ENSG00000000419"	"ENSG00000000419.12"	"protein_coding"	"DPM1"	8813
"ENSG00000000457"	"ENSG00000000457.14"	"protein_coding"	"SCYL3"	57147
"ENSG00000000460"	"ENSG00000000460.17"	"protein_coding"	"C1orf112"	55732
"ENSG00000000938"	"ENSG00000000938.13"	"protein_coding"	"FGR"	2268
"ENSG00000000971"	"ENSG00000000971.15"	"protein_coding"	"CFH"	3075
"ENSG00000001036"	"ENSG00000001036.14"	"protein_coding"	"FUCA2"	2519
"ENSG00000001084"	"ENSG00000001084.13"	"protein_coding"	"GCLC"	2729
"ENSG00000001167"	"ENSG00000001167.14"	"protein_coding"	"NFYA"	4800
"ENSG00000001460"	"ENSG00000001460.18"	"protein_coding"	"STPG1"	90529
"ENSG00000001461"	"ENSG00000001461.17"	"protein_coding"	"NIPAL3"	57185
"ENSG00000001497"	"ENSG00000001497.16"	"protein_coding"	"LAS1L"	81887
"ENSG00000001561"	"ENSG00000001561.7"	"protein_coding"	"ENPP4"	22875
"ENSG00000001617"	"ENSG00000001617.12"	"protein_coding"	"SEMA3F"	6405
"ENSG00000001626"	"ENSG00000001626.15"	"protein_coding"	"CFTR"	1080
"ENSG00000001629"	"ENSG00000001629.10"	"protein_coding"	"ANKIB1"	54467
"ENSG00000001630"	"ENSG00000001630.17"	"protein_coding"	"CYP51A1"	1595
"ENSG00000001631"	"ENSG00000001631.15"	"protein_coding"	"KRIT1"	889
"ENSG00000002016"	"ENSG00000002016.18"	"protein_coding"	"RAD52"	5893
"ENSG00000002079"	"ENSG00000002079.14"	"transcribed_unitary_pseudogene"	"MYH16"	NA
"ENSG00000002330"	"ENSG00000002330.13"	"protein_coding"	"BAD"	572
"ENSG00000002549"	"ENSG00000002549.12"	"protein_coding"	"LAP3"	51056
"ENSG00000002586"	"ENSG00000002586.20"	"protein_coding"	"CD99"	4267
"ENSG00000002587"	"ENSG00000002587.10"	"protein_coding"	"HS3ST1"	9957
"ENSG00000002726"	"ENSG00000002726.20"	"protein_coding"	"AOC1"	26
"ENSG00000002745"	"ENSG00000002745.13"	"protein_coding"	"WNT16"	51384
"ENSG00000002746"	"ENSG00000002746.15"	"protein_coding"	"HECW1"	23072
"ENSG00000002822"	"ENSG00000002822.15"	"protein_coding"	"MAD1L1"	8379
"ENSG00000002834"	"ENSG00000002834.18"	"protein_coding"	"LASP1"	3927
"ENSG00000002919"	"ENSG00000002919.14"	"protein_coding"	"SNX11"	29916
"ENSG00000002933"	"ENSG00000002933.9"	"protein_coding"	"TMEM176A"	55365
"ENSG00000003056"	"ENSG00000003056.8"	"protein_coding"	"M6PR"	4074
"ENSG00000003096"	"ENSG00000003096.14"	"protein_coding"	"KLHL13"	90293
"ENSG00000003137"	"ENSG00000003137.8"	"protein_coding"	"CYP26B1"	56603
"ENSG00000003147"	"ENSG00000003147.19"	"protein_coding"	"ICA1"	3382
"ENSG00000003249"	"ENSG00000003249.13"	"protein_coding"	"DBNDD1"	79007
"ENSG00000003393"	"ENSG00000003393.15"	"protein_coding"	"ALS2"	57679
"ENSG00000003400"	"ENSG00000003400.14"	"protein_coding"	"CASP10"	843
"ENSG00000003402"	"ENSG00000003402.20"	"protein_coding"	"CFLAR"	8837
"ENSG00000003436"	"ENSG00000003436.16"	"protein_coding"	"TFPI"	7035
"ENSG00000003509"	"ENSG00000003509.16"	"protein_coding"	"NDUFAF7"	55471
"ENSG00000003756"	"ENSG00000003756.17"	"protein_coding"	"RBM5"	10181
"ENSG00000003987"	"ENSG00000003987.14"	"protein_coding"	"MTMR7"	9108
"ENSG00000003989"	"ENSG00000003989.17"	"protein_coding"	"SLC7A2"	6542
"ENSG00000004059"	"ENSG00000004059.11"	"protein_coding"	"ARF5"	381
"ENSG00000004139"	"ENSG00000004139.14"	"protein_coding"	"SARM1"	23098
"ENSG00000004142"	"ENSG00000004142.12"	"protein_coding"	"POLDIP2"	26073
"ENSG00000004399"	"ENSG00000004399.12"	"protein_coding"	"PLXND1"	23129
"ENSG00000004455"	"ENSG00000004455.17"	"protein_coding"	"AK2"	204
"ENSG00000004468"	"ENSG00000004468.13"	"protein_coding"	"CD38"	952
"ENSG00000004478"	"ENSG00000004478.8"	"protein_coding"	"FKBP4"	2288
"ENSG00000004487"	"ENSG00000004487.16"	"protein_coding"	"KDM1A"	23028
"ENSG00000004534"	"ENSG00000004534.15"	"protein_coding"	"RBM6"	10180
"ENSG00000004660"	"ENSG00000004660.15"	"protein_coding"	"CAMKK1"	84254
"ENSG00000004700"	"ENSG00000004700.16"	"protein_coding"	"RECQL"	5965
"ENSG00000004766"	"ENSG00000004766.17"	"protein_coding"	"VPS50"	55610
"ENSG00000004776"	"ENSG00000004776.13"	"protein_coding"	"HSPB6"	126393
"ENSG00000004777"	"ENSG00000004777.18"	"protein_coding"	"ARHGAP33"	115703
"ENSG00000004779"	"ENSG00000004779.10"	"protein_coding"	"NDUFAB1"	4706
"ENSG00000004799"	"ENSG00000004799.8"	"protein_coding"	"PDK4"	5166
"ENSG00000004809"	"ENSG00000004809.14"	"protein_coding"	"SLC22A16"	85413
"ENSG00000004838"	"ENSG00000004838.14"	"protein_coding"	"ZMYND10"	51364
"ENSG00000004846"	"ENSG00000004846.16"	"protein_coding"	"ABCB5"	340273
"ENSG00000004848"	"ENSG00000004848.8"	"protein_coding"	"ARX"	170302
"ENSG00000004864"	"ENSG00000004864.13"	"protein_coding"	"SLC25A13"	10165
"ENSG00000004866"	"ENSG00000004866.20"	"protein_coding"	"ST7"	102466616
"ENSG00000004897"	"ENSG00000004897.12"	"protein_coding"	"CDC27"	996
"ENSG00000004939"	"ENSG00000004939.15"	"protein_coding"	"SLC4A1"	6521
"ENSG00000004948"	"ENSG00000004948.15"	"protein_coding"	"CALCR"	799
"ENSG00000004961"	"ENSG00000004961.15"	"protein_coding"	"HCCS"	3052
"ENSG00000004975"	"ENSG00000004975.12"	"protein_coding"	"DVL2"	1856
"ENSG00000005001"	"ENSG00000005001.10"	"protein_coding"	"PRSS22"	64063
"ENSG00000005007"	"ENSG00000005007.12"	"protein_coding"	"UPF1"	5976
"ENSG00000005020"	"ENSG00000005020.13"	"protein_coding"	"SKAP2"	8935
"ENSG00000005022"	"ENSG00000005022.6"	"protein_coding"	"SLC25A5"	292
"ENSG00000005059"	"ENSG00000005059.16"	"protein_coding"	"MCUB"	55013
"ENSG00000005073"	"ENSG00000005073.5"	"protein_coding"	"HOXA11"	3207
"ENSG00000005075"	"ENSG00000005075.15"	"protein_coding"	"POLR2J"	5439
"ENSG00000005100"	"ENSG00000005100.13"	"protein_coding"	"DHX33"	56919
"ENSG00000005102"	"ENSG00000005102.13"	"protein_coding"	"MEOX1"	4222
"ENSG00000005108"	"ENSG00000005108.16"	"protein_coding"	"THSD7A"	221981
"ENSG00000005156"	"ENSG00000005156.12"	"protein_coding"	"LIG3"	3980
"ENSG00000005175"	"ENSG00000005175.10"	"protein_coding"	"RPAP3"	79657
"ENSG00000005187"	"ENSG00000005187.12"	"protein_coding"	"ACSM3"	6296
"ENSG00000005189"	"ENSG00000005189.19"	"protein_coding"	"REXO5"	81691
"ENSG00000005194"	"ENSG00000005194.15"	"protein_coding"	"CIAPIN1"	57019
"ENSG00000005206"	"ENSG00000005206.17"	"protein_coding"	"SPPL2B"	56928
"ENSG00000005238"	"ENSG00000005238.19"	"protein_coding"	"FAM214B"	80256
"ENSG00000005243"	"ENSG00000005243.10"	"protein_coding"	"COPZ2"	51226
"ENSG00000005249"	"ENSG00000005249.13"	"protein_coding"	"PRKAR2B"	5577
"ENSG00000005302"	"ENSG00000005302.19"	"protein_coding"	"MSL3"	10943
"ENSG00000005339"	"ENSG00000005339.14"	"protein_coding"	"CREBBP"	1387
"ENSG00000005379"	"ENSG00000005379.17"	"protein_coding"	"TSPOAP1"	9256
"ENSG00000005381"	"ENSG00000005381.8"	"protein_coding"	"MPO"	4353
"ENSG00000005421"	"ENSG00000005421.9"	"protein_coding"	"PON1"	5444
"ENSG00000005436"	"ENSG00000005436.14"	"protein_coding"	"GCFC2"	6936
"ENSG00000005448"	"ENSG00000005448.16"	"protein_coding"	"WDR54"	84058
"ENSG00000005469"	"ENSG00000005469.11"	"protein_coding"	"CROT"	54677
"ENSG00000005471"	"ENSG00000005471.17"	"protein_coding"	"ABCB4"	5244
"ENSG00000005483"	"ENSG00000005483.21"	"protein_coding"	"KMT2E"	55904
"ENSG00000005486"	"ENSG00000005486.17"	"protein_coding"	"RHBDD2"	57414
"ENSG00000005513"	"ENSG00000005513.10"	"protein_coding"	"SOX8"	30812
"ENSG00000005700"	"ENSG00000005700.15"	"protein_coding"	"IBTK"	25998
"ENSG00000005801"	"ENSG00000005801.18"	"protein_coding"	"ZNF195"	7748
"ENSG00000005810"	"ENSG00000005810.18"	"protein_coding"	"MYCBP2"	23077
"ENSG00000005812"	"ENSG00000005812.11"	"protein_coding"	"FBXL3"	26224
"ENSG00000005844"	"ENSG00000005844.18"	"protein_coding"	"ITGAL"	3683
"ENSG00000005882"	"ENSG00000005882.12"	"protein_coding"	"PDK2"	5164
"ENSG00000005884"	"ENSG00000005884.18"	"protein_coding"	"ITGA3"	3675
"ENSG00000005889"	"ENSG00000005889.15"	"protein_coding"	"ZFX"	7543
"ENSG00000005893"	"ENSG00000005893.15"	"protein_coding"	"LAMP2"	3920
