ID	seqname	strand	start	stop	Geneid	hgnc_symbol	entrezgene_id	biotype
17112607	chrX	-	99883667	99894988	ENSG00000000003	TSPAN6	7105	protein_coding
17105321	chrX	+	99839790	99854882	ENSG00000000005	TNMD	64102	protein_coding
16920287	chr20	-	49551404	49575092	ENSG00000000419	DPM1	8813	protein_coding
16696276	chr1	-	169821804	169863408	ENSG00000000457	SCYL3	57147	protein_coding
16673557	chr1	+	169631245	169823221	ENSG00000000460	C1orf112	55732	protein_coding
16684056	chr1	-	27938575	27961788	ENSG00000000938	FGR	2268	protein_coding
17024374	chr6	-	143815949	143833020	ENSG00000001036	FUCA2	2519	protein_coding
16683574	chr1	-	24683489	24743424	ENSG00000001460	STPG1	90529	protein_coding
16660785	chr1	+	24742245	24799473	ENSG00000001461	NIPAL3	57185	protein_coding
17111688	chrX	-	64732462	64754686	ENSG00000001497	LAS1L	81887	protein_coding
17009316	chr6	+	46097701	46114436	ENSG00000001561	ENPP4	22875	protein_coding
17050733	chr7	+	117329767	117356025	ENSG00000001626	CFTR	1080	protein_coding
17048321	chr7	+	91875548	92030698	ENSG00000001629	ANKIB1	54467	protein_coding
17048842	chr7	+	98870924	98895595	ENSG00000002079	MYH16	NA	transcribed_unitary_pseudogene
16739872	chr11	-	64037300	64052176	ENSG00000002330	BAD	572	protein_coding
16965313	chr4	+	17578815	17609595	ENSG00000002549	LAP3	51056	protein_coding
17101193	chrX	+	2609220	2659350	ENSG00000002586	CD99	4267	protein_coding
17053436	chr7	+	150521715	150558592	ENSG00000002726	AOC1	26	protein_coding
17050834	chr7	+	120965421	120981158	ENSG00000002745	WNT16	51384	protein_coding
17054527	chr7	-	1881252	1881812	ENSG00000002822	MAD1L1	8379	protein_coding
16833708	chr17	+	37026112	37078023	ENSG00000002834	LASP1	3927	protein_coding
16835386	chr17	+	46184911	46200105	ENSG00000002919	SNX11	29916	protein_coding
17053421	chr7	+	150497491	150502208	ENSG00000002933	TMEM176A	55365	protein_coding
16760981	chr12	-	9092957	9102551	ENSG00000003056	M6PR	4074	protein_coding
16898911	chr2	-	72356367	72375167	ENSG00000003137	CYP26B1	56603	protein_coding
16829426	chr16	-	90071273	90086526	ENSG00000003249	DBNDD1	79007	protein_coding
16907353	chr2	-	202564986	202645912	ENSG00000003393	ALS2	57679	protein_coding
16889452	chr2	+	202038291	202043285	ENSG00000003402	CFLAR	8837	protein_coding
16906308	chr2	-	188328957	188430487	ENSG00000003436	TFPI	7035	protein_coding
16879145	chr2	+	37458774	37480546	ENSG00000003509	NDUFAF7	55471	protein_coding
16940877	chr3	+	50126341	50156454	ENSG00000003756	RBM5	10181	protein_coding
17074988	chr8	-	17154306	17271040	ENSG00000003987	MTMR7	9108	protein_coding
17066065	chr8	+	17354597	17428082	ENSG00000003989	SLC7A2	6542	protein_coding
16832461	chr17	+	26691378	26728065	ENSG00000004139	SARM1	23098	protein_coding
16842587	chr17	-	26673659	26684603	ENSG00000004142	POLDIP2	26073	protein_coding
16959007	chr3	-	129274018	129325661	ENSG00000004399	PLXND1	23129	protein_coding
16965268	chr4	+	15779898	15851069	ENSG00000004468	CD38	952	protein_coding
16746808	chr12	+	2904108	2914589	ENSG00000004478	FKBP4	2288	protein_coding
