probe_id	Geneid	hgnc_symbol	entrezgene_id	biotype
39362_r_at	ENSG00000000003	TSPAN6	7105	protein_coding
39361_f_at	ENSG00000000003	TSPAN6	7105	protein_coding
34879_at	ENSG00000000419	DPM1	8813	protein_coding
41329_at	ENSG00000000457	SCYL3	57147	protein_coding
1780_at	ENSG00000000938	FGR	2268	protein_coding
32250_at	ENSG00000000971	CFH	3075	protein_coding
31850_at	ENSG00000001084	GCLC	2729	protein_coding
37561_at	ENSG00000001167	NFYA	4800	protein_coding
37850_at	ENSG00000001461	NIPAL3	57185	protein_coding
38260_at	ENSG00000001497	LAS1L	81887	protein_coding
36459_at	ENSG00000001561	ENPP4	22875	protein_coding
35666_at	ENSG00000001617	SEMA3F	6405	protein_coding
36816_s_at	ENSG00000001626	CFTR	1080	protein_coding
34031_i_at	ENSG00000001631	KRIT1	889	protein_coding
1899_s_at	ENSG00000002016	RAD52	5893	protein_coding
1043_s_at	ENSG00000002016	RAD52	5893	protein_coding
40744_at	ENSG00000002016	RAD52	5893	protein_coding
1861_at	ENSG00000002330	BAD	572	protein_coding
41556_s_at	ENSG00000002587	HS3ST1	9957	protein_coding
37186_s_at	ENSG00000002726	AOC1	26	protein_coding
35011_at	ENSG00000002746	HECW1	23072	protein_coding
36181_at	ENSG00000002834	LASP1	3927	protein_coding
32634_s_at	ENSG00000003147	ICA1	3382	protein_coding
32633_at	ENSG00000003147	ICA1	3382	protein_coding
1766_g_at	ENSG00000003400	CASP10	843	protein_coding
1326_at	ENSG00000003400	CASP10	843	protein_coding
39999_at	ENSG00000003400	CASP10	843	protein_coding
1765_at	ENSG00000003400	CASP10	843	protein_coding
1868_g_at	ENSG00000003402	CFLAR	8837	protein_coding
1867_at	ENSG00000003402	CFLAR	8837	protein_coding
32746_at	ENSG00000003402	CFLAR	8837	protein_coding
40767_at	ENSG00000003436	TFPI	7035	protein_coding
1556_at	ENSG00000003756	RBM5	10181	protein_coding
32804_at	ENSG00000003756	RBM5	10181	protein_coding
34553_at	ENSG00000003987	MTMR7	9108	protein_coding
38169_s_at	ENSG00000003989	SLC7A2	6542	protein_coding
40236_at	ENSG00000003989	SLC7A2	6542	protein_coding
37346_at	ENSG00000004059	ARF5	381	protein_coding
41707_at	ENSG00000004139	SARM1	23098	protein_coding
38671_at	ENSG00000004399	PLXND1	23129	protein_coding
40788_at	ENSG00000004455	AK2	204	protein_coding
40789_at	ENSG00000004455	AK2	204	protein_coding
40323_at	ENSG00000004468	CD38	952	protein_coding
38729_at	ENSG00000004478	FKBP4	2288	protein_coding
41122_at	ENSG00000004487	KDM1A	23028	protein_coding
40869_at	ENSG00000004534	RBM6	10180	protein_coding
40870_g_at	ENSG00000004534	RBM6	10180	protein_coding
34684_at	ENSG00000004700	RECQL	5965	protein_coding
